Co%,Ir%,Ti%,Overpotential,Dissolution_Ir193 (S001),Dissolution_Co59 (S001),Dissolution_Ti47 (S001),Overpotential_std,Dissolution_Ir193 (S001)_std,Dissolution_Co59 (S001)_std,Dissolution_Ti47 (S001)_std
15.95,69.46,14.59,371.3357468570833,1.655387054529407,13.865334609375907,6.4361455595769925,1.0566735527536661,0.09225567081476758,5.349209059294615,0.7148597295732279
15.9,66.67,17.43,362.3913220295574,2.5278917437630604,39.41429824638571,10.494591559068235,12.113478905061132,0.9106835627530169,54.67404246516819,4.189157875698407
16.78,63.01,20.21,351.66620101062887,3.652927747041799,73.68494786603421,14.361559273763051,14.22138169196829,1.0703543268393956,63.86174322996162,4.897022607606372
18.66,58.58,22.76,338.2427170955949,5.0752004376794595,114.82097420643147,18.744664403276506,11.980337356930077,0.8988037514737334,54.29185671578901,4.144586475924071
19.33,55.46,25.21,335.13818299670726,5.66733638448742,127.27202026882173,20.64506883000309,5.83471507207555,0.43752255354748865,26.780893473328558,2.0740992074072215
19.0,52.49,28.51,374.02768878296007,3.918562538247458,75.17269123232333,15.596434932674804,8.2351694696513,0.61644526349837,37.67520735747071,2.8733051624951558
19.53,50.7,29.77,396.9185020707566,2.837128164830018,40.26277222132954,12.15372903689688,1.0576423845120737,0.0923675208700981,5.35550215502849,0.7173165283533541
19.51,47.8,32.68,382.98409382342203,2.8346705861610713,52.3095450714346,15.479142355841208,10.671152367035075,0.7991832275266737,48.625578505108734,3.7016622373093804
19.5,45.5,35.0,380.2952100073898,2.5254595829909854,53.05730176319065,16.234436133275835,11.025210174682554,0.8255732972260577,50.227565932830395,3.819944509006444
19.29,43.15,37.56,383.66466983470224,1.9830770237882693,49.32707664654491,15.818624643438108,8.285589900044156,0.6201606192353283,37.91799315653512,2.893003057279351
18.18,43.43,38.38,390.39542323042264,1.6673253903227438,44.869561971932896,15.309006963127189,5.32118430675101,0.39999408526700303,24.44888823275763,1.9232542887943154
15.91,70.96,13.13,369.86712468859514,1.4343407730250974,9.3599502492049,6.505273748757816,6.072551722434452,0.4550775995851096,27.86261409257142,2.1476110873601595
17.63,66.94,15.43,361.06944585219736,2.357065906749647,26.435078919501777,10.999976281162654,9.786196385952172,0.7332697955390741,44.59402846856308,3.401182974688525
18.21,63.27,18.52,349.03949083152145,3.6690173765069583,72.08116873519484,14.770638346218977,13.39084627005459,1.0056186872530075,60.461746076063676,4.618906281039192
20.49,60.07,19.44,334.89371368764864,5.00783853494964,117.46949276901846,18.915133908810876,12.804621608675347,0.9603236079643132,58.008500571217844,4.41973025164816
19.77,58.17,22.05,333.225501704378,5.456564957398035,128.5715688675673,20.057726463269326,11.973504235573053,0.8975683018346083,54.347652147680826,4.140315131939553
18.78,55.51,25.71,339.208496122875,5.327245191922206,113.32164561436892,19.355920024171027,1.0564019299479512,0.09222274056692849,5.34763764384121,0.7142371741877962
19.38,52.42,28.19,369.3247663333863,4.225732181076145,84.1164518089718,16.665379845703182,8.074218336449698,0.6041370989944284,36.96876032951457,2.8159682206969054
20.09,50.68,29.22,384.29262199990245,3.527234334559192,60.531101390485986,14.846943630056854,6.077295061020607,0.45562048785159637,27.900274504558155,2.1586385628295766
21.13,46.48,32.39,368.90096394514273,3.4963608652063174,68.046154598246,18.507194227419976,9.538038711102866,0.7138338135904722,43.58588248470369,3.3176376462884156
18.93,45.15,35.92,383.7275988210305,2.241682573254094,49.985062210723015,15.730076254167841,10.732121732623762,0.8037731466966177,48.89405156721862,3.721915371178112
20.0,43.5,36.5,378.88805118105756,2.3276826478532295,52.35866583074741,16.410690557033952,9.8005569796396,0.733394625706951,44.76503857363297,3.402661543373657
18.09,43.09,38.83,391.8038648500562,1.5731064713576384,43.62225545319738,15.289884524993187,1.057895240597544,0.09240159917518154,5.356682612575704,0.7179572978194546
18.95,40.53,40.53,381.8346154508837,1.6596433899717846,38.679526171137624,15.701315519982074,8.626286998695475,0.6456224923442151,39.42866569451032,2.999703102010123
16.24,71.46,12.3,368.6127136708968,1.3558601501781817,7.589837646831285,6.5533565185249145,1.0570127176849335,0.09230298746526587,5.350804092491122,0.7156569975350887
17.49,68.15,14.36,364.4183257487024,1.9811324169371636,14.154887418855893,9.803447312318363,7.970356038098928,0.5967108769418826,36.4712090679832,2.7830718378830115
18.31,65.12,16.57,354.4554400265324,2.983660828754118,46.97611709832859,13.110505517665738,11.863173236525224,0.8897710885029861,53.80520299222639,4.103149918403804
20.07,61.9,18.03,341.23284273352465,4.255651540595328,91.14926326079498,16.881909420517736,12.954469570385761,0.9718009097158258,58.653426695333636,4.470527551629992
20.65,57.25,22.1,328.9424505838867,5.877139914345722,142.8557135314536,21.491286168394137,11.500214169616989,0.8615165440656519,52.29945391901172,3.978809254922382
21.09,55.86,23.05,326.3953938253381,6.264427542079591,153.53545624227354,22.929186953684994,10.414520590143487,0.779654711156065,47.48335301231334,3.6095130520310823
20.63,53.57,25.79,330.75262287392377,6.435563176463278,158.89433464015974,24.01476768326197,1.0544520538295163,0.09198640814121813,5.336200406133627,0.7093656257903219
20.94,50.43,28.63,369.64181118851695,4.345755678616529,84.06138348004635,18.216451476858385,8.000951003136167,0.5986199684580118,36.64562494862414,2.7917571655212043
21.89,48.93,29.18,363.3700593560477,4.558088124723039,88.54342630416454,20.12402985239428,8.993627625524836,0.6727731719116902,41.14805554674599,3.1271623122279015
21.36,47.27,31.36,368.5918266141377,3.75915049904825,71.67412177763794,18.702139645338583,9.273789570300963,0.6939011966648106,42.41269171933068,3.227081763323116
22.12,44.23,33.65,361.3299239016454,3.5677972408215926,70.43614323591672,19.85090482814666,9.052954180456757,0.6775457277376391,41.398122047269624,3.154228937203918
21.72,41.41,36.87,371.3354856876773,2.598437417297853,50.272462940244964,16.936156226901492,9.002114721923345,0.6734384751409888,41.1696283014512,3.127440390049779
20.83,40.1,39.06,372.71697315641734,2.0294101871141663,53.56714528210553,15.885304712851303,1.048155699610553,0.09124466013011816,5.297726607419669,0.6946129488661174
18.32,39.27,42.41,382.6897317973817,1.4657049470123296,24.891767693162095,15.492502748637076,10.395143942369502,0.7795365526162749,47.26207869064933,3.602392571732457
19.68,37.23,43.09,379.86311922741464,1.5087537625485399,13.154306139667185,15.67528612059706,8.28407714133919,0.6202476536915438,37.90415760264946,2.8954583413417287
17.58,72.31,10.11,366.32636868653327,1.456942895802673,7.64509570471175,8.615564002718145,11.043392500175367,0.8348138269227311,49.554639199654545,3.8198056366935367
19.61,67.65,12.75,358.3101901527217,2.0665102834710694,0.3372497297895336,13.9264160721263,1.0576896716667856,0.0923733314872437,5.35581786226533,0.7174478413365999
20.72,64.36,14.92,348.6080259188028,3.158989440147981,48.66225079848067,14.815284057475946,11.114484248301936,0.8326652952522466,50.58469769991497,3.850574365030959
22.33,61.17,16.5,335.53364073695445,4.533879675342388,102.22193459351523,17.994777553912254,11.776157379626133,0.8823807102613677,53.51931763657839,4.070291894426573
22.7,57.45,19.86,323.2334958549394,6.199275829331869,162.3222586107071,22.551151446400166,10.92498962998999,0.8182163874420292,49.74306330150083,3.783439260941268
22.76,55.6,21.64,321.47604466310287,6.623302385633303,170.9184134298776,24.146208228645815,10.973752543673182,0.8215676945896747,50.013140606794295,3.800870049605924
23.26,52.71,24.03,324.04022348023454,6.897888307903509,168.096404750134,26.334045033495737,9.656183051113123,0.7226185137807453,44.11240065199628,3.3540632306474727
23.75,50.0,26.25,334.39662771722254,6.504006842561289,140.83089364550173,27.332837109289862,1.0571892554207076,0.09231238537985322,5.352881993358778,0.7161881398485243
22.27,50.0,27.73,351.4074639516535,5.414208444034211,112.95587104985486,22.748733761992916,8.277323685312545,0.6192288869285173,37.90030412489781,2.8842886591739405
22.62,47.06,30.32,356.4601447354556,4.5837145097611085,90.27584081521164,21.544814310335028,9.025563762205579,0.6752526800457174,41.29597936277322,3.1414484789415105
