spot,Co,Ir,Ti
1,15.95,69.46,14.59
2,15.9,66.67,17.43
3,16.78,63.01,20.21
4,18.66,58.58,22.76
5,19.33,55.46,25.21
6,19.0,52.49,28.51
7,19.53,50.7,29.77
8,19.51,47.8,32.68
9,19.5,45.5,35.0
10,19.29,43.15,37.56
11,18.18,43.43,38.38
12,15.91,70.96,13.13
13,17.63,66.94,15.43
14,18.21,63.27,18.52
15,20.49,60.07,19.44
16,19.77,58.17,22.05
17,18.78,55.51,25.71
18,19.38,52.42,28.19
19,20.09,50.68,29.22
20,21.13,46.48,32.39
21,18.93,45.15,35.92
22,20.0,43.5,36.5
23,18.09,43.09,38.83
24,18.95,40.53,40.53
25,16.24,71.46,12.3
26,17.49,68.15,14.36
27,18.31,65.12,16.57
28,20.07,61.9,18.03
29,20.65,57.25,22.1
30,21.09,55.86,23.05
31,20.63,53.57,25.79
32,20.94,50.43,28.63
33,21.89,48.93,29.18
34,21.36,47.27,31.36
35,22.12,44.23,33.65
36,21.72,41.41,36.87
37,20.83,40.1,39.06
38,18.32,39.27,42.41
39,19.68,37.23,43.09
40,17.58,72.31,10.11
41,19.61,67.65,12.75
42,20.72,64.36,14.92
43,22.33,61.17,16.5
44,22.7,57.45,19.86
45,22.76,55.6,21.64
46,23.26,52.71,24.03
47,23.75,50.0,26.25
48,22.27,50.0,27.73
49,22.62,47.06,30.32
50,23.5,44.24,32.26
51,22.9,42.06,35.05
52,22.01,40.67,37.32
53,21.13,39.18,39.69
54,21.58,36.84,41.58
55,20.32,36.9,42.78
56,19.89,34.95,45.16
57,18.54,71.46,10.0
58,18.91,69.98,11.11
59,20.77,65.57,13.66
60,23.15,61.41,15.43
61,25.42,56.27,18.31
62,25.09,55.06,19.85
63,27.03,51.74,21.24
64,24.9,50.6,24.5
65,25.54,48.48,25.97
66,24.89,47.06,28.05
67,23.29,44.75,31.96
68,23.72,43.26,33.02
69,23.79,41.26,34.95
70,22.82,41.26,35.92
71,21.78,39.11,39.11
72,22.92,36.46,40.63
73,20.0,35.68,44.32
74,20.94,34.55,44.5
75,20.57,32.0,47.43
76,20.77,68.62,10.61
77,22.96,64.29,12.76
78,25.37,59.7,14.93
79,25.68,56.85,17.47
80,26.28,54.01,19.71
81,26.56,51.95,21.48
82,26.51,51.0,22.49
83,26.14,48.13,25.73
84,26.27,46.61,27.12
85,27.27,44.16,28.57
86,26.29,43.19,30.52
87,27.01,40.28,32.7
88,24.06,40.57,35.38
89,23.38,40.8,35.82
90,22.77,39.6,37.62
91,22.56,38.46,38.97
92,21.03,36.41,42.56
93,21.31,33.88,44.81
94,18.86,33.71,47.43
95,21.27,69.52,9.21
96,23.25,66.25,10.5
97,26.49,61.01,12.5
98,27.36,57.09,15.54
