spot,Co,Ir,Ti
1,20.68,59.07,20.25
2,18.61,58.87,22.51
3,20.94,56.41,22.65
4,20.83,54.17,25.0
5,18.14,53.54,28.32
6,17.27,53.64,29.09
7,16.27,52.63,31.1
8,18.81,49.54,31.65
9,17.06,50.71,32.23
10,15.12,49.76,35.12
11,15.38,48.21,36.41
12,21.85,58.4,19.75
13,21.05,58.33,20.61
14,21.03,56.65,22.32
15,19.65,56.77,23.58
16,20.51,54.27,25.21
17,19.23,53.85,26.92
18,18.64,53.64,27.73
19,19.91,50.23,29.86
20,16.83,52.4,30.77
21,17.35,48.4,34.25
22,17.87,46.86,35.27
23,16.34,47.52,36.14
24,15.82,44.9,39.29
25,21.37,59.83,18.8
26,21.99,57.26,20.75
27,22.57,57.08,20.35
28,22.08,54.55,23.38
29,22.22,55.13,22.65
30,19.56,54.22,26.22
31,18.94,54.19,26.87
32,18.5,51.54,29.96
33,18.35,51.38,30.28
34,19.53,49.3,31.16
35,18.87,48.58,32.55
36,17.22,48.33,34.45
37,18.0,45.0,37.0
38,17.01,44.33,38.66
39,15.34,43.92,40.74
40,25.85,56.36,17.8
41,22.73,58.68,18.6
42,22.75,57.08,20.17
43,24.05,54.43,21.52
44,22.84,54.74,22.41
45,22.55,53.19,24.26
46,22.65,52.14,25.21
47,21.62,50.9,27.48
48,21.08,50.67,28.25
49,20.36,49.77,29.86
50,20.36,48.87,30.77
51,18.72,48.77,32.51
52,16.67,46.08,37.25
53,17.19,44.79,38.02
54,17.68,43.94,38.38
55,18.0,40.5,41.5
56,16.11,41.67,42.22
57,27.02,57.26,15.73
58,27.31,55.42,17.27
59,24.78,56.09,19.13
60,27.78,52.56,19.66
61,23.95,55.46,20.59
62,25.0,53.39,21.61
63,24.79,52.14,23.08
64,24.24,51.08,24.68
65,21.4,49.78,28.82
66,22.47,48.46,29.07
67,21.97,47.09,30.94
68,21.1,46.33,32.57
69,19.05,46.19,34.76
70,18.54,44.39,37.07
71,19.49,44.1,36.41
72,18.91,42.29,38.81
73,18.85,41.36,39.79
74,14.75,41.53,43.72
75,16.02,40.88,43.09
76,29.71,53.97,16.32
77,28.34,55.06,16.6
78,27.54,55.08,17.37
79,26.23,52.87,20.9
80,24.89,53.22,21.89
81,26.27,50.85,22.88
82,25.55,51.1,23.35
83,24.66,48.88,26.46
84,23.25,49.56,27.19
85,23.45,48.23,28.32
86,21.82,47.73,30.45
87,21.27,47.96,30.77
88,20.2,44.83,34.98
89,19.8,43.56,36.63
90,18.69,43.94,37.37
91,17.86,42.86,39.29
92,17.46,41.27,41.27
93,19.58,37.57,42.86
94,16.48,39.56,43.96
95,30.74,53.69,15.57
96,30.04,53.5,16.46
97,27.73,55.04,17.23
98,27.85,53.16,18.99
99,30.08,51.69,18.22
100,28.57,50.0,21.43
101,26.61,51.07,22.32
102,25.33,49.78,24.89
103,24.55,49.11,26.34
104,23.45,48.67,27.88
105,24.07,48.15,27.78
106,22.01,47.37,30.62
107,21.8,45.97,32.23
108,21.84,44.66,33.5
109,19.21,44.83,35.96
110,20.5,42.0,37.5
111,19.49,42.05,38.46
112,19.9,39.29,40.82
113,18.58,39.34,42.08
114,16.28,38.37,45.35
115,16.27,34.94,48.8
116,31.84,51.84,16.33
117,31.84,52.24,15.92
118,29.83,52.94,17.23
119,30.83,50.83,18.33
120,29.74,51.29,18.97
121,29.79,49.36,20.85
122,27.95,48.91,23.14
123,26.61,48.93,24.46
124,27.9,45.92,26.18
125,26.03,46.58,27.4
126,25.34,45.25,29.41
127,25.45,45.54,29.02
128,23.74,45.21,31.05
129,24.88,41.95,33.17
130,23.04,41.67,35.29
131,21.08,41.67,37.25
132,20.31,39.58,40.1
133,19.79,39.58,40.62
134,19.55,37.99,42.46
135,17.42,35.39,47.19
136,18.71,35.67,45.61
137,32.5,51.67,15.83
138,33.19,50.21,16.6
139,31.95,50.62,17.43
140,33.19,50.0,16.81
141,33.05,47.7,19.25
142,29.73,47.75,22.52
143,31.36,45.76,22.88
144,30.3,45.89,23.81
145,29.24,44.49,26.27
146,26.48,46.12,27.4
147,27.52,44.5,27.98
148,25.79,43.44,30.77
149,26.17,42.06,31.78
150,26.17,40.65,33.18
151,23.53,39.71,36.76
152,23.53,39.22,37.25
153,21.88,38.02,40.1
154,22.46,36.36,41.18
155,20.56,35.0,44.44
156,20.88,35.71,43.41
157,19.3,35.67,45.03
158,36.67,48.33,15.0
159,36.21,48.56,15.23
160,34.45,47.48,18.07
161,33.62,46.81,19.57
162,32.74,48.23,19.03
163,33.19,44.68,22.13
164,33.19,45.26,21.55
165,29.39,44.74,25.88
166,29.33,44.44,26.22
167,29.82,43.58,26.61
168,27.96,43.13,28.91
169,26.42,41.98,31.6
170,25.98,40.69,33.33
171,26.58,40.54,32.88
172,26.5,37.5,36.0
173,24.62,39.7,35.68
174,23.71,36.08,40.21
175,24.18,36.26,39.56
176,23.63,33.52,42.86
177,17.92,35.84,46.24
178,20.48,31.33,48.19
179,38.33,47.08,14.58
180,37.13,46.84,16.03
181,35.06,45.89,19.05
182,35.81,46.72,17.47
183,35.62,44.64,19.74
184,34.05,44.4,21.55
185,32.73,44.55,22.73
186,33.48,42.73,23.79
187,31.7,42.86,25.45
188,29.86,42.08,28.05
189,30.09,39.81,30.09
190,28.37,41.86,29.77
191,27.65,39.63,32.72
192,27.45,38.24,34.31
193,26.87,38.81,34.33
194,25.51,37.76,36.73
195,24.74,35.26,40.0
196,24.86,34.05,41.08
197,23.5,33.33,43.17
198,20.11,35.2,44.69
199,20.96,31.74,47.31
200,39.84,45.53,14.63
201,38.03,45.3,16.67
202,37.18,46.58,16.24
203,37.93,43.97,18.1
204,35.93,43.72,20.35
205,35.06,44.59,20.35
206,34.65,42.98,22.37
207,31.76,43.35,24.89
208,33.04,40.53,26.43
209,32.24,40.19,27.57
210,31.55,40.29,28.16
211,29.06,39.9,31.03
212,29.27,38.05,32.68
213,29.15,37.19,33.67
214,27.78,36.87,35.35
215,26.15,35.9,37.95
216,25.13,34.36,40.51
217,25.28,32.58,42.13
218,23.03,34.27,42.7
219,20.12,36.09,43.79
220,22.89,31.33,45.78
221,40.65,43.09,16.26
222,39.04,44.74,16.23
223,39.91,42.98,17.11
224,40.18,42.86,16.96
225,38.67,41.78,19.56
226,37.73,41.36,20.91
227,35.14,41.44,23.42
228,37.56,39.82,22.62
229,35.27,37.95,26.79
230,33.33,39.19,27.48
231,30.77,39.42,29.81
232,31.58,38.28,30.14
233,31.84,35.82,32.34
234,29.59,35.71,34.69
235,27.75,36.13,36.13
236,26.18,34.55,39.27
