Spot	Co%	Ir%	Ti%	Overpotential	Dissolution_Ir193 (S001)	Dissolution_Co59 (S001)	Dissolution_Ti47 (S001)
				mV	ng cm-2	ng cm-2	ng cm-2
Spot_A001	15.95	69.46	14.59	371.41074459	1.652266	13.813603	6.301816
Spot_A007	19.53	50.7	29.77	397.31377218	2.814606	39.568545	11.848151
Spot_A017	18.78	55.51	25.71	339.13015909	5.328253	113.153750	19.332377
Spot_A023	18.09	43.09	38.83	391.91511327	1.569487	43.603849	15.291284
Spot_A025	16.24	71.46	12.3	368.60183730	1.353211	7.576933	6.480018
Spot_A031	20.63	53.57	25.79	330.56783531	6.453982	159.613682	24.188940
Spot_A037	20.83	40.1	39.06	372.68823770	2.021445	53.958543	15.815531
Spot_A041	19.61	67.65	12.75	358.30248979	2.064668	0.000000	14.081711
Spot_A047	23.75	50.0	26.25	334.37958546	6.506680	140.796434	27.447284
Spot_A053	21.13	39.18	39.69	370.64955354	2.309569	41.522839	17.025863
Spot_A061	25.42	56.27	18.31	314.49430109	6.926607	204.526756	24.080791
Spot_A067	23.29	44.75	31.96	345.63327353	4.537414	93.393175	23.332629
Spot_A073	20.0	35.68	44.32	380.50615378	1.307785	0.000000	15.551477
Spot_A079	25.68	56.85	17.47	313.79576909	6.983510	189.128138	26.297784
Spot_A085	27.27	44.16	28.57	343.15620913	5.507069	125.569963	25.452230
Spot_A091	22.56	38.46	38.97	371.94976264	2.492612	28.901312	15.035351
Spot_A097	26.49	61.01	12.5	340.74931265	3.253058	65.888341	12.177273
Spot_A103	26.92	47.44	25.64	325.47057590	7.018870	150.649613	26.675730
Spot_A109	24.88	38.76	36.36	368.85702333	3.056973	29.046780	17.880102
Spot_A115	21.84	29.89	48.28	387.72790949	1.440797	15.855387	14.031436
Spot_A119	30.14	52.48	17.38	313.40342483	6.938916	186.733892	25.985128
Spot_A125	29.07	43.17	27.75	330.40758624	7.218854	141.190076	27.935340
Spot_A131	23.56	37.5	38.94	373.31005057	3.134283	31.021749	16.692113
Spot_A139	32.04	52.46	15.49	327.19136994	4.629572	123.676019	18.569563
Spot_A145	31.67	43.33	25.0	320.70191291	7.908888	171.864581	28.320019
Spot_A151	26.21	36.89	36.89	378.38888951	3.228873	33.055140	17.700853
Spot_A157	22.22	28.89	48.89	384.65333237	2.024025	13.308908	15.528412
Spot_A161	35.11	46.95	17.94	313.47677165	8.795964	243.970416	35.517315
Spot_A167	32.47	40.26	27.27	329.66224472	7.740231	164.665018	27.633584
Spot_A173	30.46	31.47	38.07	387.37028560	2.857419	32.358043	19.850196
Spot_A181	37.45	46.33	16.22	322.40319240	6.633720	163.355176	24.176815
Spot_A187	35.47	39.74	24.79	320.89979636	8.005509	223.699030	29.597725
Spot_A193	29.44	33.5	37.06	386.65597824	2.726273	41.346262	18.865218
Spot_A199	25.42	26.55	48.02	381.70433032	2.217209	18.751856	15.534201
Spot_A203	39.92	42.34	17.74	316.96001676	8.787792	263.325598	33.560547
Spot_A209	36.24	36.7	27.06	330.57734556	7.174244	190.877157	27.418563
Spot_A215	30.65	31.16	38.19	384.28216498	1.809474	29.183067	16.429036
Spot_A223	43.03	41.04	15.94	329.54763691	5.773204	80.971325	16.997321
Spot_A229	37.5	37.07	25.43	330.95066138	6.749794	265.574299	29.910449
Spot_A235	32.66	30.65	36.68	395.90806949	2.636026	47.547478	21.126540
Spot_A241	27.33	25.58	47.09	388.14942824	2.431223	20.283485	14.272699
Spot_A243	46.03	37.3	16.67	344.26412967	7.988140	127.974091	24.747390
Spot_A249	39.91	34.21	25.88	338.57018670	7.417521	251.398241	32.327261
Spot_A255	34.16	31.19	34.65	389.79858412	2.501905	58.026512	20.345041
Spot_A265	45.11	34.47	20.43	329.72035131	8.814802	422.762630	39.403324
Spot_A271	38.97	30.05	30.99	365.60618732	5.006134	212.814938	32.504306
Spot_A277	33.16	25.67	41.18	395.97557903	2.058512	33.141471	17.058517
Spot_A281	49.78	31.56	18.67	348.91445094	7.855387	144.452858	21.323634
Spot_A287	42.27	31.36	26.36	346.06260711	6.273162	311.960737	34.466325
Spot_A293	34.02	27.32	38.66	390.75059878	1.943209	58.240349	19.139916
Spot_A301	46.73	30.37	22.9	331.23680076	6.683892	365.369930	38.540848
Spot_A307	39.71	26.96	33.33	377.15642175	3.113904	93.792912	24.122226
Spot_A317	45.45	28.18	26.36	347.69417830	6.251814	291.340778	36.559968
Spot_A323	36.96	25.0	38.04	390.03683581	2.056910	50.497008	20.301721
Spot_A325	52.29	27.06	20.64	374.50414354	6.246061	109.717907	24.596332
Spot_A331	45.02	25.12	29.86	362.90012586	4.935253	218.014353	35.758581
Spot_A341	45.36	23.71	30.93	370.59172247	4.369670	167.830019	30.734793
