Spot	Co%	Ir%	Ti%	Overpotential	Dissolution_Ir193 (S001)	Dissolution_Co59 (S001)	Dissolution_Ti47 (S001)
				mV	ng cm-2	ng cm-2	ng cm-2
Spot_A001	20.68	59.07	20.25	391.34566	2.24281	6.04325	1.63713
Spot_A007	16.27	52.63	31.1	380.20925	1.45103	3.85931	4.09988
Spot_A017	19.23	53.85	26.92	379.36453	1.47973	4.6437	3.71469
Spot_A023	16.34	47.52	36.14	375.65438	0.57453	2.80261	2.69905
Spot_A025	21.37	59.83	18.8	377.24901	2.10733	6.58433	3.35292
Spot_A031	18.94	54.19	26.87	377.44676	1.7565	5.10222	3.9016
Spot_A037	18	45	37	371.56248	0.96772	3.06252	3.28013
Spot_A041	22.73	58.68	18.6	374.75662	2.10478	6.70573	3.8292
Spot_A047	21.62	50.9	27.48	375.84603	1.57296	4.83615	3.51137
Spot_A053	17.19	44.79	38.02	369.34162	1.01322	3.81867	2.96612
Spot_A061	23.95	55.46	20.59	374.23718	1.95204	5.82368	3.53924
Spot_A067	21.97	47.09	30.94	372.17337	1.48083	3.42899	4.10279
Spot_A073	18.85	41.36	39.79	379.09216	0.97188	4.01409	3.54793
Spot_A079	26.23	52.87	20.9	371.46593	2.08392	5.98037	2.57732
Spot_A085	23.45	48.23	28.32	373.67415	1.49229	4.08769	3.62182
Spot_A091	17.86	42.86	39.29	375.3752	1.02255	2.70272	2.61639
Spot_A097	27.73	55.04	17.23	365.26992	2.40078	7.11842	3.20631
Spot_A103	24.55	49.11	26.34	368.85211	2.27322	5.22534	3.45575
Spot_A109	19.21	44.83	35.96	373.31178	1.34194	2.87763	2.74218
Spot_A115	16.27	34.94	48.8	382.44366	0.86378	1.72509	3.04437
Spot_A119	30.83	50.83	18.33	359.94818	2.59353	9.20925	4.42259
Spot_A125	26.03	46.58	27.4	371.08685	1.88911	6.40951	4.26739
Spot_A131	21.08	41.67	37.25	376.73407	1.2632	4.46346	2.54498
Spot_A139	31.95	50.62	17.43	355.42251	2.64401	11.02235	3.71951
Spot_A145	29.24	44.49	26.27	369.73631	2.15988	5.97697	4.60602
Spot_A151	23.53	39.71	36.76	378.49851	1.33126	3.87199	4.16191
Spot_A157	19.3	35.67	45.03	388.17996	0.97794	2.50534	2.48901
Spot_A161	33.62	46.81	19.57	359.22463	2.49675	6.77639	4.89647
Spot_A167	29.82	43.58	26.61	371.56278	1.8244	4.9511	3.82847
Spot_A173	24.62	39.7	35.68	380.7658	1.17267	3.67574	2.59519
Spot_A187	31.7	42.86	25.45	375.34957	1.73664	5.69658	4.95931
Spot_A193	26.87	38.81	34.33	381.95707	1.18854	3.73029	2.8074
Spot_A199	20.96	31.74	47.31	400.97916	0.92551	2.88446	2.30051
Spot_A203	37.93	43.97	18.1	366.74771	2.12394	5.79068	4.25344
Spot_A209	32.24	40.19	27.57	379.89431	1.57705	4.64427	2.87147
Spot_A215	26.15	35.9	37.95	389.50883	1.10553	3.53922	3.36319
Spot_A223	39.91	42.98	17.11	364.85433	2.12443	5.61861	4.10807
Spot_A229	35.27	37.95	26.79	379.55304	1.62495	4.54689	2.7426
Spot_A235	27.75	36.13	36.13	388.74927	1.206	3.89615	3.85051
Spot_A241	22.84	29.63	47.53	410.53884	0.98838	3.40232	2.16492
Spot_A243	40.87	41.3	17.83	361.35151	2.45869	6.52241	3.36884
Spot_A249	37.16	38.53	24.31	377.35462	1.69129	4.48191	3.03445
Spot_A255	28.22	36.14	35.64	387.98593	1.3206	3.92784	3.83011
Spot_A265	40.18	38.81	21	372.43704	2.06397	5.66524	4.86465
Spot_A271	35.5	34.5	30	390.33273	1.5119	4.64425	3.67211
Spot_A277	25.73	31.58	42.69	402.05086	1.04271	3.18236	3.23106
Spot_A281	45.09	35.71	19.2	365.65089	2.23962	6.04347	4.49811
Spot_A287	38.35	34.95	26.7	382.10581	1.71276	4.81654	3.94873
Spot_A293	28.74	32.76	38.51	397.69526	1.1724	4.10329	3.56686
Spot_A301	42.51	34.3	23.19	377.49649	1.88793	4.9119	4.97253
Spot_A307	34.43	32.79	32.79	391.22359	1.33408	3.76982	3.85309
Spot_A317	41.21	32.16	26.63	379.13203	1.72025	5.3075	3.79516
Spot_A323	34.09	27.84	38.07	398.5942	1.17431	3.90777	3.15359
Spot_A325	46.8	32.51	20.69	372.38322	2.18614	6.34927	5.69559
Spot_A331	40.96	28.72	30.32	386.38124	1.72325	4.65502	4.2645
Spot_A341	38.86	29.14	32	396.22149	1.71444	6.95068	3.71982
