Spot,Ti,Co,Ir,O
1,6.497377,8.824674,20.223919,64.45403
2,7.811282,8.946807,18.802026,64.439884
3,9.384203,9.26506,16.976515,64.374221
4,11.053832,9.778235,14.876947,64.290987
5,12.223095,10.03375,13.419121,64.324034
6,13.205646,10.209195,12.17496,64.410199
7,13.690781,10.38847,11.463364,64.457386
8,14.293465,10.634497,10.539727,64.532312
9,14.717208,10.797409,9.877282,64.608101
10,15.134956,10.928194,9.255384,64.681467
11,15.302845,10.774265,9.193465,64.729425
12,5.632352,9.018404,20.958523,64.390721
13,7.077288,9.184104,19.295115,64.443492
14,8.724386,9.658732,17.34117,64.275713
15,9.955226,10.247261,15.686752,64.110761
16,11.039848,10.330684,14.512533,64.116935
17,12.259611,10.398662,13.147557,64.19417
18,13.190675,10.717688,11.859529,64.232107
19,13.647418,10.939985,11.152304,64.260293
20,14.348606,11.479661,9.876776,64.294957
21,14.772678,11.253615,9.517623,64.456084
22,15.004534,11.467174,9.04533,64.482961
23,15.334608,11.241098,8.849927,64.574367
24,15.726381,11.526404,8.177819,64.569396
25,5.105257,9.297363,21.27845,64.31893
26,6.283287,9.336445,19.954892,64.425377
27,7.608569,9.687528,18.381512,64.322391
28,8.939977,10.326891,16.636008,64.097124
29,10.915848,11.155457,14.102545,63.82615
30,11.608708,11.249887,13.280749,63.860656
31,12.580798,11.327701,12.147686,63.943815
32,13.446403,11.683307,10.892804,63.977486
33,13.779865,11.941475,10.292483,63.986177
34,14.184932,12.014084,9.73991,64.061074
35,14.600572,12.35479,8.928559,64.116079
36,15.043903,12.403615,8.304512,64.24797
37,15.409135,12.290319,7.961696,64.33885
38,15.945839,12.053888,7.613591,64.386682
39,16.2273,12.369521,7.070687,64.332492
40,4.49844,9.63875,21.627479,64.235331
41,5.869852,9.699267,20.016381,64.4145
42,7.187491,10.210897,18.354506,64.247106
43,8.491185,11.102743,16.522777,63.883295
44,10.156253,12.021117,14.298219,63.524412
45,11.101826,12.19136,13.178289,63.528526
46,12.184726,12.461215,11.774809,63.57925
47,13.005539,12.746378,10.615883,63.6322
48,13.347702,12.513967,10.426734,63.711596
49,13.93792,12.905032,9.429284,63.727763
50,14.321773,13.287083,8.634827,63.756318
51,14.694886,13.26346,8.150479,63.891176
52,15.029269,13.085172,7.854393,64.031166
53,15.435854,12.944252,7.488128,64.131766
54,15.860443,13.129066,6.890422,64.120068
55,16.171997,12.957807,6.735438,64.134758
56,16.614034,13.086777,6.221826,64.077363
57,4.41966,10.212767,21.322319,64.045254
58,4.961874,9.988272,20.813123,64.236732
59,6.393898,10.375223,19.00515,64.225728
60,7.860332,11.55329,16.815669,63.770709
61,9.657264,13.252841,13.94205,63.147845
62,10.470865,13.246742,13.072295,63.210099
63,11.451928,13.500524,11.655014,63.392534
64,12.395242,13.427147,10.776809,63.400802
65,12.991953,13.694322,9.880343,63.433382
