Spot,Ti,Co,Ir
1,14.001851,26.050351,59.947798
2,16.791674,26.148433,57.059893
3,19.652591,26.068981,54.278428
4,22.554125,25.81802,51.627855
5,25.484189,25.406121,49.10969
6,28.416236,24.860101,46.723663
7,31.322146,24.206803,44.471051
8,34.174395,23.494108,42.331498
9,36.938594,22.760099,40.301307
10,39.585273,22.047281,38.367447
11,42.079051,21.393162,36.527787
12,12.942346,27.235972,59.821682
13,15.646026,27.472564,56.88141
14,18.426333,27.527309,54.046358
15,21.265198,27.389541,51.345261
16,24.143534,27.07084,48.785626
17,27.041091,26.58084,46.378069
18,29.926511,25.942684,44.130805
19,32.78218,25.198603,42.019218
20,35.575369,24.395388,40.029243
21,38.271848,23.576848,38.151305
22,40.844186,22.796647,36.359167
23,43.261392,22.085779,34.652829
24,45.497843,21.47514,33.027017
25,11.908277,28.292363,59.79936
26,14.513663,28.682038,56.804299
27,17.202563,28.885983,53.911455
28,19.959994,28.893117,51.146889
29,22.768635,28.701959,48.529405
30,25.60789,28.311752,46.080358
31,28.455134,27.734798,43.810067
32,31.288747,27.011715,41.699538
33,34.086008,26.176396,39.737597
34,36.812939,25.284854,37.902207
35,39.442485,24.388307,36.169208
36,41.934175,23.540947,34.524878
37,44.265756,22.784709,32.949534
38,46.413893,22.142283,31.443824
39,48.360491,21.627187,30.012322
40,10.897661,29.203695,59.898645
41,13.39056,29.749586,56.859854
42,15.978284,30.116348,53.905368
43,18.640707,30.283924,51.075369
44,21.364086,30.241558,48.394356
45,24.123907,29.98468,45.891412
46,26.908324,29.520061,43.571615
47,29.70175,28.865958,41.432292
48,32.475353,28.053357,39.47129
49,35.211233,27.132685,37.656082
50,37.870252,26.161257,35.968491
51,40.424965,25.19502,34.380015
52,42.840934,24.292602,32.866465
53,45.089949,23.494474,31.415577
54,47.146738,22.828004,30.025258
55,48.997048,22.301469,28.701483
56,50.63349,21.913346,27.453164
57,9.888423,29.949031,60.162546
58,12.272441,30.648281,57.079278
59,14.750017,31.182035,54.067948
