Spot,Ti,Co,Ir,O
1,9.184292,8.359857,15.93702,66.518831
2,9.846512,7.864909,15.61785,66.670729
3,10.263031,7.83708,15.15172,66.748169
4,11.011778,7.608417,14.615695,66.764109
5,11.884804,7.179704,14.135448,66.800044
6,12.375798,6.892734,13.832316,66.899152
7,13.074012,6.70512,13.368998,66.851869
8,13.620907,6.881382,12.832501,66.66521
9,14.049285,6.502551,12.622618,66.825546
10,14.826313,6.345035,12.094025,66.734626
11,15.387036,6.323249,11.621353,66.668361
12,8.746923,9.125407,15.778416,66.349254
13,9.208411,8.754239,15.522487,66.514863
14,9.816775,8.479092,15.092647,66.611486
15,10.35405,8.06042,14.800512,66.785018
16,11.005963,7.934063,14.262045,66.797928
17,11.637307,7.592976,13.87966,66.890056
18,12.13908,7.327961,13.553621,66.979338
19,12.921091,7.440233,12.910784,66.727891
20,13.369746,6.895171,12.760059,66.975024
21,14.329636,7.095564,11.963426,66.611374
22,14.861948,7.075616,11.515508,66.546928
23,15.316307,6.765357,11.244717,66.673618
24,16.059922,6.804937,10.573765,66.561375
25,8.259969,9.707496,15.763525,66.26901
26,8.864177,9.506805,15.313677,66.315341
27,9.167247,9.28,15.049566,66.503187
28,9.974376,8.988482,14.526422,66.51072
29,10.232455,8.710988,14.324316,66.732241
30,11.119588,8.2235,13.858545,66.798367
31,11.588863,7.924811,13.554336,66.931991
32,12.474533,7.840266,12.921406,66.763795
33,12.905629,7.626973,12.621575,66.845823
34,13.463777,7.661559,12.15293,66.721734
35,14.045397,7.496523,11.74968,66.7084
36,14.668345,7.261556,11.3386,66.731499
37,15.391194,7.413061,10.6651,66.530645
38,15.935772,7.228402,10.25774,66.578086
39,16.504697,6.981883,9.870176,66.643244
40,7.826479,10.80209,15.242999,66.128433
41,8.226153,10.207013,15.282251,66.284583
42,8.777408,9.944845,14.919937,66.35781
43,9.347417,9.832071,14.431165,66.389347
44,9.822036,9.429193,14.190685,66.558085
45,10.47391,9.174805,13.756674,66.59461
46,11.007034,8.965437,13.373882,66.653647
47,11.73114,8.704442,12.92178,66.642638
48,12.22522,8.445463,12.595927,66.733389
49,12.850702,8.248331,12.182263,66.718704
50,13.374191,8.111982,11.805318,66.708509
51,13.981451,7.837366,11.423519,66.757664
52,14.975887,7.810774,10.641437,66.571901
53,15.437289,7.737964,10.255258,66.569489
54,15.843751,7.60909,9.951915,66.595244
55,16.60049,7.560897,9.427165,66.411448
56,16.986363,7.216821,9.176856,66.61996
57,7.26386,11.488847,15.046587,66.200706
58,7.772491,11.275035,14.734528,66.217945
59,8.313768,10.785926,14.64746,66.252846
60,8.77332,10.820722,14.13276,66.273198
61,9.199254,10.163586,14.136244,66.500917
62,9.732204,10.031793,13.707005,66.528997
63,10.324098,9.7872,13.334479,66.554224
64,10.942102,9.529431,12.953604,66.574863
65,11.916743,9.148781,12.435222,66.499254
66,12.364041,9.082353,12.074776,66.478831
67,13.01891,8.933139,11.638531,66.40942
68,13.61531,8.731415,11.235687,66.417588
69,14.255889,8.442432,10.797691,66.503988
70,14.916922,8.354364,10.282893,66.445821
71,15.203469,8.201241,10.076201,66.519089
72,15.860186,8.059256,9.605881,66.474677
73,16.340142,7.868222,9.286372,66.505264
74,17.089399,7.434104,8.810998,66.6655
75,17.3795,7.296484,8.613819,66.710197
76,7.346003,12.061832,14.394746,66.197419
77,7.70079,11.6866,14.272944,66.339665
78,8.122182,11.361825,14.090504,66.425489
79,8.920099,11.050692,13.785121,66.244087
80,9.39978,10.664133,13.567964,66.368123
81,9.938568,10.584098,13.156504,66.32083
82,10.371691,10.259372,12.892713,66.476224
83,11.222053,10.055924,12.410578,66.311445
84,11.68269,9.670947,12.139619,66.506745
85,12.244166,9.533931,11.752629,66.469275
86,12.906019,9.241417,11.359151,66.493413
87,13.311405,8.969989,11.08678,66.631826
88,14.251063,8.933716,10.445377,66.369845
89,14.82477,8.77835,10.03219,66.36469
90,15.256611,8.493969,9.713542,66.535878
91,15.845342,8.286276,9.303209,66.565174
92,16.453144,8.088068,8.908608,66.55018
93,17.088866,7.995944,8.551935,66.363255
94,17.467959,7.603701,8.268216,66.660124
95,6.940504,12.70667,14.175284,66.177541
96,7.363282,12.411039,13.977911,66.247768
97,7.775176,11.975984,13.898192,66.350649
98,8.32978,11.76315,13.607592,66.299478
99,8.586195,11.654345,13.301816,66.457644
100,9.370167,11.367776,13.039033,66.223024
101,9.851523,10.953558,12.804565,66.390355
102,10.598296,10.669818,12.422099,66.309787
103,11.187294,10.403545,12.067922,66.341239
104,11.778172,10.111941,11.716413,66.393473
105,12.155643,9.944981,11.424119,66.475256
106,12.904505,9.638639,11.00629,66.450565
107,13.498282,9.493303,10.617415,66.391
108,14.037471,9.350471,10.25949,66.352568
109,14.673947,8.995591,9.822579,66.507884
110,15.265484,8.958049,9.442952,66.333515
111,15.726727,8.681354,9.108692,66.483228
112,16.425311,8.510859,8.685942,66.377889
113,16.907242,8.207245,8.350428,66.535085
