Spot,Ti,Co,Ir
1,26.335125,24.992544,48.672331
2,27.954682,24.564361,47.480957
3,29.600603,24.110219,46.289179
4,31.281349,23.625382,45.09327
5,32.998154,23.121399,43.880447
6,34.75783,22.594833,42.647336
7,36.557283,22.06012,41.382596
8,38.415466,21.515642,40.068892
9,40.33007,20.958253,38.711677
10,42.298936,20.39415,37.306915
11,44.310563,19.817235,35.872202
12,24.735933,26.925049,48.339018
13,26.325776,26.51492,47.159304
14,27.94986,26.062269,45.987872
15,29.597905,25.578559,44.823536
16,31.279186,25.063329,43.657485
17,32.989001,24.518659,42.49234
18,34.737165,23.958325,41.30451
19,36.534959,23.380514,40.084528
20,38.386538,22.790003,38.82346
21,40.288032,22.195037,37.516931
22,42.248617,21.586674,36.164709
23,44.261822,20.964836,34.773341
24,46.314357,20.33418,33.351463
25,23.165157,28.86845,47.966394
26,24.729663,28.474441,46.795896
27,26.321539,28.047317,45.631144
28,27.948272,27.576154,44.475574
29,29.60283,27.062698,43.334471
30,31.27835,26.513355,42.208295
31,32.986845,25.931787,41.081368
32,34.7329,25.325387,39.941713
33,36.52011,24.704564,38.775327
34,38.364164,24.067761,37.568075
35,40.261783,23.423048,36.315169
36,42.21504,22.775602,35.009358
37,44.222167,22.110188,33.667645
38,46.268306,21.435939,32.295755
39,48.348773,20.74276,30.908467
40,21.620608,30.810591,47.568801
41,23.152207,30.438216,46.409576
42,24.724328,30.029954,45.245719
43,26.325584,29.587219,44.087197
44,27.953991,29.089051,42.956958
45,29.604325,28.54637,41.849305
46,31.281502,27.963546,40.754952
47,32.986363,27.342371,39.671266
48,34.72567,26.694605,38.579724
49,36.511921,26.027453,37.460626
50,38.350226,25.346097,36.303676
51,40.244219,24.651137,35.104644
52,42.189877,23.957103,33.85302
53,44.189139,23.249453,32.561408
54,46.228913,22.530416,31.240671
55,48.296727,21.798642,29.904631
56,50.387398,21.043065,28.569537
57,20.10991,32.749626,47.140463
58,21.605896,32.39188,46.002223
59,23.145068,32.003924,44.851008
60,24.716504,31.582847,43.700649
61,26.320944,31.113131,42.565925
62,27.947782,30.595509,41.456709
63,29.602641,30.024592,40.372766
64,31.280214,29.398104,39.321682
65,32.981638,28.744291,38.274071
66,34.722826,28.05239,37.224783
67,36.507737,27.34006,36.152204
68,38.339845,26.617026,35.043129
69,40.230001,25.879257,33.890742
70,42.175101,25.139361,32.685539
71,44.168614,24.383801,31.447585
72,46.203433,23.617071,30.179496
73,48.265842,22.837567,28.896591
74,50.342585,22.04036,27.617055
75,52.415422,21.229142,26.355437
76,20.099052,34.341792,45.559156
77,21.592889,33.967489,44.439623
78,23.132741,33.562065,43.305194
79,24.703416,33.117689,42.178895
80,26.310239,32.628711,41.061049
81,27.940945,32.080061,39.978994
82,29.591866,31.478658,38.929476
83,31.265708,30.824898,37.909394
84,32.974915,30.126339,36.898747
85,34.714027,29.39997,35.886004
86,36.502577,28.644093,34.85333
87,38.337123,27.875277,33.7876
88,40.222441,27.100815,32.676744
89,42.166658,26.312159,31.521182
90,44.163806,25.506006,30.330188
91,46.18834,24.69667,29.11499
92,48.241439,23.870255,27.888306
93,50.30593,23.030065,26.664005
94,52.365232,22.174474,25.460294
95,18.64038,36.306577,45.053043
96,20.089432,35.935391,43.975177
97,21.580341,35.54175,42.877909
98,23.116704,35.109736,41.77356
99,24.688147,34.638004,40.673849
100,26.288733,34.119049,39.592218
101,27.917207,33.545378,38.537416
102,29.571294,32.907791,37.520915
103,31.247219,32.221738,36.531043
104,32.955514,31.49071,35.553776
105,34.698952,30.725817,34.575231
106,36.494145,29.934229,33.571627
107,38.331847,29.129028,32.539124
108,40.225946,28.304354,31.4697
109,42.173963,27.472437,30.353601
110,44.164242,26.629138,29.20662
111,46.190533,25.770808,28.038659
112,48.228798,24.899735,26.871467
113,50.277949,24.013306,25.708744
114,52.324982,23.113145,24.561872
115,54.357297,22.206458,23.436245
116,18.647151,37.92025,43.432599
117,20.088819,37.526766,42.384415
118,21.576748,37.10174,41.321511
119,23.102526,36.639078,40.258395
120,24.667599,36.139109,39.193292
121,26.266277,35.584484,38.14924
122,27.886787,34.981127,37.132086
123,29.539683,34.311671,36.148646
124,31.219747,33.592176,35.188076
125,32.932952,32.827897,34.239151
126,34.683512,32.030514,33.285974
127,36.482723,31.204096,32.313181
128,38.327836,30.363353,31.308811
129,40.234272,29.500307,30.265421
130,42.183543,28.629041,29.187416
131,44.175627,27.739934,28.084439
132,46.194506,26.838161,26.967333
133,48.223442,25.922984,25.853574
134,50.259204,24.989517,24.751279
135,52.291083,24.043109,23.665808
136,54.305514,23.093233,22.601253
137,18.65784,39.546087,41.796073
138,20.094934,39.115222,40.789844
139,21.573374,38.65967,39.766955
140,23.096279,38.159292,38.744429
141,24.650203,37.627533,37.722265
142,26.244391,37.03079,36.724819
143,27.856966,36.393335,35.749699
144,29.507936,35.691305,34.800759
145,31.190285,34.937774,33.87194
146,32.906959,34.144992,32.948049
147,34.665381,33.314877,32.019742
148,36.474206,32.456391,31.069403
149,38.331267,31.578576,30.090157
150,40.23884,30.688202,29.072958
151,42.198006,29.769997,28.031997
152,44.191729,28.841388,26.966884
153,46.20651,27.897734,25.895756
154,48.232028,26.930451,24.837521
155,50.252273,25.955087,23.79264
156,52.264003,24.969985,22.766012
157,54.272882,23.968499,21.758619
158,18.688307,41.17883,40.132863
159,20.119611,40.7088,39.171589
160,21.587619,40.213622,38.198759
161,23.093209,39.683569,37.223222
162,24.642827,39.09933,36.257843
163,26.220737,38.472195,35.307068
164,27.836239,37.787199,34.376561
165,29.480974,37.051935,33.467091
166,31.161119,36.266656,32.572225
167,32.885348,35.438545,31.676106
168,34.651292,34.581253,30.767455
169,36.472425,33.684902,29.842673
170,38.331334,32.779169,28.889497
171,40.248042,31.848194,27.903764
172,42.212572,30.892533,26.894895
173,44.202163,29.928195,25.869642
174,46.215668,28.94181,24.842522
175,48.229982,27.938944,23.831074
176,50.238571,26.918389,22.84304
177,52.244906,25.887843,21.86725
178,54.235661,24.848545,20.915794
179,18.739119,42.814726,38.446155
180,20.154519,42.312287,37.533194
181,21.614109,41.77398,36.611911
182,23.113435,41.196579,35.689986
183,24.656001,40.564637,34.779361
184,26.217444,39.901258,33.881298
