Spot,Position [°],Intensity [a.u.]
1,18.39336,10.65164
2,18.41157,11.86162
3,18.36096,17.07934
4,18.34487,21.32175
5,18.3799,23.28038
6,18.32726,22.15284
7,18.33495,23.91943
8,18.35542,16.52126
9,18.35449,12.93618
10,,
11,,
12,18.39122,11.07451
13,18.36862,17.29688
14,18.36912,23.90046
15,18.34385,28.29979
16,18.32885,29.64565
17,18.33682,31.27602
18,18.31612,29.76892
19,18.33372,30.26517
20,18.31219,23.32614
21,18.31726,20.48437
22,18.35356,10.93203
23,,
24,,
25,18.37194,16.89882
26,18.37868,21.0668
27,18.34064,25.19805
28,18.3336,34.10177
29,18.30189,33.45285
30,18.33352,36.67252
31,18.31242,34.43148
32,18.32484,32.25515
33,18.31681,27.88906
34,18.30706,24.29454
35,18.32247,19.12043
36,18.30269,12.96532
37,,
38,,
39,,
40,18.35911,18.57496
41,18.34793,23.82918
42,18.34209,33.8602
43,18.31879,37.00836
44,18.31718,38.1398
45,18.31513,44.375
46,18.32208,39.23186
47,18.3105,42.57356
48,18.32823,36.68157
49,18.30745,31.07708
50,18.29652,26.66567
51,18.26177,24.28099
52,18.2827,13.58344
53,,
54,,
55,,
56,,
57,18.36626,22.46995
58,18.37721,28.26777
59,18.33536,32.58841
60,18.33645,42.93785
61,18.32379,46.838
62,18.30978,47.76861
63,18.3102,49.30754
64,18.31446,45.62868
65,18.29387,48.28941
66,18.28867,42.05482
67,18.27846,35.22118
68,18.28985,34.79861
69,18.28917,24.25672
70,18.26922,16.53006
71,,
72,,
73,,
74,,
75,,
76,18.37639,33.49858
77,18.36461,41.52209
78,18.34199,46.42354
79,18.30407,52.71124
80,18.2884,59.80259
81,18.29419,59.42348
82,18.31098,58.70594
83,18.29171,54.21034
84,18.28178,47.49701
85,18.28294,45.14069
86,18.26713,42.65794
87,18.27362,34.06871
88,18.24368,27.81083
89,18.27379,19.98043
90,,
91,,
92,,
93,,
94,,
95,18.34664,36.07297
96,18.36344,46.10303
97,18.32885,54.36866
98,18.32451,61.3659
99,18.30891,67.78025
100,18.31143,71.71305
101,18.28119,70.73307
102,18.27807,61.6002
103,18.26641,57.8779
104,18.27272,48.35836
105,18.28113,47.39123
106,18.26337,44.05276
107,18.26039,41.41179
108,18.26599,36.73375
109,18.26403,24.73491
110,,
111,,
112,,
113,,
114,,
115,,
116,18.34389,49.10696
117,18.35227,56.12545
118,18.34247,62.99443
119,18.31047,70.97962
120,18.29645,80.43004
121,18.2761,82.95014
122,18.2607,75.07588
123,18.25651,67.56308
124,18.25594,59.25308
125,18.25707,58.91171
126,18.26298,50.1388
127,18.25161,49.78624
128,18.25704,47.18867
129,18.25612,36.92969
130,18.26361,22.64292
131,,
132,,
133,,
134,,
135,,
136,,
137,18.37413,56.33554
138,18.36482,67.5357
139,18.33036,76.87061
140,18.30397,82.92758
141,18.28984,96.29463
142,18.27018,97.00735
143,18.25792,88.55611
144,18.25038,70.65474
