Spot,Position [°],Intensity [a.u.]
1,27.90437,158.4125
2,27.84545,122.18279
3,27.7895,92.24402
4,27.72458,77.77042
5,27.6839,61.91219
6,27.6523,49.85293
7,27.59327,43.97822
8,27.58009,40.64999
9,27.57219,38.18028
10,27.5435,35.24648
11,27.52985,34.88472
12,27.93996,166.70446
13,27.87354,119.4171
14,27.81077,81.52795
15,27.73791,57.69541
16,27.67783,44.92598
17,27.62578,36.36542
18,27.62842,32.77195
19,27.61089,31.01078
20,27.62365,30.64458
21,27.5771,28.61529
22,27.57676,28.53353
23,27.53173,28.19915
24,27.50662,25.92725
25,27.95197,166.88426
26,27.90797,113.39887
27,27.8249,76.64941
28,27.75429,50.2258
29,27.68151,34.27093
30,27.65902,29.98274
31,27.68169,25.14448
32,27.59527,23.28914
33,27.6426,19.93085
34,27.55953,20.15592
35,27.55663,21.78232
36,27.53597,21.81315
37,27.53966,22.39016
38,27.49383,22.32858
39,27.48772,21.12786
40,27.97745,164.75885
41,27.92731,115.72757
42,27.85823,74.43341
43,27.77221,46.07218
44,27.69893,30.30976
45,27.64224,22.8449
46,27.65384,19.43412
47,27.66612,17.90887
48,27.6532,18.56623
49,27.62729,17.71048
50,27.57236,15.45708
51,27.60986,16.07467
52,27.56389,16.56436
53,27.57871,17.81885
54,27.47105,17.51953
55,27.45398,17.81158
56,27.50248,20.15936
57,27.99077,161.20143
58,27.95526,126.88439
59,27.8863,78.96717
60,27.7928,44.25007
61,27.7056,24.40072
62,27.66983,19.15487
63,27.70242,13.30177
64,27.64905,11.85339
65,27.71375,14.46763
66,27.60198,12.78376
67,27.44115,13.47009
68,27.61117,13.05652
69,27.60802,14.83288
70,27.57321,13.09885
71,27.46892,14.50802
72,27.54834,17.35143
73,27.43458,16.10428
74,27.37415,18.28266
75,27.44387,17.50398
76,27.97879,132.54209
77,27.92326,84.8172
78,27.83535,46.95951
79,27.7559,22.35559
80,27.70696,13.01778
81,27.6539,10.56472
82,27.57194,9.49881
83,27.70001,7.92035
84,27.7883,8.15251
85,27.68306,9.6282
86,27.49997,10.06646
87,27.65992,10.67674
88,27.69151,11.87005
89,27.59185,12.44886
90,27.51411,12.71663
91,27.51709,14.49198
92,27.4278,17.23796
93,27.42977,15.84839
94,27.43714,16.10924
95,27.99773,128.65312
96,27.95766,96.4488
97,27.88265,57.09975
98,27.76584,27.62525
99,27.67811,12.01044
100,27.71159,8.14064
101,27.74177,7.35629
102,27.54435,6.08245
103,27.71597,5.53259
104,27.88347,4.80694
105,27.91478,6.99883
106,27.50577,6.90715
107,27.48274,6.8976
108,27.43021,9.10961
109,27.55534,10.73857
110,27.51653,10.54493
111,27.42754,12.3689
112,27.47202,13.75168
113,27.43749,12.89465
114,27.43568,13.59012
115,27.40051,12.98131
116,27.9858,112.03323
117,27.93136,73.77555
118,27.84318,38.92303
119,27.71126,14.5146
120,27.71556,8.99957
121,,
122,,
123,,
124,,
125,,
126,27.32575,7.17293
127,27.74918,4.70794
128,27.48521,6.98147
129,27.51851,6.86024
130,27.43821,10.31903
131,27.43522,12.21367
132,27.42508,11.66342
