Spot,Position [°],Intensity [a.u.]
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,32.83164,8.92892
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,32.71532,5.48954
23,32.73972,9.8002
24,32.80756,12.78046
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,32.83271,3.04913
36,32.81826,7.90125
37,32.82903,8.89833
38,32.80613,11.48823
39,32.82384,15.41574
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,32.86255,4.03749
51,32.8913,6.38447
52,32.85603,10.55067
53,32.83361,10.49326
54,32.74802,13.80338
55,32.74685,16.66119
56,32.79064,14.74507
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,32.86594,5.66343
69,32.75765,9.45175
70,32.80192,12.93328
71,32.74569,15.978
72,32.79458,15.41802
73,32.77119,15.8663
74,32.73507,15.93475
75,32.76108,18.57061
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,32.82343,3.62351
87,32.79334,6.64413
88,32.72483,10.07385
89,32.76542,15.40339
90,32.74748,18.83885
91,32.76221,22.41403
92,32.74779,21.23265
93,32.74686,20.20807
94,32.75257,19.48916
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,32.87089,4.42706
106,32.74949,7.27043
107,32.75683,9.83624
108,32.76704,11.69406
109,32.759,18.84465
110,32.72949,22.36741
111,32.73082,23.01726
112,32.74562,22.05952
113,32.73544,23.32722
114,32.74553,21.38525
115,32.74741,17.34813
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,32.73204,5.84198
127,32.74592,8.06434
128,32.73399,11.09877
129,32.73279,17.04346
130,32.74471,19.7324
131,32.72721,24.92114
132,32.72798,24.7437
133,32.73785,26.3331
134,32.70467,26.6085
135,32.7471,23.49517
136,32.75009,21.09857
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,32.68549,4.51165
147,32.77574,8.21485
148,32.71223,10.58368
149,32.72172,12.73271
150,32.71658,17.71733
151,32.72254,21.74469
152,32.7381,26.48735
153,32.69096,28.40373
154,32.71264,29.13871
155,32.72384,27.0231
156,32.71839,23.04653
157,32.72857,22.82828
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,32.76148,6.60319
168,32.73625,7.32922
169,32.73126,9.52999
170,32.71315,13.69524
171,32.7355,19.92928
172,32.72217,26.48662
173,32.71946,29.16577
174,32.71731,29.97577
175,32.70323,30.98706
176,32.69874,29.40342
177,32.71216,25.47044
178,32.70366,26.02175
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,32.81851,5.06956
189,32.76242,7.26921
190,32.7124,10.72675
191,32.7189,13.65351
192,32.70712,22.27668
193,32.68757,26.64347
194,32.69771,29.50487
195,32.70387,31.56849
196,32.71037,32.09619
197,32.69455,30.15052
198,32.69984,26.0603
199,32.70335,24.5533
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,32.76185,6.31697
210,32.6636,11.64269
211,32.68996,13.80945
212,32.67984,15.32633
213,32.70749,21.63148
214,32.69858,28.58153
215,32.71763,32.6999
216,32.69878,33.72342
217,32.68714,33.59002
218,32.70065,31.47217
219,32.70211,29.62259
220,32.70279,27.73277
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,32.73227,7.05845
231,32.73067,11.09766
232,32.69465,13.63597
233,32.65036,13.16554
