Spot,Position [°],Intensity [a.u.]
1,35.05988,74.9481
2,35.07412,40.91872
3,35.08387,22.80803
4,35.13019,13.45037
5,35.21474,7.65986
6,,
7,,
8,,
9,,
10,,
11,,
12,35.05871,106.11269
13,35.07576,54.85791
14,35.08726,28.07925
15,35.13983,14.62705
16,35.1405,7.18108
17,35.17264,6.34904
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,35.06477,131.77287
26,35.06322,68.67101
27,35.05992,34.79562
28,35.12182,16.85679
29,35.19688,7.61861
30,35.13932,6.41723
31,35.11895,5.69799
32,35.3057,6.48942
33,35.17219,4.3942
34,,
35,,
36,,
37,,
38,,
39,,
40,35.06436,176.80097
41,35.06761,88.9984
42,35.06665,39.06611
43,35.09912,15.73239
44,35.08288,10.04435
45,35.25804,5.21003
46,35.12625,4.37704
47,35.17646,3.81239
48,35.20341,5.97239
49,35.22924,6.72622
50,35.14978,2.33381
51,,
52,,
53,,
54,,
55,,
56,,
57,35.07298,216.78709
58,35.06625,128.83062
59,35.06481,55.34267
60,35.09018,20.15657
61,35.14515,8.902
62,35.14233,7.64191
63,35.19884,6.16255
64,35.1776,6.00287
65,35.17001,7.26227
66,35.17314,5.01761
67,35.17305,5.75052
68,35.28001,5.80746
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,35.07312,169.07601
77,35.06928,77.79014
78,35.06671,27.14736
79,35.18223,10.03987
80,35.12148,8.03739
81,35.14065,7.29166
82,35.15054,6.86033
83,35.15718,6.77233
84,35.33894,5.58917
85,35.2636,6.19394
86,35.23188,5.86995
87,35.10832,8.09321
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,35.09338,220.20926
96,35.07578,123.68097
97,35.05429,48.70513
98,35.1208,14.32009
99,35.18177,11.3361
100,35.18593,8.60834
101,35.15757,7.68802
102,35.17605,7.63903
103,35.06523,6.23769
104,35.19533,6.64865
105,35.20687,7.81942
106,35.17914,6.1092
107,35.2232,4.88772
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,35.08842,187.54706
117,35.07801,92.28498
118,35.07715,25.73194
119,35.18806,10.72555
120,35.17346,9.19409
121,35.18778,7.5154
122,35.22351,7.99805
123,35.1133,10.17231
124,35.10145,8.35654
125,35.1078,7.25762
126,35.17008,6.37289
127,35.22211,5.90445
128,35.22523,5.44394
129,35.16778,3.37951
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,35.09157,147.62347
138,35.06459,63.94519
139,35.08334,15.66562
140,35.16788,7.74211
141,35.17828,9.42859
142,35.13107,9.38453
143,35.13263,9.63019
144,35.14301,9.14336
145,35.19896,10.00648
146,35.17226,9.73098
147,35.17499,8.47588
148,35.19378,7.4592
149,35.26382,5.61905
150,35.22101,4.6079
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,35.09003,111.70422
