Spot,Position [°],Intensity [a.u.]
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,37.14965,7.41337
28,37.00672,5.75175
29,37.03309,6.62612
30,37.11734,6.31342
31,37.06281,6.37933
32,37.03359,4.6348
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,37.12756,4.47995
42,37.2393,6.53338
43,37.04879,6.69074
44,37.05903,7.66623
45,37.05291,7.84656
46,37.06611,6.50186
47,37.06456,7.20639
48,37.03566,7.18595
49,37.03298,5.18868
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,37.24537,6.09791
60,37.05211,7.70197
61,37.07636,7.89644
62,37.06864,8.85469
63,37.0375,9.76373
64,37.04784,9.29107
65,37.07912,8.28339
66,37.00495,7.06239
67,37.05887,9.54261
68,37.01171,6.52874
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,37.14569,5.58104
78,37.10387,12.41351
79,37.04566,8.15868
80,37.04004,12.11075
81,37.06069,11.2378
82,37.05621,12.16223
83,37.00342,12.00607
84,36.98944,10.22686
85,37.05405,9.18889
86,36.98857,7.03185
87,36.95981,6.61301
88,36.98907,6.15801
89,,
90,,
91,,
92,,
93,,
94,,
95,37.09947,7.32829
96,37.31173,9.32514
97,37.15227,11.52998
98,37.14553,12.64937
99,37.07658,12.47676
100,37.07934,14.88599
101,37.0321,14.16352
102,37.01604,13.96938
103,36.99987,12.56864
104,37.00548,11.3695
105,36.99705,10.37294
106,37.02619,10.76341
107,37.03248,8.92858
108,36.98381,6.18655
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,37.22782,8.29208
117,37.20826,10.16874
118,37.10416,12.43919
119,37.03458,14.80982
120,37.09052,15.77787
121,37.04846,18.64387
122,37.00203,17.1549
123,36.9771,16.74676
124,36.9426,16.28007
125,36.99244,12.857
126,36.97715,11.94131
127,36.93135,7.31227
128,37.01337,7.57578
129,37.00945,4.57325
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,37.23335,11.46147
138,37.19556,11.7612
139,37.16197,15.79059
140,37.08554,17.7979
141,37.04987,19.94726
142,37.0086,19.82127
143,36.95283,19.45545
144,36.94229,17.01289
145,36.99547,14.81061
146,36.98383,12.641
147,36.98815,12.23466
148,36.98189,10.25959
149,36.98558,8.42207
150,37.17271,8.63913
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,37.26248,13.54198
159,37.20901,17.34457
160,37.1734,15.6893
161,37.08165,22.33315
162,37.04845,22.74718
163,37.01185,24.68322
164,36.98416,21.84392
165,36.95094,18.28839
166,36.92097,18.32531
167,36.95573,16.00777
168,36.95495,14.28558
169,36.98784,10.85111
170,36.95878,9.08478
171,37.09695,6.38637
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,37.2969,15.77814
180,37.25692,17.86714
181,37.17661,17.68429
182,37.1002,23.4542
183,37.05937,22.54784
184,37.00799,24.99615
185,36.97781,21.44263
186,36.95504,19.59172
187,36.95139,16.76378
188,36.98418,17.93531
189,36.95921,12.3656
190,36.94039,11.0908
191,36.98276,9.16516
192,36.97724,5.42324
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,37.34166,16.59262
201,37.22535,17.35389
202,37.16464,20.33221
203,37.11898,24.29415
204,37.08919,25.61841
205,37.02701,23.16248
206,36.98879,25.39339
207,36.96946,23.62319
208,36.98141,20.18116
209,36.97484,17.54655
210,36.9989,12.90172
