Spot,Position [°],Intensity [a.u.]
1,39.84256,2284.75424
2,39.84718,2306.31708
3,39.85146,2329.0156
4,39.85592,2463.1816
5,39.85674,2482.86859
6,39.85694,2427.99683
7,39.85195,2430.0508
8,39.85184,2416.18248
9,39.85109,2407.14293
10,39.84698,2341.78929
11,39.84349,2297.45472
12,39.85294,2315.87245
13,39.86434,2460.83352
14,39.87249,2467.28472
15,39.87025,2421.06569
16,39.86798,2463.61333
17,39.86307,2389.50358
18,39.85565,2483.88908
19,39.85392,2358.65724
20,39.84993,2530.87056
21,39.84715,2391.47873
22,39.84658,2416.09265
23,39.84336,2291.80197
24,39.8424,2259.70246
25,39.86256,2291.86773
26,39.87323,2477.66332
27,39.87254,2403.22308
28,39.87165,2422.65372
29,39.86634,2473.13353
30,39.86137,2390.09988
31,39.85601,2465.66808
32,39.85152,2370.06257
33,39.84621,2452.82288
34,39.84337,2420.58153
35,39.83903,2481.1056
36,39.83708,2291.86207
37,39.83485,2265.91629
38,39.83637,2143.78657
39,39.83549,2183.04565
40,39.86358,2288.10367
41,39.87639,2366.44637
42,39.8718,2403.40647
43,39.86779,2332.3121
44,39.86546,2425.97439
45,39.86027,2359.52181
46,39.85669,2391.71705
47,39.8498,2380.63593
48,39.84559,2367.51371
49,39.84088,2389.61298
50,39.83574,2389.1704
51,39.8311,2368.03554
52,39.82442,2355.58595
53,39.82394,2349.94478
54,39.82605,2177.21085
55,39.82751,2241.97462
56,39.82768,2087.91292
57,39.86341,2243.32876
58,39.87433,2376.08118
59,39.87135,2418.87564
60,39.8679,2390.82095
61,39.86464,2344.0826
62,39.85915,2406.70377
63,39.85366,2390.71678
64,39.84865,2366.11677
65,39.84535,2369.9028
66,39.84178,2358.79211
67,39.83544,2275.67926
68,39.82949,2360.89759
69,39.8221,2390.50667
70,39.81818,2373.04058
71,39.81278,2330.61801
72,39.81401,2335.87876
73,39.81666,2286.22536
74,39.81997,2169.62334
75,39.82053,2173.91706
76,39.87276,2344.94982
77,39.87572,2323.37579
78,39.86775,2380.82226
79,39.86328,2451.58392
80,39.85805,2379.96594
81,39.85502,2354.21701
82,39.85068,2379.67135
83,39.84849,2272.88201
84,39.84637,2311.37862
85,39.84302,2314.17237
86,39.83795,2214.54089
87,39.8282,2175.55141
88,39.81788,2350.14877
89,39.80853,2417.86388
90,39.80363,2277.7543
91,39.80258,2269.77879
92,39.80874,2228.97354
93,39.80978,2218.23265
94,39.81259,2150.64856
95,39.86622,2384.76881
96,39.87444,2417.72638
97,39.86977,2481.38697
98,39.86423,2450.21025
99,39.85915,2397.5707
100,39.85749,2447.79489
101,39.85347,2365.20188
102,39.85456,2278.71548
103,39.85592,2126.73881
104,39.85685,2064.48139
105,39.853,2061.79421
106,39.85026,2121.63407
107,39.83089,2160.70582
108,39.81655,2295.02208
109,39.80355,2293.16705
110,39.79908,2172.68683
111,39.79631,2235.57777
112,39.79718,2218.12258
113,39.7999,2148.05643
114,39.80337,2169.07116
115,39.80501,2043.25925
116,39.86591,2394.96381
117,39.86944,2383.91371
118,39.86293,2426.44611
119,39.85886,2393.93761
120,39.85547,2387.45764
121,39.85342,2494.35703
122,39.85404,2395.32661
123,39.86064,2321.58714
124,39.86827,2145.68831
125,39.85937,2106.57686
126,39.85647,2103.07254
127,39.84781,2069.30481
128,39.83651,2127.15618
129,39.81982,2168.06863
130,39.80299,2300.59412
131,39.79379,2366.60834
132,39.78831,2241.15384
133,39.78815,2136.29466
134,39.79163,2184.48642
135,39.79699,2238.27036
136,39.79766,2087.09313
137,39.86648,2369.19009
138,39.86554,2413.46256
139,39.85922,2497.73634
140,39.85611,2370.91424
141,39.85494,2381.81258
142,39.85203,2401.84588
143,39.85747,2273.21648
144,39.86448,2159.38419
145,39.86745,2250.4631
146,39.86168,2032.8997
147,39.85569,2084.67015
148,39.84599,2109.26258
149,39.83818,2089.08154
150,39.8223,2173.2373
151,39.80533,2281.57754
152,39.79569,2336.19973
153,39.78785,2290.45222
154,39.78523,2224.58928
155,39.78659,2222.01499
156,39.78851,2202.33936
157,39.79239,2129.5042
158,39.86434,2343.2144
159,39.86298,2511.66331
160,39.85487,2507.53581
161,39.85234,2473.36696
162,39.85097,2450.67202
163,39.8491,2420.24196
164,39.85339,2400.0855
165,39.86373,2251.38467
166,39.86755,2181.06983
167,39.86674,2140.20395
168,39.856,2048.76384
169,39.84602,2027.29966
170,39.83538,2091.18281
171,39.82005,2220.25274
172,39.80668,2288.65518
173,39.79817,2255.23407
174,39.78846,2277.03498
175,39.78277,2251.48576
176,39.78271,2243.4429
177,39.78565,2177.40805
178,39.78461,2205.89852
179,39.8591,2399.26379
180,39.8574,2543.20455
181,39.85222,2434.5395
182,39.84752,2454.63838
183,39.84493,2552.82032
184,39.84761,2473.74912
185,39.84623,2411.70262
186,39.85182,2286.07661
187,39.85871,2206.98844
188,39.85806,2208.78823
189,39.85396,2053.26376
190,39.84203,2177.87721
191,39.83583,2174.76344
192,39.8198,2266.46243
193,39.80767,2283.96564
194,39.80077,2309.84219
195,39.79104,2231.20119
196,39.78532,2261.28946
197,39.78244,2192.94279
198,39.77881,2245.19021
199,39.78112,2114.61998
200,39.85451,2385.90538
201,39.85663,2457.53159
202,39.84955,2531.65907
203,39.84356,2553.00707
204,39.84293,2487.61111
205,39.84407,2389.1481
206,39.84153,2351.57995
207,39.84019,2287.17148
208,39.83893,2338.50411
209,39.84259,2204.71932
210,39.83955,2199.26029
211,39.83459,2148.31726
212,39.82619,2255.5394
213,39.81454,2304.61697
214,39.80713,2346.13093
215,39.80247,2264.69424
216,39.79375,2230.54465
217,39.78654,2278.42644
218,39.78305,2189.1946
219,39.78113,2138.28162
220,39.77989,2188.02163
221,39.85395,2456.71938
222,39.85448,2604.7264
223,39.84979,2495.25748
224,39.84269,2576.15472
225,39.83686,2591.8062
226,39.83608,2557.67005
227,39.8363,2414.79524
228,39.83239,2443.05316
229,39.83068,2442.83441
230,39.83011,2353.0127
231,39.82721,2355.9517
232,39.82346,2370.972
233,39.8176,2257.03471
234,39.81133,2269.79048
235,39.80576,2333.0311
236,39.80057,2331.7101
237,39.79262,2304.81776
238,39.78817,2357.11986
239,39.78331,2357.94389
240,39.7821,2191.78439
241,39.77777,2111.86266
242,39.85265,2572.10688
243,39.84832,2667.30848
244,39.8416,2687.58332
245,39.83635,2672.88563
246,39.83106,2503.26627
247,39.83077,2406.77421
248,39.82788,2433.19738
249,39.82778,2435.06028
250,39.82408,2292.11949
251,39.82126,2367.39026
252,39.81795,2271.71211
253,39.81599,2318.14817
254,39.80957,2323.55149
255,39.80282,2332.43252
256,39.79869,2410.47678
257,39.79297,2346.1751
258,39.78791,2343.77253
259,39.78298,2274.13102
260,39.77889,2128.81838
261,39.84845,2495.78524
262,39.84736,2593.37493
263,39.84019,2603.08381
264,39.83617,2616.36504
265,39.82904,2587.34031
266,39.82795,2495.99401
267,39.82425,2370.9463
268,39.82234,2384.77017
269,39.81925,2340.49935
270,39.81626,2327.90626
271,39.81475,2451.24317
272,39.80984,2359.24869
273,39.80571,2361.20757
274,39.8017,2384.07079
275,39.79761,2394.53392
276,39.79297,2348.73231
277,39.78835,2246.80484
278,39.78361,2258.21722
