Spot,Position [°],Intensity [a.u.]
1,40.52619,525.34548
2,40.51309,453.36944
3,40.5153,400.58924
4,40.47606,377.98206
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,40.6023,603.26569
13,40.64528,613.33145
14,40.66139,625.19515
15,40.64402,568.92413
16,40.61941,513.63225
17,40.58664,437.43157
18,40.53601,391.80588
19,,
20,,
21,,
22,,
23,,
24,,
25,40.65307,680.46746
26,40.67564,770.95306
27,40.67268,745.42841
28,40.65586,740.97408
29,40.63405,694.13336
30,40.60289,603.83706
31,40.57531,535.89638
32,40.50265,453.11008
33,40.41193,405.79141
34,,
35,,
36,,
37,,
38,,
39,,
40,40.67333,729.20058
41,40.68559,820.61414
42,40.67116,860.84689
43,40.6445,798.39308
44,40.62001,795.03645
45,40.58699,688.67854
46,40.53754,619.68974
47,40.45431,552.69011
48,40.36426,501.77058
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,40.69046,801.20283
58,40.68953,829.94541
59,40.6715,895.6764
60,40.64011,875.06682
61,40.60397,816.41574
62,40.55481,771.29123
63,40.47569,685.65584
64,40.35,634.49457
65,40.35,572.30379
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,40.69588,856.29506
77,40.67801,892.04115
78,40.63598,896.00521
79,40.5886,862.52409
80,40.51558,793.33482
81,40.41386,753.24436
82,40.35,716.92451
83,40.35,635.04075
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,40.69622,868.6786
96,40.68194,880.99157
97,40.64033,890.81936
98,40.59003,863.03661
99,40.5105,808.06209
100,40.35842,831.91208
101,40.35,765.35076
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,40.68312,744.43051
117,40.66266,794.64943
118,40.60588,784.68697
119,40.51506,765.18857
120,40.35,784.35189
121,40.35,797.58465
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,40.66446,647.65618
138,40.63002,677.31227
139,40.54109,700.1682
140,40.3774,699.19249
141,40.35,713.65153
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,40.63304,514.75057
159,40.58723,576.03001
160,40.4371,606.2123
161,40.35,626.09416
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,40.57072,413.12551
180,40.47516,464.61685
181,40.35,506.09673
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,40.41129,344.71694
201,40.35,385.5408
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
