Spot,Position [°],Intensity [a.u.]
1,47.48425,10.11374
2,47.41155,12.36001
3,47.38662,9.68329
4,47.38081,7.41054
5,47.3748,3.43396
6,47.47772,4.26914
7,,
8,,
9,,
10,,
11,,
12,47.43136,17.34711
13,47.41412,22.29751
14,47.40135,23.3573
15,47.37287,16.19258
16,47.30298,11.20431
17,47.30869,5.94783
18,47.42127,4.4321
19,,
20,,
21,,
22,,
23,,
24,,
25,47.44424,18.64529
26,47.4267,30.25467
27,47.36237,24.42382
28,47.33191,20.93749
29,47.33291,11.17158
30,47.32158,9.54836
31,47.19693,7.78877
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,47.42188,18.35486
41,47.41166,31.07103
42,47.35631,25.84071
43,47.30892,17.1335
44,47.23424,12.30798
45,47.27626,6.7597
46,47.22159,7.39426
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,47.45688,20.98568
58,47.43312,26.28631
59,47.3754,25.6345
60,47.26164,15.78267
61,47.25271,13.71659
62,47.25221,12.81177
63,47.22312,8.98866
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,47.42117,25.07134
77,47.3744,20.22102
78,47.26848,16.52035
79,47.20816,13.4464
80,47.1868,13.15426
81,47.21852,8.37496
82,47.26325,5.59157
83,47.04126,3.05647
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,47.44099,21.97906
96,47.36528,22.17219
97,47.33146,13.65518
98,47.2029,13.98675
99,47.20139,12.52844
100,47.15786,11.81159
101,47.14246,8.53603
102,47.12916,7.78319
103,47.02778,4.81741
104,47.13619,4.32815
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,47.42729,16.22808
117,47.34569,15.66253
118,47.29424,13.02131
119,47.18719,12.44052
120,47.16056,10.19066
121,47.17973,13.13243
122,47.11292,9.29634
123,47.15956,9.28157
124,47.19721,5.30951
125,46.78636,3.51532
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,47.35946,13.04271
138,47.34887,11.57947
139,47.1399,8.1901
140,47.1225,8.17417
141,47.22648,11.67405
142,47.10414,9.78402
143,47.14268,11.91489
144,47.14702,9.01938
145,47.16188,5.78812
146,47.17132,3.53051
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,47.36502,8.60125
159,47.20161,8.23203
160,47.18205,6.84427
161,47.18025,8.15642
162,47.14962,9.891
163,47.16918,9.61161
164,47.22345,11.00312
165,47.15089,10.8909
166,47.14833,7.46578
167,47.07535,6.75103
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,47.44041,5.21812
180,47.17657,4.11924
181,47.21192,7.8045
182,47.30811,8.91887
183,47.26664,4.58557
184,47.04581,7.09659
185,47.09791,6.09394
186,47.08406,6.78497
187,47.02877,6.86649
188,47.10679,7.97307
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,47.49757,2.89751
201,47.33598,6.27363
202,47.21601,1.95915
203,47.25146,4.01475
204,46.94861,4.55779
205,46.7896,4.19846
206,47.11931,6.18918
207,47.09583,5.47156
208,47.11587,5.67432
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,47.21573,5.94768
224,47.3608,3.42833
225,47.24723,4.7185
226,47.24566,4.47789
227,47.16409,3.09272
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
