Spot,TiO2
1,0.5245722877638807
2,0.7179297229883522
3,0.7466150980628397
4,0.8664701773695127
5,0.856875958567107
6,0.8534507601783138
7,0.9627758475279958
8,0.9715258760204363
9,0.976921937225455
10,0.9643934040814199
11,1.0
12,0.3636534961038623
13,0.44104344201706935
14,0.47041955525742507
15,0.5506978205725189
16,0.6610816056060097
17,0.6978169092051748
18,0.7597244699591988
19,0.7600289320382025
20,0.8924890670435267
21,0.811757364888847
22,0.9537270554446612
23,0.863095044269112
24,0.9307987815004282
25,0.2188186871334651
26,0.3523151329050241
27,0.3289464472368845
28,0.381705899400519
29,0.4436960882321336
30,0.40526751959465834
31,0.4920823578064402
32,0.5555276962803525
33,0.6342527165506889
34,0.8054373345403274
35,0.7452722900432759
36,0.8659210873366568
37,0.8892486624834336
38,0.816426868859879
39,0.8010291469526113
40,0.14264414732708344
41,0.2581781445071459
42,0.24851961419607357
43,0.19755355764753382
44,0.29428295110045943
45,0.3488862712024461
46,0.32232683922774086
47,0.40328729497653854
48,0.5027295758045451
49,0.5302032080859918
50,0.6029928459552131
51,0.6414771783691904
52,0.6067697224673477
53,0.7003873343775133
54,0.7716908879546985
55,0.7832555625384647
56,0.7482998153689853
57,0.0664508839169128
58,0.08647048671601015
59,0.09908978863493532
60,0.10828877658344704
61,0.10681490333736025
62,0.19092011045298093
63,0.21418825850947087
64,0.15450270108336397
65,0.32150707100967435
66,0.3241108730409411
67,0.445854594121114
68,0.4683648432590142
69,0.6242119805014018
70,0.5980449301365358
71,0.6632690109704037
72,0.6341599126014738
73,0.6857357073777511
74,0.6260757931481379
75,0.6136872799976555
76,0.08929856495788001
77,0.0
78,0.07995548666716595
79,0.018385764851074092
80,0.07563196233136545
81,0.0858607484882725
82,0.08044026519135522
83,0.22570897332781933
84,0.1842512512251749
85,0.2415821119573818
86,0.2473892783760286
87,0.2602466956909661
88,0.43844940882256206
89,0.5230072387080388
90,0.5290863044164911
91,0.5474846873483795
92,0.634741565423528
93,0.6345356057818489
94,0.6305849253823684
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0625938215363775
104,0.1433702975262049
105,0.18252298118847665
106,0.23859366197871046
107,0.43571657673909714
108,0.24296073904506363
109,0.3325080023054454
110,0.4152374315774392
111,0.4578633437425716
112,0.43462450219636006
113,0.49291677927964594
114,0.4919394885688328
115,0.4507202888970657
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.2474678361049694
129,0.23493889592606942
130,0.23053599979159817
131,0.31336189632659167
132,0.333287881106744
133,0.2762667739067858
134,0.4350661350248617
135,0.3962219837902435
136,0.39293395615094806
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.18014223426321804
152,0.2174701806257917
153,0.18806353977056256
154,0.4095776117799146
155,0.29535182465589266
156,0.32812138756557324
157,0.295628201329213
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.08207532424397344
174,0.12971631298050465
175,0.23978138971471744
176,0.28502901344517567
177,0.22996045249251867
178,0.2337735551076363
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.12094593274481519
197,0.14180117812171317
198,0.23868402371873565
199,0.39160824359571345
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.09889115562082587
219,0.09702734297408978
220,0.20972227197092794
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.22808280066037334
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
