Spot,Position [°],Intensity [a.u.]
1,27.21855,14.71506
2,27.2238,19.46545
3,27.20707,20.17019
4,27.19146,23.11478
5,27.23679,22.87907
6,27.1971,22.79492
7,27.20286,25.48081
8,27.2033,25.69578
9,27.18995,25.82835
10,27.17937,25.52055
11,27.15233,26.39533
12,27.24248,10.76162
13,27.18105,12.66293
14,27.23159,13.38464
15,27.20649,15.35691
16,27.11557,18.06881
17,27.16962,18.97132
18,27.1469,20.49226
19,27.18879,20.49974
20,27.1942,23.75401
21,27.17928,21.7706
22,27.1602,25.2585
23,27.16005,23.03186
24,27.16959,24.6952
25,27.05527,7.20333
26,27.0924,10.48306
27,27.09265,9.90894
28,27.13514,11.20513
29,27.15578,12.7281
30,27.15245,11.78399
31,27.18589,13.91685
32,27.17029,15.47557
33,27.1574,17.40968
34,27.13928,21.61533
35,27.16462,20.1372
36,27.1424,23.10129
37,27.12284,23.6744
38,27.12363,21.88532
39,27.11072,21.50703
40,27.08695,5.33188
41,27.14726,8.17031
42,26.92728,7.93302
43,27.06581,6.68089
44,27.12686,9.05733
45,27.14139,10.39882
46,27.1147,9.74631
47,27.15772,11.73534
48,27.08816,14.17843
49,27.11438,14.8534
50,27.14726,16.64169
51,27.14035,17.58717
52,27.12571,16.73448
53,27.11356,19.03447
54,27.0984,20.78625
55,27.09878,21.07037
56,27.09332,20.21158
57,27.04141,3.45997
58,26.93701,3.95181
59,27.06006,4.26184
60,26.93192,4.48784
61,27.02786,4.45163
62,26.89087,6.51792
63,27.00168,7.08957
64,27.04078,5.62322
65,26.98479,9.72617
66,27.03655,9.79014
67,27.04012,12.78113
68,27.07783,13.33416
69,27.07539,17.163
70,27.08634,16.52013
71,27.06731,18.12255
72,27.07214,17.4074
73,27.11152,18.67451
74,27.08201,17.20879
75,27.06165,16.90443
76,26.805,4.02129
77,27.05359,1.82741
78,27.07035,3.79175
79,27.13249,2.27911
80,26.926,3.68553
81,26.95372,3.93683
82,26.89564,3.80366
83,26.92874,7.37261
84,27.08047,6.35408
85,27.02895,7.76258
86,26.98553,7.90525
87,27.00237,8.22113
88,26.98036,12.5992
89,26.97086,14.67661
90,27.0426,14.82596
91,27.04074,15.27797
92,27.04677,17.42169
93,27.07125,17.41663
94,27.0439,17.31957
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,26.99948,3.36521
104,26.72021,5.34972
105,26.99113,6.31162
106,26.98069,7.68916
107,26.9814,12.53206
108,26.92659,7.79645
109,26.98978,9.99644
110,27.01292,12.02893
111,26.96977,13.07616
112,27.0109,12.50523
113,27.00888,13.93735
114,26.99197,13.91334
115,27.01639,12.90067
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,26.82931,7.90718
129,26.8965,7.59937
130,26.92342,7.4912
131,26.96193,9.52606
132,27.03075,10.0156
133,27.03288,8.61471
134,27.04378,12.51608
135,27.00756,11.56176
136,27.06378,11.48098
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,26.91654,6.25313
152,26.92083,7.1702
153,26.93919,6.44774
154,26.92378,11.88988
155,27.06263,9.08359
156,27.03917,9.88867
157,27.00151,9.09038
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,26.82582,3.84383
174,26.9603,5.01427
175,26.95124,7.71834
176,26.92254,8.82998
177,26.92348,7.47706
178,26.9883,7.57074
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,26.78601,4.7988
197,26.74691,5.31117
198,26.76004,7.69138
199,26.98874,11.44841
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,26.75029,4.25696
219,27.01561,4.21117
220,26.80966,6.97985
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,26.79116,7.43093
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
