Spot,Position [°],Intensity [a.u.]
1,39.6772,1003.86382
2,39.67424,1033.70796
3,39.67151,1044.43249
4,39.67091,1061.25866
5,39.66966,1104.55991
6,39.67037,1064.9789
7,39.66731,1020.7178
8,39.66657,1020.53242
9,39.66377,1036.88307
10,39.66103,981.27174
11,39.65926,977.88867
12,39.68005,1040.38408
13,39.67658,1063.05667
14,39.6744,1062.75368
15,39.67401,1078.27946
16,39.67063,1095.55251
17,39.67053,1098.47289
18,39.66647,1073.59445
19,39.66438,1105.6713
20,39.66569,1113.02009
21,39.66339,1074.13599
22,39.66072,1061.95025
23,39.65994,1017.52924
24,39.65745,1039.63716
25,39.6813,1085.20035
26,39.67801,1098.6393
27,39.67732,1113.0293
28,39.67293,1129.95631
29,39.67244,1148.05026
30,39.67069,1182.43924
31,39.66825,1136.66858
32,39.66524,1152.26273
33,39.66509,1113.77911
34,39.66399,1122.81056
35,39.6613,1150.40836
36,39.66149,1117.92865
37,39.65768,1038.55114
38,39.65586,1047.69082
39,39.65262,978.28935
40,39.67938,1020.75586
41,39.67843,1093.58688
42,39.67656,1159.35319
43,39.67552,1135.93603
44,39.67241,1135.86551
45,39.67187,1187.25563
46,39.66817,1195.34412
47,39.66691,1152.96926
48,39.6663,1163.69733
49,39.66318,1165.72575
50,39.66294,1156.46517
51,39.65992,1142.99899
52,39.65927,1063.13773
53,39.65658,1128.29135
54,39.65481,1068.73177
55,39.65258,1049.55426
56,39.64943,1007.88249
57,39.68004,1081.8902
58,39.67781,1134.80973
59,39.67684,1103.20446
60,39.67454,1170.65343
61,39.6725,1164.77343
62,39.67086,1186.66759
63,39.66886,1245.8185
64,39.66693,1237.28122
65,39.66362,1264.15521
66,39.66375,1174.41725
67,39.66171,1221.29523
68,39.66185,1205.23621
69,39.66048,1176.23598
70,39.65726,1135.10063
71,39.65586,1143.66778
72,39.65397,1098.56465
73,39.65144,1038.76149
74,39.65018,1010.23586
75,39.64666,983.09309
76,39.67633,1068.05204
77,39.67767,1122.96445
78,39.6725,1175.24819
79,39.67129,1185.23473
80,39.67005,1232.17987
81,39.66896,1263.07414
82,39.66565,1232.05422
83,39.66458,1280.68167
84,39.66221,1289.95554
85,39.66065,1200.31719
86,39.65976,1276.86137
87,39.65918,1201.21512
88,39.65639,1212.81247
89,39.655,1184.72583
90,39.65568,1141.98661
91,39.65215,1086.24446
92,39.64964,1090.40922
93,39.64854,1025.17421
94,39.64389,944.14938
95,39.67582,1040.26342
96,39.67502,1095.81633
97,39.67323,1135.08244
98,39.67101,1152.2067
99,39.66925,1207.63361
100,39.66588,1249.56301
101,39.66624,1219.35273
102,39.66363,1253.52171
103,39.66061,1297.07078
104,39.66031,1309.75328
105,39.65834,1266.43887
106,39.65824,1295.28159
107,39.65657,1225.72819
108,39.65295,1209.9751
109,39.65248,1179.15798
110,39.65053,1170.63677
111,39.64938,1124.75816
112,39.6478,1114.75664
113,39.64572,1006.3479
114,39.64413,969.91514
115,39.64096,951.96997
116,39.67315,1093.18139
117,39.67086,1104.61792
118,39.67,1144.25224
119,39.66736,1130.65065
120,39.66653,1238.98655
121,39.66513,1268.03485
122,39.66291,1225.88639
123,39.6619,1257.92099
124,39.65995,1256.14749
125,39.65718,1269.13887
126,39.65481,1253.00725
127,39.65437,1237.71221
128,39.65252,1235.19219
129,39.65212,1244.22298
