	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
769.43	1313.9625874	769.51	5049.630621467	769.48	9732.712173934	769.43	12664.704614848	769.56	16455.607996358	769.44	21590.545241755
769.53	1333.26345447	769.61	5046.512498177	769.58	9715.329392574	769.53	12655.361240614	769.66	16452.704243641	769.54	21613.739374685
769.63	1344.52320262	769.71	5046.934397467	769.68	9747.747695354	769.63	12664.754436898	769.76	16457.954944225	769.64	21620.744599615
769.73	1332.64666318	769.81	5068.509502597	769.78	9737.994887394	769.73	12670.904647764	769.86	16446.272688091	769.74	21653.615150015
769.83	1355.43070276	769.91	5066.192897707	769.88	9744.308928934	769.83	12670.689629514	769.96	16439.645909691	769.84	21637.179112685
769.93	1352.58945373	770.01	5056.936413197	769.98	9744.163402774	769.93	12663.738316281	770.06	16452.459598941	769.94	21656.666567615
770.03	1362.80470207	770.11	5071.372544267	770.08	9739.171722024	770.03	12669.629135181	770.16	16463.376603091	770.04	21585.239747615
770.13	1355.88489107	770.21	5075.168774267	770.18	9736.714165354	770.13	12672.505095364	770.26	16441.494143641	770.14	21548.036655085
770.23	1357.05687282	770.31	5087.452096217	770.28	9744.366957954	770.23	12676.925815314	770.36	16447.915447141	770.24	21587.922601755
770.33	1341.58157522	770.41	5085.409573867	770.38	9740.815660334	770.33	12677.748951581	770.46	16459.343996458	770.34	21562.899205355
770.43	1350.54714644	770.51	5072.739145017	770.48	9734.046650684	770.43	12681.691090098	770.56	16454.672885258	770.44	21603.755173755
770.53	1374.84411898	770.61	5078.572047047	770.58	9747.710914994	770.53	12666.845279814	770.66	16463.933386925	770.54	21627.115909885
770.63	1367.90006227	770.71	5083.153307107	770.68	9739.180346484	770.63	12671.936897198	770.76	16458.342760958	770.64	21592.149763755
770.73	1364.12520389	770.81	5070.148886597	770.78	9736.176091954	770.73	12663.979966331	770.86	16455.368675908	770.74	21581.766103085
770.83	1364.11347487	770.91	5077.382231817	770.88	9762.509540284	770.83	12665.272677914	770.96	16447.595439391	770.84	21563.774410685
770.93	1359.80685789	771.01	5094.067108597	770.98	9748.694435514	770.93	12671.295066581	771.06	16449.995811025	770.94	21577.538386415
771.03	1359.89675604	771.11	5078.578931357	771.08	9757.001873864	771.03	12658.383799148	771.16	16459.106392325	771.04	21607.901341085
771.13	1361.2278478	771.21	5086.362549287	771.18	9753.557956244	771.13	12672.661698814	771.26	16455.970457875	771.14	21624.592883355
771.23	1374.76008076	771.31	5077.677638847	771.28	9755.417532224	771.23	12678.430873331	771.36	16453.934587425	771.24	21581.165402555
771.33	1368.39023124	771.41	5072.799729997	771.38	9758.087525974	771.33	12666.471852198	771.46	16453.148963341	771.34	21647.498199355
771.43	1358.44934156	771.51	5071.945131047	771.48	9765.325250684	771.43	12680.544160314	771.56	16452.321852208	771.44	21639.105978415
771.53	1351.89807871	771.61	5096.150891247	771.58	9746.801489394	771.53	12672.699340664	771.66	16459.115803425	771.54	21605.400277885
771.63	1364.21602616	771.71	5097.795963557	771.68	9749.383054624	771.63	12667.538301498	771.76	16467.683389558	771.64	21651.282322955
