X	Z
µm	µm
0	-0.138
1.388	-0.154
2.776	-0.185
4.163	-0.14
5.551	-0.192
6.939	-0.181
8.327	-0.175
9.714	-0.153
11.102	-0.192
12.49	-0.171
13.878	-0.164
15.265	-0.167
16.653	-0.184
18.041	-0.17
19.429	-0.176
20.816	-0.197
22.204	-0.185
23.592	-0.172
24.98	-0.157
26.368	-0.219
27.755	-0.198
29.143	-0.193
30.531	-0.191
31.919	-0.175
33.306	-0.207
34.694	-0.185
36.082	-0.179
37.47	-0.167
38.857	-0.171
40.245	-0.196
41.633	-0.18
43.021	-0.194
44.408	-0.19
45.796	-0.189
47.184	-0.214
48.572	-0.209
49.959	-0.196
51.347	-0.183
52.735	-0.176
54.123	-0.196
55.511	-0.196
56.898	-0.19
58.286	-0.18
59.674	-0.185
61.062	-0.193
62.449	-0.172
63.837	-0.182
65.225	-0.188
66.613	-0.18
68	-0.177
69.388	-0.182
70.776	-0.19
72.164	-0.188
73.551	-0.178
74.939	-0.187
76.327	-0.203
77.715	-0.183
79.103	-0.177
80.49	-0.186
81.878	-0.187
83.266	-0.177
84.654	-0.188
86.041	-0.193
87.429	-0.18
88.817	-0.18
90.205	-0.155
91.592	-0.168
92.98	-0.187
94.368	-0.18
95.756	-0.152
97.143	-0.208
98.531	-0.135
99.919	-0.155
101.307	-0.166
102.695	-0.18
104.082	-0.163
105.47	-0.192
106.858	-0.193
108.246	-0.142
109.633	-0.163
111.021	-0.217
112.409	-0.172
113.797	-0.174
115.184	-0.172
116.572	-0.154
117.96	-0.165
119.348	-0.181
120.735	-0.184
122.123	-0.196
123.511	-0.187
124.899	-0.183
126.286	-0.207
127.674	-0.189
129.062	-0.171
130.45	-0.173
131.838	-0.192
133.225	-0.167
134.613	-0.192
136.001	-0.183
137.389	-0.184
138.776	-0.164
140.164	-0.161
141.552	-0.191
142.94	-0.177
144.327	-0.18
145.715	-0.186
147.103	-0.142
148.491	-0.169
149.878	-0.179
151.266	-0.178
152.654	-0.17
154.042	-0.172
155.43	-0.166
156.817	-0.174
158.205	-0.167
159.593	-0.16
160.981	-0.156
162.368	-0.169
163.756	-0.172
165.144	-0.174
166.532	-0.168
167.919	-0.168
169.307	-0.157
170.695	-0.157
172.083	-0.178
173.47	-0.17
174.858	-0.176
176.246	-0.176
177.634	-0.168
179.022	-0.199
180.409	-0.17
181.797	-0.149
183.185	-0.178
184.573	-0.181
185.96	-0.194
187.348	-0.168
188.736	-0.167
190.124	-0.171
191.511	-0.189
192.899	-0.179
194.287	-0.173
195.675	-0.157
197.062	-0.163
198.45	-0.183
199.838	-0.169
201.226	-0.173
202.613	-0.173
204.001	-0.171
205.389	-0.173
206.777	-0.181
208.165	-0.171
209.552	-0.161
210.94	-0.172
212.328	-0.159
213.716	-0.161
215.103	-0.181
216.491	-0.203
217.879	-0.185
219.267	-0.177
220.654	-0.181
222.042	-0.184
223.43	-0.183
224.818	-0.168
226.205	-0.159
227.593	-0.159
228.981	-0.197
230.369	-0.175
231.757	-0.162
233.144	-0.183
234.532	-0.164
235.92	-0.191
237.308	-0.16
238.695	-0.164
240.083	-0.18
241.471	-0.167
242.859	-0.191
244.246	-0.188
245.634	-0.18
247.022	-0.17
248.41	-0.184
249.797	-0.136
251.185	-0.187
252.573	-0.186
253.961	-0.19
255.349	-0.198
256.736	-0.16
258.124	-0.179
259.512	-0.166
260.9	-0.174
262.287	-0.16
263.675	-0.162
265.063	-0.172
266.451	-0.153
267.838	-0.145
269.226	-0.174
270.614	-0.166
272.002	-0.176
273.389	-0.168
274.777	-0.152
276.165	-0.156
277.553	-0.193
278.94	-0.134
280.328	-0.143
281.716	-0.164
283.104	-0.153
284.492	-0.18
285.879	-0.189
287.267	-0.176
288.655	-0.176
290.043	-0.174
291.43	-0.177
292.818	-0.157
294.206	-0.168
295.594	-0.133
296.981	-0.117
298.369	-0.138
299.757	-0.096
301.145	-0.127
302.532	-0.12
303.92	-0.091
305.308	-0.067
306.696	-0.114
308.084	-0.068
309.471	-0.06
310.859	-0.085
312.247	-0.024
313.635	0.016
315.022	-0.082
316.41	-0.081
317.798	-0.101
319.186	-0.039
320.573	0.055
321.961	0.056
323.349	0.08
324.737	0.006
326.124	-0.003
327.512	-0.087
328.9	-0.002
330.288	0.145
331.676	0.117
333.063	0.066
334.451	-0.161
335.839	0.076
337.227	0.2
338.614	0.138
340.002	0.037
341.39	0.337
342.778	0.035
344.165	-0.062
345.553	0.045
346.941	0.117
348.329	0.118
349.716	0.148
351.104	0.39
352.492	0.141
353.88	0.175
355.268	-0.19
356.655	-0.08
358.043	0.068
359.431	0.087
360.819	-0.009
362.206	0.191
363.594	0.168
364.982	-0.001
366.37	0.072
367.757	0.289
369.145	0.471
370.533	0.605
371.921	0.447
373.308	0.185
374.696	0.051
376.084	0.194
377.472	0.321
378.859	0.352
380.247	0.531
381.635	0.549
383.023	0.742
384.411	0.44
385.798	0.276
387.186	0.501
388.574	0.219
389.962	-0.019
391.349	0.14
392.737	0.094
394.125	0.649
395.513	0.369
396.9	0.184
398.288	0.35
399.676	0.091
401.064	0.362
402.451	0.235
403.839	0.225
405.227	0.311
406.615	0.294
408.003	0.056
409.39	0.027
410.778	0.153
412.166	0.088
413.554	0.106
414.941	-0.003
416.329	0.176
417.717	0.27
419.105	0.111
420.492	0.036
421.88	0.016
423.268	0.066
424.656	0.08
426.043	0.369
427.431	0.272
428.819	0.445
430.207	-0.017
431.595	0.085
432.982	0.003
434.37	0.076
435.758	0.504
437.146	0.149
438.533	0.083
439.921	0.187
441.309	0.272
442.697	0.397
444.084	0.161
445.472	0.327
446.86	0.434
448.248	0.387
449.635	0.245
451.023	0.394
452.411	0.196
453.799	0.153
455.186	0.195
456.574	0.056
457.962	-0.019
459.35	0.139
460.738	0.166
462.125	0.145
463.513	0.18
464.901	0.353
466.289	0.352
467.676	0.167
469.064	0.363
470.452	0.345
471.84	-0.012
473.227	-0.086
474.615	0.287
476.003	0.291
477.391	0.033
478.778	0.238
480.166	0.082
481.554	0.332
482.942	0.382
484.33	0.249
485.717	0.396
487.105	0.279
488.493	0.192
489.881	0.094
491.268	0.209
492.656	0.192
494.044	0.101
495.432	0.121
496.819	0.176
498.207	0.205
499.595	0.216
500.983	0.384
502.37	0.083
503.758	0.285
505.146	0.303
506.534	0.169
507.922	0.002
509.309	0.288
510.697	0.493
512.085	0.377
513.473	0.229
514.86	0.413
516.248	0.316
517.636	0.382
519.024	0.567
520.411	0.5
521.799	0.405
523.187	0.427
524.575	0.789
525.962	1.731
527.35	2.6
528.738	2.767
530.126	3.239
531.513	3.329
532.901	2.961
534.289	2.546
535.677	2.009
537.065	1.352
538.452	0.798
539.84	0.484
541.228	0.436
542.616	0.294
544.003	0.096
545.391	0.36
546.779	0.69
548.167	0.931
549.554	1.12
550.942	1.515
552.33	1.861
553.718	2.227
555.105	2.605
556.493	2.194
557.881	1.551
559.269	0.946
560.657	0.564
562.044	0.618
563.432	1.148
564.82	1.849
566.208	1.881
567.595	1.871
568.983	0.995
570.371	0.493
571.759	0.255
573.146	0.44
574.534	0.704
575.922	1.038
577.31	1.356
578.697	1.592
580.085	2.123
581.473	2.618
582.861	1.345
584.249	0.638
585.636	0.438
587.024	0.351
588.412	0.401
589.8	0.725
591.187	1.141
592.575	1.733
593.963	1.796
595.351	1.414
596.738	1.562
598.126	0.874
599.514	0.762
600.902	0.752
602.289	1.024
603.677	1.345
605.065	1.452
606.453	1.435
607.84	1.59
609.228	1.546
610.616	1.396
612.004	1.11
613.392	0.928
614.779	0.925
616.167	1.116
617.555	1.265
618.943	1.221
620.33	1.251
621.718	1.144
623.106	0.827
624.494	0.686
625.881	0.383
627.269	0.629
628.657	0.835
630.045	0.796
631.432	0.74
632.82	0.701
634.208	0.636
635.596	0.663
636.984	1.247
638.371	1.721
639.759	2.153
641.147	2.479
642.535	2.56
643.922	2.238
645.31	1.897
646.698	1.606
648.086	1.485
649.473	1.561
650.861	1.683
652.249	1.814
653.637	1.65
655.024	1.661
656.412	1.525
657.8	1.299
659.188	0.638
660.576	0.339
661.963	0.236
663.351	0.069
664.739	0.293
666.127	0.154
667.514	0.29
668.902	0.719
670.29	0.739
671.678	1.148
673.065	1.073
674.453	0.324
675.841	0.191
677.229	0.086
678.616	-0.009
680.004	0.265
681.392	0.54
682.78	0.24
684.167	0.384
685.555	0.253
686.943	0.266
688.331	0.34
689.719	0.537
691.106	0.236
692.494	0.457
693.882	0.874
695.27	1.373
696.657	1.957
698.045	2.261
699.433	2.046
700.821	1.686
702.208	1.248
703.596	0.862
704.984	0.704
706.372	0.788
707.759	1.047
709.147	1.425
710.535	1.431
711.923	0.886
713.311	0.662
714.698	0.438
716.086	0.485
717.474	0.462
718.862	0.377
720.249	0.178
721.637	-0.088
723.025	-0.224
724.413	-0.247
725.8	-0.183
727.188	0.102
728.576	-0.071
729.964	-0.07
731.351	0.01
732.739	-0.084
734.127	-0.057
735.515	-0.038
736.903	0.241
738.29	0.328
739.678	0.334
741.066	0.35
742.454	0.962
743.841	1.846
745.229	2.567
746.617	2.987
748.005	2.644
749.392	2.196
750.78	1.123
752.168	0.368
753.556	0.082
754.943	0.3
756.331	0.2
757.719	0.347
759.107	0.33
760.494	0.538
761.882	0.653
763.27	0.698
764.658	0.657
766.046	0.649
767.433	0.527
768.821	0.769
770.209	0.685
771.597	0.779
772.984	0.612
774.372	0.001
775.76	0.076
777.148	0.355
778.535	0.037
779.923	-0.242
781.311	-0.219
782.699	-0.183
784.086	-0.209
785.474	-0.206
786.862	-0.19
788.25	-0.157
789.638	0.195
791.025	0.295
792.413	0.248
793.801	0.146
795.189	-0.02
796.576	-0.161
797.964	-0.148
799.352	-0.059
800.74	0.003
802.127	0.133
803.515	0.119
804.903	0.087
806.291	0.193
807.678	0.41
809.066	0.319
810.454	0.224
811.842	0.719
813.23	0.624
814.617	0.497
816.005	-0.101
817.393	0.222
818.781	-0.009
820.168	-0.166
821.556	-0.258
822.944	-0.189
824.332	-0.097
825.719	0.128
827.107	0.112
828.495	0.221
829.883	0.264
831.27	0.276
832.658	0.416
834.046	0.316
835.434	0.396
836.821	0.451
838.209	0.589
839.597	0.758
840.985	0.901
842.373	0.389
843.76	0.003
845.148	-0.114
846.536	-0.056
847.924	0.393
849.311	0.284
850.699	0.297
852.087	0.107
853.475	-0.241
854.862	-0.175
856.25	-0.002
857.638	-0.167
859.026	-0.17
860.413	-0.145
861.801	0.091
863.189	-0.035
864.577	-0.016
865.965	-0.078
867.352	-0.128
868.74	0.17
870.128	-0.064
871.516	0.005
872.903	0.085
874.291	-0.205
875.679	-0.215
877.067	-0.206
878.454	-0.206
879.842	-0.197
881.23	-0.216
882.618	-0.337
884.005	0.056
885.393	0.167
886.781	0.357
888.169	0.2
889.557	-0.553
890.944	-0.3
892.332	-0.096
893.72	0.26
895.108	0.356
896.495	0.147
897.883	0.279
899.271	0.29
900.659	0.128
902.046	0.098
903.434	0.285
904.822	0.29
906.21	0.265
907.597	0.081
908.985	0.285
910.373	0.479
911.761	0.478
913.148	0.448
914.536	0.206
915.924	0.024
917.312	-0.053
918.7	0.029
920.087	0
921.475	0.062
922.863	0.047
924.251	0.092
925.638	-0.128
927.026	-0.051
928.414	0.186
929.802	0.229
931.189	-0.003
932.577	0.305
933.965	0.149
935.353	-0.015
936.74	-0.126
938.128	-0.157
939.516	0.033
940.904	-0.348
942.292	-0.113
943.679	-0.147
945.067	-0.084
946.455	0.054
947.843	0.539
949.23	0.387
950.618	-0.046
952.006	-0.183
953.394	-0.033
954.781	-0.018
956.169	0.084
957.557	0.455
958.945	0.649
960.332	0.262
961.72	-0.023
963.108	-0.296
964.496	-0.203
965.884	-0.033
967.271	-0.009
968.659	-0.107
970.047	0.283
971.435	0.158
972.822	0.299
974.21	0.063
975.598	0.129
976.986	0.345
978.373	0.485
979.761	0.343
981.149	0.094
982.537	0.023
983.924	0.174
985.312	0.507
986.7	0.59
988.088	0.583
989.476	0.47
990.863	0.318
992.251	0.239
993.639	0.17
995.027	0.006
996.414	0.238
997.802	0.507
999.19	0.502
1000.578	0.336
1001.965	0.163
1003.353	0
1004.741	-0.059
1006.129	-0.257
1007.516	-0.016
1008.904	0.139
1010.292	0.046
1011.68	-0.305
1013.067	-0.211
1014.455	0.076
1015.843	0.141
1017.231	-0.022
1018.619	0.052
1020.006	0.301
1021.394	0.343
1022.782	0.256
1024.17	0.289
1025.557	0.356
1026.945	0.321
1028.333	0.178
1029.721	0.228
1031.108	0.232
1032.496	0.198
1033.884	0.122
1035.272	0.038
1036.659	0.068
1038.047	0.178
1039.435	0.211
1040.823	-0.189
1042.211	-0.117
1043.598	0.099
1044.986	-0.004
1046.374	0.087
1047.762	0.807
1049.149	1.204
1050.537	1.224
1051.925	1.108
1053.313	0.865
1054.7	0.506
1056.088	0.122
1057.476	0.386
1058.864	0.439
1060.251	0.295
1061.639	0.297
1063.027	0.379
1064.415	0.501
1065.803	0.332
1067.19	-0.028
1068.578	0.076
1069.966	-0.02
1071.354	0.009
1072.741	-0.057
1074.129	-0.048
1075.517	-0.023
1076.905	0.178
1078.292	-0.063
1079.68	0.16
1081.068	0.108
1082.456	0.08
1083.843	0.059
1085.231	0.106
