X	Z
µm	µm
0	-0.084
1.388	-0.071
2.777	-0.042
4.165	-0.053
5.553	-0.083
6.942	-0.062
8.33	-0.07
9.718	-0.048
11.107	-0.056
12.495	-0.077
13.883	-0.09
15.272	-0.078
16.66	-0.074
18.049	-0.082
19.437	-0.093
20.825	-0.076
22.214	-0.065
23.602	-0.095
24.99	-0.066
26.379	-0.039
27.767	-0.054
29.155	-0.078
30.544	-0.061
31.932	-0.054
33.32	-0.046
34.709	-0.039
36.097	-0.087
37.485	-0.071
38.874	-0.077
40.262	-0.083
41.65	-0.092
43.039	-0.041
44.427	-0.066
45.816	-0.08
47.204	-0.067
48.592	-0.079
49.981	-0.066
51.369	-0.086
52.757	-0.072
54.146	-0.088
55.534	-0.106
56.922	-0.099
58.311	-0.081
59.699	-0.07
61.087	-0.098
62.476	-0.096
63.864	-0.07
65.252	-0.104
66.641	-0.099
68.029	-0.098
69.417	-0.085
70.806	-0.093
72.194	-0.081
73.582	-0.091
74.971	-0.088
76.359	-0.091
77.748	-0.088
79.136	-0.093
80.524	-0.078
81.913	-0.107
83.301	-0.107
84.689	-0.1
86.078	-0.1
87.466	-0.099
88.854	-0.102
90.243	-0.089
91.631	-0.099
93.019	-0.099
94.408	-0.092
95.796	-0.087
97.184	-0.102
98.573	-0.094
99.961	-0.085
101.349	-0.08
102.738	-0.084
104.126	-0.084
105.515	-0.102
106.903	-0.09
108.291	-0.086
109.68	-0.077
111.068	-0.086
112.456	-0.086
113.845	-0.084
115.233	-0.085
116.621	-0.084
118.01	-0.09
119.398	-0.099
120.786	-0.075
122.175	-0.089
123.563	-0.085
124.951	-0.057
126.34	-0.067
127.728	-0.07
129.116	-0.113
130.505	-0.107
131.893	-0.069
133.281	-0.084
134.67	-0.085
136.058	-0.054
137.447	-0.082
138.835	-0.073
140.223	-0.083
141.612	-0.091
143	-0.062
144.388	-0.087
145.777	-0.106
147.165	-0.124
148.553	-0.138
149.942	-0.135
151.33	-0.131
152.718	-0.134
154.107	-0.117
155.495	-0.089
156.883	-0.076
158.272	-0.051
159.66	-0.041
161.048	-0.023
162.437	-0.001
163.825	-0.003
165.214	-0.005
166.602	0.009
167.99	-0.003
169.379	-0.005
170.767	-0.002
172.155	0.003
173.544	0.009
174.932	0.006
176.32	0.037
177.709	0.032
179.097	0.031
180.485	0.045
181.874	0.059
183.262	0.054
184.65	0.067
186.039	0.071
187.427	0.079
188.815	0.092
190.204	0.079
191.592	0.087
192.98	0.103
194.369	0.106
195.757	0.116
197.146	0.119
198.534	0.105
199.922	0.104
201.311	0.107
202.699	0.119
204.087	0.12
205.476	0.119
206.864	0.109
208.252	0.136
209.641	0.119
211.029	0.122
212.417	0.13
213.806	0.122
215.194	0.137
216.582	0.14
217.971	0.142
219.359	0.145
220.747	0.141
222.136	0.134
223.524	0.148
224.913	0.14
226.301	0.149
227.689	0.16
229.078	0.14
230.466	0.152
231.854	0.152
233.243	0.126
234.631	0.147
236.019	0.158
237.408	0.128
238.796	0.154
240.184	0.136
241.573	0.133
242.961	0.175
244.349	0.152
245.738	0.139
247.126	0.154
248.514	0.144
249.903	0.14
251.291	0.15
252.68	0.136
254.068	0.141
255.456	0.15
256.845	0.136
258.233	0.106
259.621	0.12
261.01	0.113
262.398	0.116
263.786	0.13
265.175	0.094
266.563	0.095
267.951	0.103
269.34	0.096
270.728	0.111
272.116	0.096
273.505	0.093
274.893	0.107
276.281	0.094
277.67	0.102
279.058	0.106
280.446	0.07
281.835	0.071
283.223	0.082
284.612	0.068
286	0.064
287.388	0.092
288.777	0.073
290.165	0.065
291.553	0.08
292.942	0.068
294.33	0.078
295.718	0.08
297.107	0.053
298.495	0.081
299.883	0.074
301.272	0.051
302.66	0.058
304.048	0.059
305.437	0.039
306.825	0.058
308.213	0.053
309.602	0.049
310.99	0.059
312.379	0.057
313.767	0.064
315.155	0.049
316.544	0.032
317.932	0.049
319.32	0.042
320.709	0.056
322.097	0.038
323.485	0.041
324.874	0.037
326.262	0.043
327.65	0.036
329.039	0.052
330.427	0.044
331.815	0.05
333.204	0.04
334.592	0.061
335.98	0.043
337.369	0.052
338.757	0.065
340.145	0.07
341.534	0.076
342.922	0.077
344.311	0.055
345.699	0.042
347.087	0.063
348.476	0.045
349.864	0.074
351.252	0.051
352.641	0.05
354.029	0.049
355.417	0.054
356.806	0.045
358.194	0.082
359.582	0.062
360.971	0.048
362.359	0.062
363.747	0.035
365.136	0.064
366.524	0.075
367.912	0.035
369.301	0.054
370.689	0.063
372.078	0.048
373.466	0.066
374.854	0.04
376.243	0.045
377.631	0.046
379.019	0.053
380.408	0.049
381.796	0.079
383.184	0.068
384.573	0.046
385.961	0.055
387.349	0.06
388.738	0.06
390.126	0.066
391.514	0.053
392.903	0.049
394.291	0.054
395.679	0.043
397.068	0.067
398.456	0.072
399.844	0.055
401.233	0.068
402.621	0.053
404.01	0.052
405.398	0.044
406.786	0.061
408.175	0.039
409.563	0.062
410.951	0.023
412.34	0.029
413.728	0.013
415.116	0.04
416.505	0.036
417.893	0.026
419.281	0.044
420.67	0.055
422.058	0.041
423.446	0.023
424.835	0.032
426.223	0.029
427.611	0.026
429	0.016
430.388	0.002
431.777	0.007
433.165	0.01
434.553	-0.024
435.942	0.035
437.33	0.02
438.718	0.004
440.107	0.027
441.495	0.012
442.883	0.024
444.272	0.003
445.66	0.018
447.048	0.03
448.437	0.005
449.825	-0.012
451.213	-0.001
452.602	-0.006
453.99	-0.006
455.378	-0.001
456.767	-0.008
458.155	0.005
459.543	-0.003
460.932	-0.018
462.32	0.012
463.709	-0.007
465.097	0.024
466.485	-0.005
467.874	-0.002
469.262	-0.019
470.65	-0.001
472.039	-0.01
473.427	0.011
474.815	-0.008
476.204	-0.016
477.592	-0.005
478.98	0.002
480.369	-0.016
481.757	-0.005
483.145	-0.014
484.534	-0.009
485.922	-0.015
487.31	-0.031
488.699	-0.026
490.087	-0.025
491.476	-0.023
492.864	-0.022
494.252	-0.033
495.641	-0.012
497.029	-0.036
498.417	-0.035
499.806	-0.041
501.194	-0.035
502.582	-0.041
503.971	-0.026
505.359	-0.046
506.747	-0.034
508.136	-0.035
509.524	-0.032
510.912	-0.024
512.301	-0.049
513.689	-0.027
515.077	-0.04
516.466	-0.043
517.854	-0.031
519.242	-0.071
520.631	-0.035
522.019	-0.065
523.408	-0.035
524.796	-0.046
526.184	-0.047
527.573	-0.041
528.961	-0.063
530.349	-0.068
531.738	-0.083
533.126	-0.049
534.514	-0.085
535.903	-0.066
537.291	-0.071
538.679	-0.058
540.068	-0.051
541.456	-0.085
542.844	-0.065
544.233	-0.071
545.621	-0.065
547.009	-0.061
548.398	-0.05
549.786	-0.066
551.175	-0.073
552.563	-0.068
553.951	-0.08
555.34	-0.062
556.728	-0.072
558.116	-0.056
559.505	-0.079
560.893	-0.082
562.281	-0.063
563.67	-0.063
565.058	-0.057
566.446	-0.082
567.835	-0.067
569.223	-0.074
570.611	-0.075
572	-0.07
573.388	-0.075
574.776	-0.091
576.165	-0.071
577.553	-0.089
578.941	-0.064
580.33	-0.051
581.718	-0.073
583.107	-0.063
584.495	-0.055
585.883	-0.09
587.272	-0.062
588.66	-0.062
590.048	-0.071
591.437	-0.054
592.825	-0.052
594.213	-0.063
595.602	-0.042
596.99	-0.046
598.378	-0.065
599.767	-0.045
601.155	-0.058
602.543	-0.075
603.932	-0.072
605.32	-0.047
606.708	-0.071
608.097	-0.066
609.485	-0.069
610.874	-0.075
612.262	-0.054
613.65	-0.056
615.039	-0.076
616.427	-0.062
617.815	-0.042
619.204	-0.071
620.592	-0.042
621.98	-0.055
623.369	-0.075
624.757	-0.036
626.145	-0.071
627.534	-0.072
628.922	-0.049
630.31	-0.078
631.699	-0.046
633.087	-0.071
634.475	-0.062
635.864	-0.06
637.252	-0.054
638.641	-0.047
640.029	-0.051
641.417	-0.082
642.806	-0.076
644.194	-0.054
645.582	-0.062
646.971	-0.078
648.359	-0.036
649.747	-0.049
651.136	-0.052
652.524	-0.048
653.912	-0.042
655.301	-0.054
656.689	-0.062
658.077	-0.039
659.466	-0.054
660.854	-0.068
662.242	-0.059
663.631	-0.057
665.019	-0.053
666.407	-0.047
667.796	-0.065
669.184	-0.07
670.573	-0.069
671.961	-0.042
673.349	-0.056
674.738	-0.045
676.126	-0.057
677.514	-0.065
678.903	-0.047
680.291	-0.05
681.679	-0.059
683.068	-0.041
684.456	-0.054
685.844	-0.053
687.233	-0.039
688.621	-0.061
690.009	-0.056
691.398	-0.04
692.786	-0.055
694.174	-0.042
695.563	-0.062
696.951	-0.071
698.34	-0.055
699.728	-0.038
701.116	-0.049
702.505	-0.045
703.893	-0.037
705.281	-0.056
706.67	-0.044
708.058	-0.066
709.446	-0.044
710.835	-0.053
712.223	-0.054
713.611	-0.043
715	-0.052
716.388	-0.055
717.776	-0.05
719.165	-0.042
720.553	-0.042
721.941	-0.042
723.33	-0.048
724.718	-0.057
726.106	-0.054
727.495	-0.037
728.883	-0.046
730.272	-0.055
731.66	-0.046
733.048	-0.073
734.437	-0.051
735.825	-0.042
737.213	-0.069
738.602	-0.048
739.99	-0.056
741.378	-0.048
742.767	-0.05
744.155	-0.039
745.543	-0.043
746.932	-0.04
748.32	-0.055
749.708	-0.037
751.097	-0.048
752.485	-0.062
753.873	-0.036
755.262	-0.054
756.65	-0.053
758.039	-0.063
759.427	-0.059
760.815	-0.053
762.204	-0.054
763.592	-0.068
764.98	-0.043
766.369	-0.058
767.757	-0.07
769.145	-0.057
770.534	-0.064
771.922	-0.049
773.31	-0.055
774.699	-0.056
776.087	-0.059
777.475	-0.065
778.864	-0.069
780.252	-0.052
781.64	-0.059
783.029	-0.06
784.417	-0.046
785.805	-0.056
787.194	-0.07
788.582	-0.06
789.971	-0.065
791.359	-0.064
792.747	-0.07
794.136	-0.057
795.524	-0.074
796.912	-0.05
798.301	-0.083
799.689	-0.059
801.077	-0.054
802.466	-0.088
803.854	-0.064
805.242	-0.072
806.631	-0.058
808.019	-0.071
809.407	-0.062
810.796	-0.076
812.184	-0.068
813.572	-0.056
814.961	-0.078
816.349	-0.061
817.738	-0.075
819.126	-0.059
820.514	-0.041
821.903	-0.06
823.291	-0.066
824.679	-0.074
826.068	-0.09
827.456	-0.072
828.844	-0.076
830.233	-0.082
831.621	-0.064
833.009	-0.069
834.398	-0.083
835.786	-0.086
837.174	-0.084
838.563	-0.107
839.951	-0.072
841.339	-0.107
842.728	-0.066
844.116	-0.085
845.504	-0.092
846.893	-0.064
848.281	-0.072
849.67	-0.07
851.058	-0.066
852.446	-0.075
853.835	-0.07
855.223	-0.084
856.611	-0.087
858	-0.081
859.388	-0.071
860.776	-0.073
862.165	-0.076
863.553	-0.082
864.941	-0.077
