X	Z
µm	µm
0	-0.108
1.387	-0.091
2.775	-0.12
4.162	-0.134
5.55	-0.146
6.937	-0.117
8.324	-0.088
9.712	-0.125
11.099	-0.125
12.487	-0.105
13.874	-0.126
15.261	-0.121
16.649	-0.134
18.036	-0.128
19.424	-0.123
20.811	-0.146
22.198	-0.159
23.586	-0.156
24.973	-0.121
26.361	-0.143
27.748	-0.149
29.136	-0.148
30.523	-0.138
31.91	-0.133
33.298	-0.14
34.685	-0.136
36.073	-0.127
37.46	-0.12
38.847	-0.139
40.235	-0.163
41.622	-0.152
43.01	-0.16
44.397	-0.14
45.784	-0.131
47.172	-0.134
48.559	-0.127
49.947	-0.123
51.334	-0.145
52.721	-0.16
54.109	-0.137
55.496	-0.152
56.884	-0.15
58.271	-0.154
59.658	-0.166
61.046	-0.167
62.433	-0.135
63.821	-0.144
65.208	-0.15
66.595	-0.151
67.983	-0.143
69.37	-0.147
70.758	-0.155
72.145	-0.131
73.532	-0.131
74.92	-0.154
76.307	-0.159
77.695	-0.143
79.082	-0.15
80.469	-0.146
81.857	-0.133
83.244	-0.124
84.632	-0.132
86.019	-0.174
87.407	-0.17
88.794	-0.151
90.181	-0.189
91.569	-0.15
92.956	-0.142
94.344	-0.163
95.731	-0.179
97.118	-0.165
98.506	-0.181
99.893	-0.178
101.281	-0.166
102.668	-0.153
104.055	-0.187
105.443	-0.15
106.83	-0.139
108.218	-0.163
109.605	-0.181
110.992	-0.21
112.38	-0.224
113.767	-0.191
115.155	-0.126
116.542	-0.133
117.929	-0.14
119.317	-0.142
120.704	-0.163
122.092	-0.12
123.479	-0.127
124.866	-0.117
126.254	-0.067
127.641	-0.104
129.029	-0.075
130.416	-0.085
131.803	-0.093
133.191	-0.107
134.578	-0.098
135.966	-0.1
137.353	-0.099
138.74	-0.088
140.128	-0.074
141.515	-0.097
142.903	-0.074
144.29	-0.076
145.678	-0.087
147.065	-0.06
148.452	-0.06
149.84	-0.079
151.227	-0.096
152.615	-0.082
154.002	-0.051
155.389	-0.062
156.777	-0.057
158.164	-0.059
159.552	-0.072
160.939	-0.059
162.326	-0.055
163.714	-0.081
165.101	-0.092
166.489	-0.081
167.876	-0.077
169.263	-0.034
170.651	-0.088
172.038	-0.091
173.426	-0.054
174.813	-0.044
176.2	-0.035
177.588	-0.049
178.975	-0.034
180.363	-0.059
181.75	-0.02
183.137	0.078
184.525	-0.053
185.912	-0.016
187.3	-0.023
188.687	-0.042
190.074	-0.057
191.462	-0.003
192.849	0.017
194.237	0.02
195.624	-0.023
197.011	-0.05
198.399	-0.07
199.786	-0.032
201.174	-0.069
202.561	-0.043
203.949	-0.016
205.336	-0.055
206.723	-0.048
208.111	-0.033
209.498	-0.095
210.886	-0.041
212.273	-0.066
213.66	-0.023
215.048	-0.024
216.435	-0.039
