E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_074		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.2003	0.00962	0.8639	1.39425	0.45828
1.20064	0.00514	0.46182	0.74534	0.24498
1.20112	0.00354	0.31779	0.51288	0.16858
1.20161	0.00267	0.23967	0.38681	0.12714
1.20211	0.00209	0.18724	0.30219	0.09933
1.20261	0.00173	0.15497	0.2501	0.08221
1.2031	0.00148	0.13249	0.21383	0.07028
1.2036	0.00117	0.10463	0.16886	0.0555
1.20411	9.25E-04	0.083	0.13396	0.04403
1.20461	8.29E-04	0.07445	0.12015	0.03949
1.2051	7.04E-04	0.06316	0.10193	0.0335
1.2056	5.93E-04	0.05324	0.08593	0.02824
1.20609	5.88E-04	0.05279	0.0852	0.02801
1.20659	4.82E-04	0.04329	0.06986	0.02296
1.20709	3.62E-04	0.03249	0.05244	0.01724
1.20759	3.70E-04	0.03321	0.05359	0.01762
1.20809	2.90E-04	0.02607	0.04207	0.01383
1.20858	1.79E-04	0.01608	0.02595	0.00853
1.20909	1.67E-04	0.01498	0.02418	0.00795
1.20958	1.87E-04	0.01683	0.02716	0.00893
1.21008	1.08E-04	0.00972	0.01569	0.00516
1.21058	8.85E-05	0.00794	0.01282	0.00421
1.21108	9.91E-05	0.00889	0.01435	0.00472
1.21158	6.42E-05	0.00576	0.00929	0.00305
1.21212	6.14E-05	0.00551	0.0089	0.00292
1.21263	8.38E-05	0.00752	0.01213	0.00399
1.21313	4.18E-05	0.00375	0.00605	0.00199
1.21363	4.15E-05	0.00373	0.00601	0.00198
1.21413	5.17E-05	0.00464	0.00749	0.00246
1.21463	1.20E-05	0.00108	0.00174	5.73E-04
1.21513	1.66E-06	1.49E-04	2.41E-04	7.91E-05
1.21563	3.05E-05	0.00274	0.00442	0.00145
1.21612	-9.21E-06	-8.27E-04	-0.00133	-4.39E-04
1.21662	-3.88E-05	-0.00348	-0.00562	-0.00185
1.21712	4.80E-06	4.30E-04	6.95E-04	2.28E-04
1.21762	2.26E-05	0.00203	0.00327	0.00107
1.21811	-4.57E-05	-0.0041	-0.00661	-0.00217
1.21862	-5.28E-05	-0.00474	-0.00765	-0.00251
1.21911	-2.15E-05	-0.00193	-0.00312	-0.00102
1.21962	-7.60E-05	-0.00683	-0.01102	-0.00362
1.22011	-6.14E-05	-0.00551	-0.00889	-0.00292
1.22061	-2.49E-05	-0.00223	-0.0036	-0.00118
1.22111	-5.26E-05	-0.00472	-0.00762	-0.0025
1.22161	-4.52E-05	-0.00406	-0.00655	-0.00215
1.22211	-2.46E-05	-0.00221	-0.00357	-0.00117
1.2226	-6.23E-05	-0.0056	-0.00903	-0.00297
1.22311	-6.67E-05	-0.00599	-0.00967	-0.00318
1.2236	-3.47E-05	-0.00311	-0.00502	-0.00165
1.22409	-4.57E-05	-0.0041	-0.00661	-0.00217
1.2246	-8.99E-05	-0.00807	-0.01303	-0.00428
1.2251	-4.70E-05	-0.00422	-0.00681	-0.00224
1.2256	1.36E-05	0.00122	0.00197	6.46E-04
1.22609	-6.51E-06	-5.84E-04	-9.43E-04	-3.10E-04
1.22659	-2.81E-06	-2.52E-04	-4.07E-04	-1.34E-04
1.22711	-3.40E-05	-0.00305	-0.00493	-0.00162
1.22761	-7.61E-05	-0.00683	-0.01103	-0.00363
1.2281	-6.04E-05	-0.00542	-0.00875	-0.00288
1.22861	-4.86E-05	-0.00436	-0.00704	-0.00232
1.2291	-8.29E-05	-0.00744	-0.01201	-0.00395
