E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.20037	0.31695	3.27423	6.23645	18.64386
1.19089	0.05398	0.55768	1.06222	3.17552
1.19947	-0.01631	-0.16845	-0.32085	-0.95917
1.20176	-0.02915	-0.30111	-0.57352	-1.71455
1.20108	-0.02169	-0.22403	-0.42671	-1.27564
1.20099	-0.01413	-0.14601	-0.27811	-0.83141
1.20133	-0.00744	-0.07681	-0.14631	-0.43738
1.20197	-0.00214	-0.02214	-0.04217	-0.12605
1.20277	0.00163	0.01682	0.03203	0.09577
1.20364	0.00396	0.04094	0.07799	0.23314
1.20452	0.00506	0.05229	0.09959	0.29772
1.20534	0.00528	0.05451	0.10383	0.31039
1.20608	0.00498	0.05146	0.09801	0.29301
1.20675	0.0043	0.04439	0.08455	0.25276
1.20736	0.00355	0.03672	0.06994	0.20909
1.20791	0.00277	0.02859	0.05446	0.16282
1.20842	0.00208	0.02148	0.0409	0.12228
1.2089	0.00153	0.01576	0.03001	0.08973
1.20937	0.00119	0.0123	0.02343	0.07005
1.20983	9.50612E-4	0.00982	0.0187	0.05592
1.21029	7.78549E-4	0.00804	0.01532	0.0458
1.21076	7.60075E-4	0.00785	0.01496	0.04471
1.21125	7.61142E-4	0.00786	0.01498	0.04477
1.21175	7.9022E-4	0.00816	0.01555	0.04648
1.21224	8.58945E-4	0.00887	0.0169	0.05053
1.21275	9.21168E-4	0.00952	0.01813	0.05419
1.21325	9.25803E-4	0.00956	0.01822	0.05446
1.21375	9.30805E-4	0.00962	0.01832	0.05475
1.21426	9.8856E-4	0.01021	0.01945	0.05815
1.21476	9.52146E-4	0.00984	0.01874	0.05601
1.21526	9.66985E-4	0.00999	0.01903	0.05688
1.21576	9.68452E-4	0.01	0.01906	0.05697
1.21626	9.61683E-4	0.00993	0.01892	0.05657
1.21676	9.32539E-4	0.00963	0.01835	0.05486
1.21726	9.45611E-4	0.00977	0.01861	0.05562
1.21776	9.30738E-4	0.00962	0.01831	0.05475
1.21826	9.03361E-4	0.00933	0.01778	0.05314
1.21875	9.01761E-4	0.00932	0.01774	0.05304
1.21926	9.24403E-4	0.00955	0.01819	0.05438
1.21976	8.85488E-4	0.00915	0.01742	0.05209
1.22025	9.20901E-4	0.00951	0.01812	0.05417
1.22075	9.13632E-4	0.00944	0.01798	0.05374
1.22125	8.86088E-4	0.00915	0.01744	0.05212
1.22176	8.87422E-4	0.00917	0.01746	0.0522
1.22225	9.0723E-4	0.00937	0.01785	0.05337
1.22275	8.93758E-4	0.00923	0.01759	0.05257
1.22325	8.99193E-4	0.00929	0.01769	0.05289
1.22375	9.3454E-4	0.00965	0.01839	0.05497
1.22425	9.29204E-4	0.0096	0.01828	0.05466
1.22475	9.30405E-4	0.00961	0.01831	0.05473
1.22524	9.4411E-4	0.00975	0.01858	0.05554
1.22575	9.28838E-4	0.0096	0.01828	0.05464
1.22624	9.172E-4	0.00948	0.01805	0.05395
1.22674	9.06629E-4	0.00937	0.01784	0.05333
1.22724	8.97293E-4	0.00927	0.01766	0.05278
1.22775	8.66281E-4	0.00895	0.01705	0.05096
1.22825	8.69049E-4	0.00898	0.0171	0.05112
1.22875	8.6218E-4	0.00891	0.01696	0.05072
1.22925	8.41905E-4	0.0087	0.01657	0.04952
1.22974	8.67915E-4	0.00897	0.01708	0.05105
1.23024	8.46674E-4	0.00875	0.01666	0.0498
1.23075	8.07826E-4	0.00835	0.0159	0.04752
1.23124	8.14395E-4	0.00841	0.01602	0.04791
1.23174	8.27533E-4	0.00855	0.01628	0.04868
1.23224	7.99056E-4	0.00825	0.01572	0.047
1.23274	7.90786E-4	0.00817	0.01556	0.04652
1.23323	8.16729E-4	0.00844	0.01607	0.04804
1.23373	7.62743E-4	0.00788	0.01501	0.04487
1.23423	8.1046E-4	0.00837	0.01595	0.04767
1.23473	8.07092E-4	0.00834	0.01588	0.04748
1.23523	7.92954E-4	0.00819	0.0156	0.04664
1.23573	7.91353E-4	0.00818	0.01557	0.04655
1.23624	7.92787E-4	0.00819	0.0156	0.04663
1.23674	7.9929E-4	0.00826	0.01573	0.04702
1.23725	7.68878E-4	0.00794	0.01513	0.04523
1.23775	8.25333E-4	0.00853	0.01624	0.04855
1.23826	7.9162E-4	0.00818	0.01558	0.04657
1.23876	7.75747E-4	0.00801	0.01526	0.04563
1.23927	7.66511E-4	0.00792	0.01508	0.04509
1.23977	7.50238E-4	0.00775	0.01476	0.04413
1.24027	7.4757E-4	0.00772	0.01471	0.04397
1.24076	7.82283E-4	0.00808	0.01539	0.04602
1.24126	8.22898E-4	0.0085	0.01619	0.04841
1.24177	8.21731E-4	0.00849	0.01617	0.04834
1.24226	7.73347E-4	0.00799	0.01522	0.04549
1.24276	7.60842E-4	0.00786	0.01497	0.04476
1.24326	8.09793E-4	0.00837	0.01593	0.04763
1.24376	7.91787E-4	0.00818	0.01558	0.04658
1.24426	8.17396E-4	0.00844	0.01608	0.04808
1.24476	7.98156E-4	0.00825	0.01571	0.04695
1.24525	8.07793E-4	0.00834	0.01589	0.04752
1.24575	8.4574E-4	0.00874	0.01664	0.04975
1.24625	8.08059E-4	0.00835	0.0159	0.04753
1.24675	8.05692E-4	0.00832	0.01585	0.04739
1.24725	8.28934E-4	0.00856	0.01631	0.04876
1.24775	8.44173E-4	0.00872	0.01661	0.04966
1.24824	8.14895E-4	0.00842	0.01603	0.04794
1.24874	8.45907E-4	0.00874	0.01664	0.04976
1.24924	8.57911E-4	0.00886	0.01688	0.05047
1.24973	8.6218E-4	0.00891	0.01696	0.05072
1.25024	8.68482E-4	0.00897	0.01709	0.05109
1.25074	8.84121E-4	0.00913	0.0174	0.05201
1.25124	8.85755E-4	0.00915	0.01743	0.0521
1.25174	8.68582E-4	0.00897	0.01709	0.05109
1.25224	8.68882E-4	0.00898	0.0171	0.05111
1.25274	8.46107E-4	0.00874	0.01665	0.04977
1.25324	8.20798E-4	0.00848	0.01615	0.04828
1.25374	7.7298E-4	0.00799	0.01521	0.04547
1.25424	7.91253E-4	0.00817	0.01557	0.04654
1.25474	7.69679E-4	0.00795	0.01514	0.04528
1.25524	7.48737E-4	0.00773	0.01473	0.04404
1.25574	7.51072E-4	0.00776	0.01478	0.04418
1.25624	7.76715E-4	0.00802	0.01528	0.04569
1.25673	7.56941E-4	0.00782	0.01489	0.04453
1.25724	7.64543E-4	0.0079	0.01504	0.04497
1.25773	7.79882E-4	0.00806	0.01535	0.04588
1.25823	7.6321E-4	0.00788	0.01502	0.04489
1.25873	7.92854E-4	0.00819	0.0156	0.04664
1.25922	7.94088E-4	0.0082	0.01563	0.04671
1.25972	7.8165E-4	0.00807	0.01538	0.04598
1.26022	8.24932E-4	0.00852	0.01623	0.04853
1.26072	8.17863E-4	0.00845	0.01609	0.04811
1.26122	7.87952E-4	0.00814	0.0155	0.04635
1.26172	7.88519E-4	0.00815	0.01552	0.04638
1.26222	8.10294E-4	0.00837	0.01594	0.04766
1.26273	7.50838E-4	0.00776	0.01477	0.04417
1.26323	7.36733E-4	0.00761	0.0145	0.04334
1.26373	7.77048E-4	0.00803	0.01529	0.04571
1.26423	7.89186E-4	0.00815	0.01553	0.04642
1.26473	7.48204E-4	0.00773	0.01472	0.04401
1.26523	7.4507E-4	0.0077	0.01466	0.04383
1.26573	7.33198E-4	0.00757	0.01443	0.04313
1.26623	7.04988E-4	0.00728	0.01387	0.04147
1.26673	7.45203E-4	0.0077	0.01466	0.04384
1.26723	7.37967E-4	0.00762	0.01452	0.04341
1.26773	7.22795E-4	0.00747	0.01422	0.04252
1.26822	7.50838E-4	0.00776	0.01477	0.04417
1.26872	7.53706E-4	0.00779	0.01483	0.04434
1.26922	7.50405E-4	0.00775	0.01477	0.04414
1.26972	7.58008E-4	0.00783	0.01492	0.04459
1.27022	7.62809E-4	0.00788	0.01501	0.04487
1.27072	7.80282E-4	0.00806	0.01535	0.0459
1.27121	7.80816E-4	0.00807	0.01536	0.04593
1.27171	8.16629E-4	0.00844	0.01607	0.04804
