E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_047		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.20664	0.11662	1.80241	2.6279	6.13767
1.22176	0.03004	0.46434	0.67701	1.58121
1.19321	-0.03891	-0.60133	-0.87673	-2.04768
1.203	0.03229	0.49901	0.72755	1.69925
1.2031	-0.01252	-0.19347	-0.28208	-0.65882
1.20138	0.00767	0.11854	0.17283	0.40365
1.20404	8.40972E-4	0.013	0.01895	0.04426
1.20313	0.00106	0.01631	0.02378	0.05554
1.20434	0.0024	0.03713	0.05413	0.12643
1.20457	7.51772E-4	0.01162	0.01694	0.03957
1.20512	0.00164	0.02542	0.03707	0.08658
1.20564	9.57682E-4	0.0148	0.02158	0.0504
1.2061	0.00115	0.01774	0.02587	0.06042
1.20662	0.00108	0.01663	0.02424	0.05662
1.20711	9.50979E-4	0.0147	0.02143	0.05005
1.20761	0.00103	0.01586	0.02313	0.05402
1.20811	9.12932E-4	0.01411	0.02057	0.04805
1.2086	8.50975E-4	0.01315	0.01918	0.04479
1.20912	8.39738E-4	0.01298	0.01892	0.0442
1.2096	7.52172E-4	0.01163	0.01695	0.03959
1.2101	7.35599E-4	0.01137	0.01658	0.03872
1.21061	7.32832E-4	0.01133	0.01651	0.03857
1.2111	7.49338E-4	0.01158	0.01689	0.03944
1.21162	7.27763E-4	0.01125	0.0164	0.0383
1.21214	7.00753E-4	0.01083	0.01579	0.03688
1.21265	6.97385E-4	0.01078	0.01572	0.0367
1.21315	6.77378E-4	0.01047	0.01526	0.03565
1.21365	6.15321E-4	0.00951	0.01387	0.03239
1.21415	6.12687E-4	0.00947	0.01381	0.03225
1.21464	5.91779E-4	0.00915	0.01334	0.03115
1.21516	5.73573E-4	0.00887	0.01293	0.03019
1.21565	5.71138E-4	0.00883	0.01287	0.03006
1.21614	5.52098E-4	0.00853	0.01244	0.02906
1.21664	5.43895E-4	0.00841	0.01226	0.02863
1.21714	5.61068E-4	0.00867	0.01264	0.02953
1.21764	5.24921E-4	0.00811	0.01183	0.02763
1.21813	4.90275E-4	0.00758	0.01105	0.0258
1.21864	5.58934E-4	0.00864	0.0126	0.02942
1.21914	4.91075E-4	0.00759	0.01107	0.02585
1.21963	5.55433E-4	0.00858	0.01252	0.02923
1.22014	4.72568E-4	0.0073	0.01065	0.02487
1.22063	5.06781E-4	0.00783	0.01142	0.02667
1.22113	5.21887E-4	0.00807	0.01176	0.02747
1.22164	4.79971E-4	0.00742	0.01082	0.02526
1.22212	5.09916E-4	0.00788	0.01149	0.02684
1.22263	5.39527E-4	0.00834	0.01216	0.0284
1.22313	5.14517E-4	0.00795	0.01159	0.02708
1.22362	5.1295E-4	0.00793	0.01156	0.027
1.22411	4.63532E-4	0.00716	0.01045	0.0244
1.22462	4.8604E-4	0.00751	0.01095	0.02558
