Time	Ir	Co
					
s	ng cm-2 s-1	ng cm-2 s-1
-378	0.022	0.52201
-376.494	0.04883	0.20468
-374.988	0	0.33059
-373.482	0.07426	0.17397
-371.976	0.03844	0.14912
-370.47	0.0406	0.13917
-368.964	0.06601	0.33712
-367.458	0.04461	0.20561
-365.952	0.0236	0.34799
-364.446	0.06029	0.19883
-362.94	0.03488	0.13917
-361.434	0.08787	0.23198
-359.928	0.04721	0.32313
-358.422	0.04986	0.25586
-356.916	0.21749	0.05796
-355.41	0.15466	0.14912
-353.904	0.01327	0.30932
-352.398	0.02274	0.27186
-350.892	0.19901	0.0994
-349.386	0.06151	0.16569
-347.88	0.05523	0.1353
-346.374	0.24403	0.05796
-344.868	0.15506	0.0773
-343.362	0.00137	1.56563E-4
-341.856	1.32607E-4	1.91141E-4
-340.35	1.37028E-4	1.8667E-4
-338.844	6.36131E-5	9.5889E-5
-337.338	3.00509E-4	1.03113E-4
-335.832	5.74251E-5	1.53759E-4
-334.326	7.26829E-5	1.46995E-4
-332.82	1.25911E-4	1.25447E-4
-331.314	1.02997E-4	6.5852E-5
-329.808	1.00829E-4	1.12394E-4
-328.302	7.37248E-5	1.41224E-4
-326.796	1.07191E-4	1.06346E-4
-325.29	3.79965E-4	1.8642E-6
-323.784	1.29878E-4	1.04775E-4
-322.278	7.36468E-5	1.56007E-4
-320.772	1.16841E-4	1.20952E-4
-319.266	1.32882E-4	9.09388E-5
-317.76	1.43404E-4	8.94781E-5
-316.254	5.83004E-5	1.20135E-4
-314.748	1.61633E-4	9.89653E-5
-313.242	3.05309E-4	8.30439E-5
-311.736	4.87503E-5	1.23056E-4
-310.23	8.14177E-5	1.37292E-4
-308.724	1.3482E-4	6.28596E-5
-307.218	8.18749E-5	9.606E-5
-305.712	1.49358E-4	1.06735E-4
-304.206	5.12322E-4	7.44687E-5
-302.7	2.33922E-4	1.60052E-4
-301.194	1.97817E-4	6.43507E-5
-299.688	6.67901E-5	8.75929E-5
-298.182	1.19768E-4	5.4383E-5
-296.676	5.24022E-5	7.85584E-5
-295.17	4.0969E-5	2.81261E-5
-293.664	1.1298E-4	1.24003E-4
-292.158	7.96102E-5	1.19765E-4
-290.652	8.89961E-5	1.19398E-4
-289.146	6.52313E-5	9.53934E-5
-287.64	7.22486E-5	1.19348E-4
-286.134	1.35638E-4	7.72614E-5
-284.628	2.41563E-4	8.14994E-5
-283.122	8.58723E-5	4.52685E-5
-281.616	1.26719E-4	1.06364E-4
-280.11	4.31786E-5	4.03263E-5
-278.604	8.72577E-5	1.55747E-4
-277.098	9.60122E-5	1.0111E-4
-275.592	8.84674E-5	7.63254E-5
-274.086	6.09558E-5	7.80442E-5
-272.58	1.75252E-4	5.82076E-5
-271.074	6.86195E-5	8.11011E-5
-269.568	3.55875E-5	5.83444E-5
-268.062	7.06481E-5	1.12431E-4
-266.556	2.46775E-4	1.13715E-4
-265.05	1.45861E-4	1.43534E-4
-263.544	4.58555E-5	1.43564E-4
-262.038	8.40488E-5	2.17314E-4
-260.532	8.37929E-5	1.18189E-4
-259.026	2.55044E-4	1.29889E-4
-257.52	1.46281E-4	9.84419E-5
-256.014	4.1655E-5	1.16565E-4
-254.508	8.56367E-5	1.40289E-4
-253.002	3.45627E-5	7.73787E-5
-251.496	6.45648E-5	1.18955E-4
-249.99	1.86136E-5	1.11013E-4
-248.484	1.67753E-4	1.80223E-4
-246.978	1.0847E-4	7.69383E-5
-245.472	5.40549E-5	1.05793E-4
-243.966	8.47411E-5	7.57528E-5
-242.46	5.02876E-5	0
-240.954	3.68306E-5	4.9651E-5
-239.448	7.91144E-5	1.20121E-4
-237.942	5.40579E-5	6.88726E-5
-236.436	9.43203E-5	1.13758E-4
-234.93	1.3925E-4	1.23408E-4
-233.424	1.04515E-4	1.13705E-4
-231.918	8.1118E-5	1.44938E-4
-230.412	4.14104E-5	1.32162E-4
-228.906	6.29936E-5	1.45603E-4
-227.4	1.74655E-4	1.12527E-4
-225.894	6.75444E-5	1.15751E-4
-224.388	5.61943E-5	1.086E-4
-222.882	6.81959E-5	1.56865E-4
-221.376	2.1923E-4	1.13326E-4
-219.87	7.77995E-5	8.47894E-5
-218.364	7.78302E-5	1.44463E-4
-216.858	3.78028E-5	5.06113E-5
-215.352	9.92047E-5	1.45213E-4
-213.845	2.648E-4	2.458E-4
-212.339	6.81953E-5	1.0668E-4
-210.833	5.61085E-5	8.15168E-5
-209.327	4.70884E-5	1.14094E-4
-207.821	6.74776E-5	1.11665E-4
-206.315	1.21324E-4	8.89111E-5
-204.809	1.13137E-4	6.43694E-5
-203.303	8.12999E-5	1.33077E-4
-201.797	4.90813E-5	1.0478E-4
-200.291	8.33453E-5	6.83745E-5
-198.785	8.16922E-6	6.35619E-5
-197.279	5.49407E-5	1.59716E-4
-195.773	8.66989E-5	5.54489E-5
-194.267	1.3533E-4	1.03642E-4
-192.761	6.25352E-5	7.78072E-5
-191.255	4.42934E-5	1.14892E-4
-189.749	8.49922E-6	5.94803E-5
-188.243	6.90543E-5	1.39033E-4
-186.737	1.1391E-4	5.00672E-5
-185.231	7.02112E-5	1.00474E-4
-183.725	5.24673E-5	1.61143E-4
-182.219	7.92842E-5	7.92142E-5
-180.713	2.10644E-4	1.49543E-4
-179.207	7.45901E-5	1.14428E-4
-177.701	6.27537E-5	1.49564E-4
-176.195	4.47409E-5	9.15577E-5
-174.689	5.72582E-5	1.07042E-4
-173.183	3.94751E-5	9.58837E-5
-171.677	9.23626E-5	1.39736E-4
-170.171	1.02008E-4	3.83135E-5
-168.665	7.99893E-5	1.08946E-4
-167.159	8.4768E-5	8.34067E-5
-165.653	2.71218E-5	9.38445E-5
-164.147	9.3646E-5	8.99079E-5
-162.641	7.70432E-5	6.93959E-5
-161.135	1.62107E-5	1.05858E-4
-159.629	7.25141E-5	1.06677E-4
-158.123	4.90825E-5	1.22016E-4
-156.617	1.06412E-4	6.17473E-5
-155.111	6.64572E-5	1.15386E-4
-153.605	3.87944E-5	1.00126E-4
-152.099	3.44329E-5	1.32271E-4
-150.593	0	1.02427E-4
-149.087	4.1434E-5	1.00095E-4
-147.581	1.0809E-4	1.78312E-4
-146.075	8.04298E-5	2.19592E-4
-144.569	3.99491E-5	1.04658E-4
-143.063	3.25791E-5	3.59026E-5
-141.557	5.36817E-5	1.62489E-4
-140.051	3.52109E-4	1.60388E-4
-138.545	1.13689E-4	1.44644E-4
-137.039	5.91067E-5	1.10382E-4
-135.533	4.9603E-5	1.3123E-4
-134.027	1.34663E-4	8.75035E-5
-132.521	4.21792E-5	7.09174E-5
-131.015	1.41592E-4	1.41407E-4
-129.509	4.19526E-5	1.12897E-4
-128.003	6.79346E-5	9.41854E-5
-126.497	2.2158E-4	5.58115E-5
-124.991	5.64625E-5	9.99923E-5
-123.485	1.5627E-5	9.52012E-5
-121.979	2.17144E-4	1.28433E-4
-120.473	6.07767E-5	9.35743E-5
-118.967	5.31003E-5	1.59827E-4
-117.461	7.16698E-5	1.54952E-4
-115.955	4.94237E-5	7.05738E-5
-114.449	5.4611E-5	1.1038E-4
-112.943	1.65474E-4	7.79396E-5
-111.437	7.65932E-5	9.4809E-5
-109.931	9.3128E-6	1.01433E-4
-108.425	9.41709E-5	8.44087E-5
-106.919	6.78398E-5	1.00689E-4
-105.413	7.96173E-5	1.43319E-4
-103.907	6.44332E-5	7.54759E-5
-102.401	1.02192E-4	1.02678E-4
-100.895	1.76937E-5	9.88161E-5
-99.389	9.09883E-6	1.23452E-4
-97.883	8.64099E-5	1.56926E-4
-96.377	6.41281E-5	1.27413E-4
-94.871	5.33219E-5	8.04962E-5
-93.365	2.41444E-5	6.27146E-5
-91.859	2.16388E-4	8.70107E-5
-90.353	6.64887E-5	8.76276E-5
-88.847	2.52743E-5	1.49518E-4
-87.341	1.13474E-4	7.75559E-5
-85.835	6.7627E-5	1.33598E-4
-84.329	6.0628E-5	1.22509E-4
-82.823	4.54926E-5	8.44882E-5
-81.317	1.12742E-4	8.17248E-5
-79.811	7.24475E-5	3.52139E-5
-78.305	1.79039E-5	8.5484E-5
-76.799	5.65873E-5	1.2124E-4
-75.293	5.62561E-5	1.16991E-4
-73.787	3.14183E-5	1.21803E-4
-72.281	5.40755E-5	1.62553E-4
-70.775	6.20893E-5	1.29536E-4
-69.269	3.68357E-5	1.3251E-4
-67.763	2.78049E-5	6.94627E-5
-66.257	3.78125E-5	1.27396E-4
-64.751	3.62153E-5	1.37817E-4
-63.245	7.31179E-5	1.29698E-4
-61.739	1.42747E-4	1.33217E-4
-60.233	2.9102E-5	9.15291E-5
-58.727	1.11558E-4	7.15633E-5
-57.221	2.72009E-5	6.27095E-5
-55.715	5.82013E-5	1.2419E-4
-54.209	1.14251E-4	9.84448E-5
-52.703	4.57637E-5	1.13374E-4
-51.197	2.71778E-5	6.55368E-5
-49.691	4.10164E-5	9.49078E-5
-48.184	8.906E-5	6.88957E-5
-46.678	6.30213E-5	1.34348E-4
-45.172	3.78341E-5	6.8596E-5
-43.666	8.97985E-5	8.58074E-5
-42.16	5.13799E-5	1.04701E-4
-40.654	4.25884E-5	7.91112E-5
-39.148	8.19458E-5	8.07042E-5
-37.642	8.28211E-5	1.21732E-4
-36.136	1.21283E-4	1.32885E-4
-34.63	3.97586E-5	1.04616E-4
-33.124	3.69163E-5	1.20829E-4
-31.618	5.91192E-5	8.465E-5
-30.112	7.54326E-5	1.2425E-4
-28.606	8.78843E-5	1.03538E-4
-27.1	6.4972E-5	2.98254E-5
-25.594	4.93814E-5	3.90535E-5
-24.088	1.35348E-4	9.5087E-5
-22.582	4.70586E-5	1.41584E-4
-21.076	4.69611E-5	6.10047E-5
-19.57	7.35405E-5	2.297E-4
-18.064	1.22938E-4	1.55956E-4
-16.558	4.81134E-5	1.17179E-4
-15.052	1.713E-5	1.75384E-4
-13.546	8.8724E-5	1.09106E-4
-12.04	3.16152E-5	8.49527E-5
-10.534	6.43722E-5	6.08605E-5
-9.028	9.59665E-5	5.49636E-6
-7.522	8.15246E-5	6.52973E-5
-6.016	4.49864E-5	1.12805E-4
-4.51	4.60179E-5	6.77153E-5
-3.004	1.16293E-4	1.71957E-5
-1.498	2.70095E-5	1.17161E-4
0.008	9.62611E-5	1.22906E-4
1.514	3.86327E-5	1.71856E-4
3.02	1.85729E-5	1.03354E-4
4.526	0	9.54676E-5
6.032	6.44731E-5	1.05723E-4
7.538	4.54328E-5	8.07683E-5
9.044	7.61673E-5	9.52526E-5
10.55	7.51538E-5	1.18037E-4
12.056	9.43028E-5	1.98497E-4
13.562	1.32741E-4	0.10828
15.068	5.194E-5	0.42843
16.574	1.20561E-4	0.66858
18.08	1.13214E-4	0.73156
19.586	9.67858E-5	0.75441
21.092	8.43062E-5	0.83059
22.598	6.8255E-5	0.85154
24.104	1.19648E-4	0.8346
25.61	1.12001E-4	0.89407
27.116	9.52645E-5	0.929
28.622	1.13009E-4	0.89803
30.128	1.44081E-4	0.9577
31.634	9.81878E-5	0.94752
33.14	1.3469E-4	0.98171
34.646	5.03995E-5	0.96387
36.152	5.04768E-5	0.95705
37.658	1.31399E-4	0.96199
39.164	8.2422E-5	0.97653
40.67	1.34995E-4	0.96215
42.176	1.5082E-4	0.971
43.682	1.03061E-4	0.90348
45.188	8.63915E-5	0.949
46.694	1.26735E-4	0.91175
48.2	5.55309E-5	0.86151
49.706	5.46889E-5	0.85443
51.212	1.87965E-5	0.85786
52.718	1.84965E-5	0.81308
54.224	7.62971E-5	0.80659
55.73	9.38194E-5	0.76865
57.236	5.68892E-5	0.76162
58.742	7.70052E-5	0.75484
60.248	1.30296E-4	0.73955
61.754	7.67231E-5	0.74308
63.26	1.3113E-4	0.69688
64.766	1.13483E-4	0.65023
66.272	3.85946E-5	0.58075
67.778	2.05333E-4	0.55479
69.284	7.65302E-5	0.55808
70.79	1.16397E-4	0.50531
72.296	7.54826E-5	0.50267
73.802	9.4759E-5	0.4605
75.308	1.89937E-5	0.42544
76.814	9.64672E-5	0.41319
78.32	5.77406E-5	0.39821
79.826	9.69782E-5	0.38133
81.332	1.14423E-4	0.36262
82.838	7.35331E-5	0.33789
84.344	5.21648E-5	0.34051
85.85	8.39192E-5	0.31885
87.356	1.74263E-4	0.29099
88.862	8.9403E-5	0.28322
90.368	1.29848E-4	0.27056
91.874	3.58868E-5	0.25608
93.38	3.73665E-5	0.24646
94.886	1.08945E-4	0.23617
96.392	1.86692E-5	0.23252
97.898	1.11339E-4	0.22801
99.404	1.87902E-5	0.22224
100.91	3.69226E-5	0.21326
102.416	5.68088E-5	0.20046
103.922	1.51293E-4	0.20186
105.428	7.582E-5	0.20457
106.934	5.74174E-5	0.20005
108.44	3.78725E-5	0.18834
109.946	5.82156E-5	0.19136
111.452	9.51601E-5	0.17959
112.958	5.63848E-5	0.17407
114.464	3.8879E-5	0.17872
115.971	1.93581E-5	0.16714
117.477	9.49524E-5	0.16586
118.983	5.61249E-5	0.17107
120.489	0	0.15877
121.995	1.85946E-5	0.16187
123.501	1.87796E-5	0.16757
125.007	1.12728E-4	0.14873
126.513	7.20419E-5	0.16052
128.019	8.57561E-5	0.15852
129.525	3.41658E-5	0.15069
131.031	5.29112E-5	0.15725
132.537	5.33313E-5	0.14739
134.043	1.71737E-5	0.14518
135.549	3.43941E-5	0.14611
137.055	8.56113E-5	0.15921
138.561	3.57851E-5	0.14951
140.067	3.6514E-5	0.14222
141.573	5.37768E-5	0.13973
143.079	9.01154E-5	0.13895
144.585	7.43948E-5	0.13404
146.091	3.74585E-5	0.13235
147.597	9.03977E-5	0.13226
149.103	9.0096E-5	0.13054
150.609	8.96161E-5	0.1233
152.115	5.42884E-5	0.1269
153.621	5.49372E-5	0.13079
155.127	3.6699E-5	0.12575
156.633	7.24766E-5	0.12175
158.139	3.60588E-5	0.12879
159.645	1.10622E-4	0.11827
161.151	9.21643E-5	0.12261
162.657	1.82739E-5	0.11628
164.163	1.88393E-5	0.11318
165.669	0	0.11847
167.175	1.88738E-5	0.11715
168.681	5.32084E-5	0.11689
170.187	5.2598E-5	0.11809
171.693	3.56755E-5	0.11556
173.199	5.42943E-5	0.10875
174.705	3.48182E-5	0.11504
176.211	5.32253E-5	0.10814
177.717	1.79974E-5	0.10755
179.223	5.40619E-5	0.10984
180.729	7.20283E-5	0.1081
182.235	6.73482E-5	0.1071
183.741	1.06133E-4	0.10871
185.247	5.22885E-5	0.11088
186.753	1.77328E-5	0.1101
188.259	1.07796E-4	0.10448
