Time	Ir	Co
					
s	ng cm-2 s-1	ng cm-2 s-1
67	1.94067E-4	2.7927E-4
68.506	4.55949E-5	1.73105E-4
70.012	1.349E-4	2.83286E-4
71.518	4.47311E-4	3.09057E-4
73.024	1.59878E-4	1.08309E-4
74.53	9.3763E-5	2.5713E-4
76.036	1.08694E-4	3.44805E-4
77.542	1.08925E-5	1.83075E-4
79.048	1.26195E-4	2.36797E-5
80.554	6.9668E-5	1.60786E-4
82.06	2.10433E-4	6.70263E-4
83.566	2.45365E-4	2.82819E-4
85.072	8.67008E-5	3.02728E-4
86.578	8.40299E-5	1.41333E-4
88.084	1.52347E-4	9.67535E-4
89.59	9.85054E-5	2.28802E-4
91.096	8.11361E-5	3.74528E-4
92.602	1.9634E-4	5.25218E-4
94.108	5.36617E-5	2.83219E-4
95.614	3.0426E-4	1.77903E-4
97.12	1.69936E-4	1.16491E-4
98.626	6.08765E-4	8.02739E-4
100.132	9.43125E-5	1.95408E-4
101.638	4.57568E-5	1.57674E-4
103.144	2.60978E-4	2.25847E-4
104.65	1.81375E-4	2.38242E-4
106.156	1.63543E-4	2.9403E-4
107.662	1.62028E-4	2.9716E-6
109.168	2.36354E-4	4.38884E-5
110.674	5.20934E-5	3.7633E-4
112.18	6.92966E-5	2.2038E-4
113.686	9.41737E-5	1.97787E-4
115.192	3.38176E-4	4.05399E-4
116.698	6.17757E-5	2.12369E-4
118.204	6.55517E-5	1.39172E-4
119.71	1.24127E-4	3.65547E-4
121.216	4.29395E-5	3.08713E-4
122.722	1.24029E-4	2.70472E-4
124.228	5.79748E-5	2.21217E-4
125.734	1.92546E-4	2.37177E-4
127.24	8.44572E-5	2.86805E-4
128.746	1.10047E-4	4.78055E-4
130.252	2.98774E-5	7.13635E-5
131.758	7.9624E-5	1.21884E-4
133.264	1.04202E-4	1.40885E-4
134.77	1.96831E-4	4.04485E-4
136.276	8.56004E-5	1.08015E-4
137.782	6.28044E-5	1.79157E-4
139.288	6.22729E-4	5.89304E-4
140.794	0.00107	0.00119
142.3	0.002	0.00253
143.806	0.00268	0.00261
145.312	0.00381	0.00269
146.818	0.00403	0.00359
148.324	0.0052	0.00329
149.83	0.00624	0.00435
151.336	0.00557	0.00358
152.842	0.00612	0.00444
154.348	0.00653	0.0045
155.854	0.00556	0.00403
157.36	0.00574	0.00432
158.866	0.00486	0.00355
160.372	0.00528	0.00397
161.878	0.00532	0.00429
163.384	0.00452	0.00401
164.89	0.00456	0.00352
166.396	0.00476	0.00341
167.902	0.00451	0.00345
169.408	0.00378	0.00277
170.914	0.00422	0.00312
172.42	0.00403	0.00297
173.926	0.00415	0.00277
175.432	0.00352	0.00256
176.938	0.00322	0.0029
178.444	0.00348	0.0024
179.95	0.00321	0.00208
181.456	0.003	0.00219
182.962	0.00201	0.00196
184.468	0.00226	0.00177
185.974	0.00272	0.00155
187.48	0.00217	0.00189
188.986	0.00211	0.00196
190.492	0.00153	0.00185
191.998	0.00183	0.00152
193.504	0.00154	0.00137
195.01	0.00171	0.00147
196.516	0.00156	0.00148
198.022	0.00112	0.00119
199.528	0.00125	0.00133
201.034	0.00113	0.0011
202.54	9.34781E-4	0.00122
204.046	8.99978E-4	0.00163
205.552	0.00121	0.00141
207.058	9.95071E-4	0.00149
208.564	9.80885E-4	0.00135
210.07	0.00105	0.00105
211.576	0.00108	0.00159
213.082	9.4644E-4	0.00119
214.588	0.00107	9.76125E-4
216.094	8.1877E-4	0.00145
217.6	5.06846E-4	0.00122
219.106	6.44229E-4	0.00124
220.612	5.4498E-4	0.0011
222.118	5.2277E-4	0.00117
223.624	9.19688E-4	0.00132
225.13	4.43324E-4	0.00107
226.636	5.86058E-4	7.94246E-4
228.142	7.63292E-4	8.86384E-4
229.648	2.96806E-4	0.00112
231.155	7.53698E-4	0.0012
232.661	5.69066E-4	9.5657E-4
234.167	4.81815E-4	0.00124
235.673	7.12594E-4	0.00156
237.179	6.32911E-4	0.00104
238.685	3.59642E-4	0.00129
240.191	5.8683E-4	8.64478E-4
241.697	7.43973E-4	0.0012
243.203	5.95679E-4	0.00103
244.709	6.57786E-4	0.00133
246.215	6.36183E-4	0.00124
247.721	4.51942E-4	9.67953E-4
249.227	4.05262E-4	8.6651E-4
250.733	5.92343E-4	9.9154E-4
252.239	4.626E-4	0.00117
253.745	4.0432E-4	8.83335E-4
255.251	4.82899E-4	0.00128
256.757	7.1375E-4	0.00102
258.263	6.34571E-4	0.00114
259.769	2.98561E-4	0.00101
261.275	7.63013E-4	9.93929E-4
262.781	3.62976E-4	0.00138
264.287	3.64948E-4	8.76692E-4
265.793	6.09969E-4	0.00139
267.299	5.83611E-4	0.0011
268.805	6.82973E-4	6.75864E-4
270.311	6.50217E-4	0.00121
271.817	5.60431E-4	7.03264E-4
273.323	3.71129E-4	0.00125
274.829	3.67124E-4	0.0011
276.335	6.40161E-4	8.33866E-4
277.841	2.53635E-4	0.00139
279.347	5.65947E-4	0.00106
280.853	3.93558E-4	0.00119
282.359	4.80036E-4	0.00125
283.865	3.74382E-4	0.00132
285.371	5.81096E-4	0.00114
286.877	3.36199E-4	0.00107
288.383	8.00187E-4	0.00119
289.889	4.95753E-4	5.68199E-4
291.395	2.52854E-4	0.00107
292.901	3.74719E-4	0.00106
294.407	4.99292E-4	9.9038E-4
295.913	3.68902E-4	0.00151
297.419	3.76023E-4	0.00123
298.925	4.04402E-4	0.00141
300.431	4.60372E-4	0.00128
301.937	1.49423E-4	0.0013
303.443	2.24398E-4	9.5594E-4
304.949	5.27094E-4	0.00109
306.455	3.39899E-4	0.00103
307.961	6.62583E-4	0.00125
309.467	4.40772E-4	8.5166E-4
310.973	3.34368E-4	9.15861E-4
312.479	5.16056E-4	9.29129E-4
313.985	3.76495E-4	8.19386E-4
315.491	6.63339E-4	0.00118
316.997	7.68359E-4	0.00104
318.503	4.76408E-4	0.00141
320.009	7.89959E-4	9.94771E-4
321.515	7.6431E-4	0.00108
323.021	7.5918E-4	7.48676E-4
324.527	8.99498E-4	8.42386E-4
326.033	7.43284E-4	7.68813E-4
327.539	0.001	6.82316E-4
329.045	8.47629E-4	9.86625E-4
330.551	0.00115	9.17E-4
332.057	6.75795E-4	0.00109
333.563	0.00101	6.93128E-4
335.069	8.49734E-4	7.03019E-4
336.575	8.70543E-4	0.00109
338.081	8.17337E-4	0.00111
339.587	7.32974E-4	9.98522E-4
341.093	7.5858E-4	0.00101
342.599	9.70478E-4	0.00136
344.105	0.00158	0.00121
345.611	7.82451E-4	0.00105
347.117	0.00111	9.34213E-4
348.623	0.00103	9.11656E-4
350.129	6.92994E-4	0.00104
351.635	0.00126	0.00103
353.141	7.52672E-4	0.00105
354.647	8.46483E-4	5.81944E-4
356.153	9.51605E-4	0.00123
357.659	6.97357E-4	0.0012
359.165	7.54259E-4	9.25989E-4
360.671	9.31225E-4	6.74329E-4
362.177	9.82703E-4	0.00113
363.683	5.56117E-4	8.47098E-4
365.189	8.55354E-4	0.00114
366.695	5.54439E-4	0.00105
368.201	7.19919E-4	0.001
369.707	6.25511E-4	0.00107
371.213	7.75023E-4	9.27694E-4
372.719	7.04487E-4	0.0011
374.225	5.27165E-4	0.00113
375.731	7.74331E-4	0.00117
377.237	5.74287E-4	0.00115
378.743	4.5352E-4	0.00103
380.249	6.91198E-4	0.00109
381.755	5.1023E-4	0.00118
383.261	7.1641E-4	0.00104
384.767	4.09277E-4	8.51399E-4
386.273	0.00101	0.00123
387.779	4.70408E-4	9.99242E-4
389.285	7.45458E-4	0.00113
390.791	5.49835E-4	0.00127
392.297	5.06668E-4	9.58862E-4
393.803	4.65944E-4	8.99494E-4
395.309	5.46965E-4	0.00111
396.816	7.91681E-4	5.06802E-4
398.322	4.02212E-4	0.00116
399.828	8.13936E-4	7.5683E-4
401.334	7.68841E-4	0.00112
402.84	5.18118E-4	0.00104
404.346	3.92692E-4	0.00124
405.852	5.17918E-4	7.03333E-4
407.358	9.16452E-4	8.4309E-4
408.864	4.75271E-4	0.00113
410.37	5.7962E-4	0.00124
411.876	6.33616E-4	0.00101
413.382	6.53883E-4	0.00127
414.888	5.94013E-4	0.00109
416.394	4.56273E-4	0.00127
417.9	3.76285E-4	0.00117
419.406	4.19747E-4	0.00121
420.912	5.69314E-4	8.70898E-4
422.418	5.13747E-4	0.00111
423.924	3.04193E-4	9.05671E-4
425.43	5.42028E-4	0.00115
426.936	5.75329E-4	9.26875E-4
428.442	4.81837E-4	9.22279E-4
429.948	3.00733E-4	0.0012
431.454	3.63E-4	0.00114
432.96	3.19374E-4	9.07653E-4
434.466	2.90214E-4	8.91837E-4
435.972	4.48438E-4	9.1851E-4
437.478	5.3314E-4	9.86265E-4
438.984	2.99061E-4	0.00101
440.49	4.19878E-4	8.27274E-4
441.996	5.30384E-4	8.69283E-4
443.502	3.64841E-4	6.81404E-4
445.008	6.30968E-4	0.00138
446.514	6.31384E-4	7.80922E-4
448.02	4.02447E-4	7.47841E-4
449.526	4.43614E-4	8.68055E-4
451.032	4.38608E-4	9.31836E-4
452.538	2.97916E-4	7.37674E-4
454.044	5.36755E-4	0.00111
455.55	5.57942E-4	0.00102
457.056	5.61109E-4	9.45668E-4
458.562	3.84879E-4	0.001
460.068	2.92711E-4	8.80169E-4
461.574	3.33927E-4	9.73891E-4
463.08	4.2892E-4	7.05262E-4
464.586	5.50527E-4	8.41669E-4
466.092	2.96126E-4	0.001
467.598	2.19955E-4	0.0013
469.104	4.48705E-4	0.00108
470.61	4.57858E-4	0.00109
472.116	3.6373E-4	0.00119
473.622	3.64767E-4	0.00104
475.128	3.01011E-4	6.89237E-4
476.634	3.51455E-4	7.10631E-4
478.14	2.8382E-4	0.00119
479.646	3.92005E-4	9.90015E-4
481.152	4.0739E-4	7.09114E-4
482.658	4.4892E-4	0.00104
484.164	2.89571E-4	8.97923E-4
485.67	6.65219E-4	9.63014E-4
487.176	2.5335E-4	0.00101
488.682	2.54826E-4	9.5725E-4
490.188	3.96825E-4	0.00111
491.694	3.29457E-4	0.0011
493.2	4.08178E-4	0.00108
494.706	2.95317E-4	8.10563E-4
496.212	3.31484E-4	8.50828E-4
497.718	2.65381E-4	0.00107
499.224	4.98839E-4	0.00101
500.73	4.46622E-4	9.33861E-4
502.236	3.3304E-4	0.0011
503.742	5.5094E-4	8.66066E-4
505.248	5.37823E-4	9.70483E-4
506.754	3.27983E-4	0.00108
508.26	6.0836E-4	0.00123
509.766	6.02498E-4	9.28705E-4
511.272	3.40875E-4	7.06565E-4
512.778	7.01726E-4	0.00109
514.284	3.94866E-4	0.00111
515.79	4.3509E-4	7.385E-4
517.296	4.68901E-4	0.00106
518.802	3.86816E-4	8.03128E-4
520.308	2.23786E-4	6.19209E-4
521.814	4.43154E-4	9.36287E-4
523.32	4.81848E-4	6.63209E-4
524.826	3.70568E-4	0.00123
526.332	2.25536E-4	0.00135
527.838	4.18538E-4	9.9016E-4
529.344	3.19554E-4	0.00101
530.85	4.5155E-4	6.71222E-4
532.356	4.97893E-4	0.0012
533.862	4.70201E-4	0.00137
535.368	5.29587E-4	0.00117
536.874	5.77372E-4	0.00104
538.38	3.31133E-4	0.00102
539.886	4.00554E-4	8.45862E-4
541.392	4.04164E-4	6.14152E-4
542.898	3.99444E-4	8.47098E-4
544.404	4.20331E-4	9.84574E-4
545.91	2.94766E-4	9.72105E-4
547.416	4.89946E-4	0.00106
548.922	4.06475E-4	8.66125E-4
550.428	2.94437E-4	9.44769E-4
551.934	7.59706E-5	0.00109
553.44	5.05815E-4	0.00136
554.946	5.16194E-4	7.2934E-4
556.452	2.9873E-4	0.00137
557.958	3.24644E-4	0.00105
559.464	6.04372E-4	8.66314E-4
560.971	3.29404E-4	9.4507E-4
562.477	3.04375E-4	0.00119
563.983	5.13576E-4	9.72033E-4
565.489	3.69864E-4	0.00103
566.995	4.11519E-4	6.56374E-4
568.501	3.68868E-4	5.69834E-4
570.007	1.51712E-4	9.35249E-4
571.513	3.71027E-4	8.43584E-4
573.019	2.87638E-4	9.30979E-4
574.525	3.8443E-4	0.00113
576.031	3.9964E-4	9.08636E-4
577.537	4.47017E-4	0.00101
579.043	3.71615E-4	0.00109
580.549	2.99068E-4	0.00109
582.055	7.20842E-4	7.69627E-4
583.561	3.70593E-4	0.00135
585.067	4.00536E-4	8.37054E-4
586.573	4.47758E-4	5.87122E-4
588.079	2.57273E-4	8.90928E-4
589.585	3.30555E-4	8.3445E-4
591.091	2.71843E-4	0.00145
592.597	3.58185E-4	9.78883E-4
594.103	3.97741E-4	0.00126
595.609	3.42998E-4	8.75979E-4
597.115	4.50241E-4	8.29663E-4
598.621	7.44343E-5	0.00108
600.127	3.31323E-4	9.50641E-4
601.633	2.94211E-4	8.25364E-4
603.139	3.41012E-4	0.00125
604.645	2.22494E-4	9.45801E-4
606.151	5.4865E-4	0.00107
607.657	2.8391E-4	9.30088E-4
609.163	1.08282E-4	9.05738E-4
610.669	3.66507E-4	8.90656E-4
612.175	5.09209E-4	8.8369E-4
613.681	3.56901E-4	8.19386E-4
615.187	2.227E-4	0.00131
616.693	5.65061E-4	6.88893E-4
618.199	2.58709E-4	9.2216E-4
619.705	3.44456E-4	0.00115
621.211	2.23742E-4	8.40448E-4
622.717	2.99266E-4	9.50226E-4
624.223	4.08252E-4	0.00109
625.729	4.4545E-4	0.00109
627.235	3.38657E-4	0.00112
628.741	2.20135E-4	0.00129
630.247	2.58292E-4	9.02319E-4
631.753	1.5127E-4	0.00105
633.259	1.89124E-4	0.00118
634.765	3.97532E-4	9.32511E-4
636.271	2.70457E-4	7.46982E-4
637.777	4.10954E-4	6.42282E-4
639.283	4.41335E-4	0.00101
640.789	3.27901E-4	7.21245E-4
642.295	4.09632E-4	9.23682E-4
643.801	3.67509E-4	9.25276E-4
645.307	3.58767E-4	0.00104
646.813	2.96604E-4	0.00101
648.319	4.09296E-4	9.53495E-4
649.825	2.85773E-4	8.26309E-4
651.331	5.51805E-4	0.0012
652.837	3.4758E-4	9.43734E-4
654.343	3.78735E-4	8.15517E-4
655.849	2.62093E-4	7.4808E-4
657.355	3.459E-4	9.55475E-4
658.861	1.12298E-4	0.00137
660.367	2.654E-4	0.00128
661.873	4.19571E-4	5.82076E-4
663.379	2.22987E-4	0.00119
664.885	4.16842E-4	0.00143
666.391	4.89879E-4	0.00117
667.897	4.97415E-4	0.00124
669.403	2.60425E-4	0.00112
670.909	4.47697E-4	0.00134
672.415	2.34737E-4	6.56222E-4
673.921	2.93493E-4	0.00108
