Time	Ir	Co
					
s	ng cm-2 s-1	ng cm-2 s-1
-52	0.00223	0.02672
-50.494	0.00172	0.02693
-48.988	0.0014	0.01566
-47.482	0.00103	0.01164
-45.976	4.17435E-4	0.0045
-44.47	1.75833E-4	0.00389
-42.964	3.05833E-4	0.00186
-41.458	3.43152E-4	0.00154
-39.952	1.734E-4	5.90556E-4
-38.446	3.23915E-4	9.78069E-4
-36.94	1.65549E-4	6.16903E-4
-35.434	0	4.27199E-4
-33.928	1.036E-4	1.90556E-4
-32.422	2.0282E-4	2.98809E-4
-30.916	1.04412E-4	8.20948E-4
-29.41	1.53503E-4	2.70915E-4
-27.904	4.58042E-4	3.83724E-4
-26.398	1.56471E-4	3.8826E-4
-24.892	1.43762E-4	3.78377E-4
-23.386	2.80865E-4	4.44333E-4
-21.88	1.3008E-4	3.25234E-4
-20.374	6.57538E-5	4.80639E-4
-18.868	3.66962E-4	0.00104
-17.362	1.68317E-4	3.94997E-4
-15.856	2.3991E-4	2.76297E-4
-14.35	2.18401E-4	0
-12.844	1.74814E-4	7.58607E-4
-11.338	1.68358E-4	2.18293E-4
-9.832	3.24279E-4	0.00105
-8.326	2.84872E-4	0.00109
-6.82	3.5723E-4	4.11976E-4
-5.314	2.17996E-4	5.0983E-4
-3.808	3.10323E-4	3.49924E-4
-2.302	3.52599E-4	3.92431E-4
-0.796	5.98807E-4	4.02747E-4
0.71	2.18597E-4	5.13651E-4
2.216	3.89987E-4	6.81032E-4
3.722	3.59437E-4	2.28639E-4
5.228	3.67875E-4	4.05025E-4
6.734	3.13752E-4	4.51186E-4
8.24	2.66384E-4	3.3018E-4
9.746	2.1381E-4	5.89664E-4
11.252	1.46919E-4	1.41262E-4
12.758	3.56458E-4	6.29409E-4
14.264	3.83594E-4	1.84297E-4
15.77	4.11405E-4	2.68423E-4
17.276	3.93779E-4	3.85975E-4
18.782	4.59975E-4	0.00181
20.288	0.00227	0.11856
21.794	0.00544	0.3653
23.3	0.00936	0.49634
24.806	0.01218	0.6743
26.312	0.01308	0.81373
27.818	0.01662	0.87834
29.324	0.01818	1.01649
30.83	0.02089	1.12886
32.336	0.02236	1.17717
33.842	0.02314	1.24444
35.348	0.02709	1.36993
36.854	0.02762	1.40902
38.36	0.02929	1.48418
39.866	0.02928	1.58891
41.372	0.02923	1.63444
42.878	0.0297	1.54339
44.384	0.02902	1.58267
45.89	0.02808	1.64349
47.396	0.02992	1.54958
48.902	0.02654	1.60026
50.408	0.0292	1.52386
51.914	0.02687	1.51202
53.42	0.02639	1.5059
54.926	0.02841	1.47896
56.432	0.02704	1.47263
57.938	0.02584	1.42012
59.444	0.02456	1.31635
60.95	0.02158	1.34931
62.456	0.02324	1.20596
63.962	0.02105	1.16196
65.468	0.01808	1.12052
66.974	0.02032	1.04542
68.48	0.0178	1.02331
69.986	0.01766	0.92897
71.492	0.01641	0.89949
72.998	0.015	0.86514
74.504	0.01422	0.79136
76.01	0.01363	0.76483
77.516	0.01182	0.71864
79.022	0.01073	0.66334
80.528	0.00906	0.61479
82.034	0.01046	0.58745
83.54	0.00796	0.56843
85.046	0.0082	0.53214
86.552	0.00869	0.52344
88.058	0.0066	0.47954
89.564	0.00669	0.45951
91.07	0.00572	0.46303
92.576	0.00601	0.44163
94.082	0.0053	0.42048
95.588	0.00545	0.4197
97.094	0.00539	0.39131
98.6	0.00335	0.40438
100.106	0.00407	0.3655
101.612	0.005	0.36403
103.118	0.00434	0.348
104.624	0.00321	0.35688
106.13	0.00404	0.35692
107.636	0.0044	0.34473
109.142	0.00283	0.33156
110.648	0.00324	0.32144
112.155	0.00365	0.32975
113.661	0.00345	0.31182
115.167	0.00335	0.3164
116.673	0.003	0.30319
118.179	0.00356	0.31045
119.685	0.00357	0.28638
121.191	0.00306	0.28457
122.697	0.0031	0.2763
124.203	0.00285	0.28155
125.709	0.00296	0.26505
127.215	0.00289	0.26476
128.721	0.00277	0.25872
130.227	0.00344	0.26135
131.733	0.00308	0.26221
133.239	0.00323	0.26165
134.745	0.00229	0.26252
136.251	0.00202	0.26277
137.757	0.00252	0.24883
139.263	0.00257	0.23717
140.769	0.00243	0.23813
142.275	0.00252	0.22659
143.781	0.00361	0.23605
145.287	0.00239	0.23863
146.793	0.00206	0.22116
148.299	0.00301	0.22067
149.805	0.00207	0.21811
151.311	0.00306	0.23386
152.817	0.00329	0.23875
154.323	0.0025	0.2355
155.829	0.00216	0.2201
157.335	0.00319	0.19575
158.841	0.00211	0.20206
160.347	0.00264	0.20511
161.853	0.00269	0.19115
163.359	0.002	0.20055
164.865	0.00197	0.19158
166.371	0.00215	0.18985
167.877	0.00186	0.19094
169.383	0.00249	0.19003
170.889	0.00157	0.18657
172.395	0.0032	0.18982
173.901	0.00222	0.18763
175.407	0.00102	0.18832
176.913	0.00179	0.17889
178.419	0.00256	0.17593
179.925	0.00281	0.17503
181.431	0.00229	0.18147
182.937	0.00203	0.18172
184.443	0.00288	0.17311
185.949	0.0028	0.17295
187.455	0.0019	0.16588
188.961	0.00311	0.17551
190.467	0.00282	0.17042
191.973	0.00218	0.17147
193.479	0.00237	0.16981
194.985	0.00151	0.17219
196.491	0.00287	0.16316
197.997	0.00266	0.16154
199.503	0.00153	0.16453
201.009	0.0023	0.16102
202.515	0.00196	0.16088
204.021	0.00203	0.16303
205.527	0.00255	0.16241
207.033	0.00196	0.16422
208.539	0.0022	0.16746
210.045	0.00219	0.15818
211.551	0.00209	0.15495
213.057	0.0029	0.15605
214.563	0.00245	0.15294
216.069	0.00247	0.15307
217.575	0.00203	0.15338
219.081	0.00242	0.14727
220.587	0.0024	0.15483
222.093	0.00286	0.14639
223.599	0.00167	0.15079
225.105	0.00279	0.1549
226.611	0.00214	0.15221
228.117	0.00214	0.14742
229.623	0.00208	0.14622
231.129	0.00204	0.14406
232.635	0.00281	0.14711
234.141	0.00202	0.14763
235.647	0.00235	0.13839
237.153	0.00252	0.14979
238.659	0.00183	0.14866
240.165	0.00232	0.14304
241.671	0.00185	0.12714
243.177	0.00152	0.13537
244.683	0.00175	0.13251
246.189	0.00283	0.12756
247.695	0.00144	0.12912
249.201	0.00212	0.13632
250.707	0.00186	0.12883
252.213	0.00181	0.13032
253.719	0.0027	0.12126
255.225	0.00195	0.12957
256.731	0.00149	0.12295
258.237	0.00243	0.12461
259.743	0.0023	0.12843
261.249	0.00167	0.12441
262.755	0.00272	0.13069
264.261	0.0015	0.12629
265.767	0.00191	0.13
267.273	0.00233	0.12107
268.779	0.00277	0.1208
270.285	0.00228	0.12185
271.791	0.00159	0.12219
273.297	0.00212	0.12963
274.803	0.00165	0.12293
276.309	0.00173	0.12176
277.816	0.00226	0.1198
279.322	0.00156	0.11599
280.828	0.00185	0.1227
282.334	0.00204	0.1149
283.84	0.00212	0.11377
285.346	0.00232	0.12668
286.852	0.00235	0.11566
288.358	0.00252	0.1127
289.864	0.00217	0.11525
291.37	0.00205	0.1117
292.876	0.00161	0.11407
294.382	0.00161	0.11215
295.888	0.00186	0.11017
297.394	0.0023	0.11462
298.9	0.00252	0.11087
300.406	0.00183	0.11724
301.912	0.00176	0.12462
303.418	0.00228	0.13761
304.924	0.00272	0.14936
306.43	0.00252	0.17769
307.936	0.00286	0.18829
309.442	0.00271	0.20761
310.948	0.00448	0.23755
312.454	0.00389	0.2728
313.96	0.00397	0.29299
315.466	0.00436	0.31527
316.972	0.00526	0.3355
318.478	0.00476	0.37062
319.984	0.00481	0.37791
321.49	0.00616	0.39937
322.996	0.00596	0.41595
324.502	0.0059	0.41974
326.008	0.0058	0.4457
327.514	0.00582	0.47664
329.02	0.00698	0.5055
330.526	0.0069	0.5089
332.032	0.0087	0.51177
333.538	0.00744	0.51416
335.044	0.0074	0.49498
336.55	0.00772	0.50226
338.056	0.00751	0.47534
339.562	0.00787	0.4699
341.068	0.00709	0.42891
342.574	0.00636	0.42706
344.08	0.00667	0.42372
345.586	0.00699	0.40875
347.092	0.00542	0.3976
348.598	0.00588	0.37884
350.104	0.00634	0.35815
351.61	0.00682	0.34823
353.116	0.00662	0.33902
354.622	0.00504	0.32312
356.128	0.00579	0.3215
357.634	0.00531	0.31309
359.14	0.00535	0.27526
360.646	0.00598	0.27631
362.152	0.00494	0.26638
363.658	0.00476	0.27495
365.164	0.00551	0.2675
366.67	0.00496	0.25328
368.176	0.00518	0.23933
369.682	0.00471	0.23103
371.188	0.00452	0.23683
372.694	0.0033	0.24651
374.2	0.00389	0.22942
375.706	0.00325	0.23695
377.212	0.00338	0.23383
378.718	0.00373	0.23268
380.224	0.00393	0.2298
381.73	0.00414	0.2246
383.236	0.00361	0.23237
384.742	0.0037	0.2322
386.248	0.00403	0.22625
387.754	0.00303	0.24655
389.26	0.00296	0.24649
390.766	0.00355	0.23771
392.272	0.00286	0.2369
393.778	0.00217	0.2351
395.284	0.00324	0.22794
396.79	0.00297	0.22383
398.296	0.0021	0.21862
399.802	0.00214	0.21064
401.308	0.00277	0.2047
402.814	0.00259	0.19881
404.32	0.00252	0.19761
405.826	0.0017	0.18731
407.332	0.00145	0.18925
408.838	0.00174	0.1812
410.344	0.00169	0.17167
411.85	0.00151	0.17207
413.356	0.00165	0.16463
414.862	0.00164	0.15229
416.368	0.00102	0.15447
417.874	0.00157	0.14934
419.38	0.00108	0.15275
420.886	0.00183	0.14416
422.392	0.00111	0.13897
423.898	7.46309E-4	0.13148
425.404	0.00168	0.13289
426.91	0.00142	0.12437
428.416	8.48447E-4	0.12811
429.922	0.00129	0.11926
431.428	0.00121	0.1217
432.934	7.45351E-4	0.12084
434.44	7.54623E-4	0.11691
435.946	6.81347E-4	0.12261
437.452	0.00106	0.11912
438.958	8.04031E-4	0.1104
440.464	6.83737E-4	0.11055
441.971	0.00105	0.10825
443.477	7.47734E-4	0.11031
444.983	0.00118	0.10632
446.489	7.39772E-4	0.10355
447.995	7.22154E-4	0.10505
449.501	6.72069E-4	0.0994
451.007	9.11775E-4	0.10054
452.513	8.59686E-4	0.09872
454.019	4.54975E-4	0.09923
455.525	6.35635E-4	0.1013
457.031	9.23921E-4	0.1028
458.537	5.98159E-4	0.09966
460.043	6.5818E-4	0.10401
461.549	7.90723E-4	0.10026
463.055	6.72264E-4	0.09825
464.561	7.98603E-4	0.09608
466.067	4.58152E-4	0.09737
467.573	5.94224E-4	0.09347
469.079	6.87229E-4	0.08762
470.585	5.75087E-4	0.0823
472.091	0.00106	0.08123
473.597	6.22392E-4	0.08529
475.103	8.41085E-4	0.08406
476.609	8.00411E-4	0.08374
478.115	5.71278E-4	0.07941
479.621	7.92799E-4	0.07678
481.127	9.29673E-4	0.07577
482.633	2.8571E-4	0.07702
484.139	6.94335E-4	0.07273
485.645	5.66862E-4	0.0747
487.151	5.61276E-4	0.07898
488.657	7.12762E-4	0.07561
490.163	0.00105	0.07833
491.669	7.08025E-4	0.07674
493.175	7.2562E-4	0.07778
494.681	5.24451E-4	0.0779
496.187	8.66196E-4	0.07378
497.693	4.56605E-4	0.07189
499.199	7.45061E-4	0.07445
500.705	5.07919E-4	0.07042
502.211	3.92735E-4	0.06863
503.717	3.11873E-4	0.05319
505.223	8.00682E-4	0.05012
506.729	7.3446E-4	0.06344
508.235	0.00106	0.06773
509.741	9.0499E-4	0.06815
511.247	0.0012	0.06957
512.753	8.38152E-4	0.06821
514.259	4.04187E-4	0.07029
515.765	3.43819E-4	0.0705
517.271	8.02226E-4	0.07034
518.777	7.80601E-4	0.06541
520.283	7.05231E-4	0.06756
521.789	7.51675E-4	0.06625
523.295	4.56667E-4	0.06678
524.801	4.00397E-4	0.06488
526.307	6.97222E-4	0.06689
527.813	8.33347E-4	0.06744
529.319	6.35386E-4	0.06674
530.825	4.50914E-4	0.06547
532.331	5.77824E-4	0.06423
533.837	6.81285E-4	0.06097
535.343	8.16555E-4	0.06538
536.849	4.12198E-4	0.06399
538.355	9.75742E-4	0.06275
539.861	5.06718E-4	0.06256
541.367	7.39418E-4	0.05818
542.873	6.99578E-4	0.0613
544.379	3.45983E-4	0.05902
545.885	5.39879E-4	0.06155
547.391	7.27089E-4	0.06373
548.897	8.18425E-4	0.06065
550.403	2.87134E-4	0.05945
551.909	5.46755E-4	0.05177
553.415	7.31976E-4	0.05724
554.921	6.37668E-4	0.05346
556.427	4.42583E-4	0.05803
557.933	5.83866E-4	0.05919
559.439	5.13388E-4	0.05687
560.945	4.01416E-4	0.05481
562.451	4.57492E-4	0.05779
563.957	5.0541E-4	0.05711
565.463	5.7769E-4	0.05775
566.969	5.11033E-4	0.05538
568.475	4.67256E-4	0.05793
569.981	6.80713E-4	0.05456
571.487	5.43881E-4	0.06137
572.993	4.81011E-4	0.06199
574.499	7.43999E-4	0.06532
576.005	4.32148E-4	0.06502
577.511	4.22927E-4	0.06241
579.017	4.18072E-4	0.05775
580.523	6.52949E-4	0.06003
582.029	4.12606E-4	0.05564
583.535	7.59345E-4	0.05625
585.041	5.06958E-4	0.05061
586.547	5.12569E-4	0.05175
588.053	7.17641E-4	0.05086
589.559	6.83862E-4	0.05011
591.065	2.82407E-4	0.04935
592.571	3.96184E-4	0.0539
594.077	5.64469E-4	0.05178
595.583	6.92589E-4	0.05035
597.089	5.00108E-4	0.05182
598.595	6.74865E-4	0.04825
600.101	8.21175E-4	0.05109
601.607	8.59686E-4	0.04845
603.113	6.74455E-4	0.05007
604.619	6.77348E-4	0.04752
606.125	5.72795E-4	0.04864
607.632	2.23567E-4	0.04969
609.138	6.21211E-4	0.0464
610.644	4.46236E-4	0.04581
612.15	4.4993E-4	0.04694
613.656	7.32141E-4	0.04417
615.162	4.51473E-4	0.04265
616.668	6.11842E-4	0.04303
618.174	3.32533E-4	0.04279
619.68	5.54468E-4	0.04636
621.186	6.6943E-4	0.0446
622.692	6.65672E-4	0.04571
624.198	4.93689E-4	0.04163
625.704	9.10116E-4	0.04333
627.21	4.32737E-4	0.0419
628.716	1.67994E-4	0.04228
630.222	6.53035E-4	0.04422
631.728	4.52086E-4	0.04374
633.234	3.88394E-4	0.04437
634.74	4.60504E-4	0.04294
636.246	3.35268E-4	0.04031
637.752	2.28339E-4	0.04192
639.258	6.73729E-4	0.04164
640.764	1.12899E-4	0.04207
642.27	3.94221E-4	0.04073
643.776	5.22261E-4	0.03848
645.282	2.78773E-4	0.04004
646.788	4.50112E-4	0.0396
648.294	4.82713E-4	0.03953
649.8	1.63113E-4	0.03893
651.306	3.87406E-4	0.04126
652.812	5.96835E-4	0.04203
654.318	4.99231E-4	0.04127
