E	j	j
V RHE		mA cm-2
ML_030
0.69045	-0.00243	-0.17322
0.69231	-9.59125E-4	-0.06851
0.69432	-0.00136	-0.09722
0.69633	-9.72837E-4	-0.06949
0.69835	-0.00101	-0.07209
0.70031	-8.0728E-4	-0.05766
0.70238	-8.96581E-4	-0.06404
0.70431	-7.14968E-4	-0.05107
0.70637	-7.79519E-4	-0.05568
0.70829	-5.91218E-4	-0.04223
0.71037	-6.3336E-4	-0.04524
0.71228	-4.39707E-4	-0.03141
0.71437	-5.50079E-4	-0.03929
0.71629	-4.39038E-4	-0.03136
0.71836	-5.46735E-4	-0.03905
0.72028	-4.08268E-4	-0.02916
0.72235	-4.15292E-4	-0.02966
0.72428	-2.78163E-4	-0.01987
0.72638	-3.89538E-4	-0.02782
0.72832	-2.59099E-4	-0.01851
0.73039	-3.05589E-4	-0.02183
0.73231	-1.88193E-4	-0.01344
0.73438	-2.61774E-4	-0.0187
0.7363	-1.3702E-4	-0.00979
0.73837	-1.82842E-4	-0.01306
0.7403	-4.63816E-5	-0.00331
0.74236	-1.33007E-4	-0.0095
0.74429	-1.05943E-5	-7.56737E-4
0.74636	-6.24357E-5	-0.00446
0.74828	3.3889E-5	0.00242
0.75034	-7.68175E-5	-0.00549
0.75228	7.63655E-5	0.00545
0.75436	1.08427E-7	7.74481E-6
0.75628	1.08474E-4	0.00775
0.75835	4.59295E-5	0.00328
0.76027	1.86069E-4	0.01329
0.76233	1.28207E-4	0.00916
0.76424	2.6868E-4	0.01919
0.76633	1.62991E-4	0.01164
0.76826	2.34565E-4	0.01675
0.77032	1.5396E-4	0.011
0.77224	2.63329E-4	0.01881
0.77431	1.86403E-4	0.01331
0.77626	3.03799E-4	0.0217
0.77836	2.16839E-4	0.01549
0.78028	3.1216E-4	0.0223
0.78235	2.23863E-4	0.01599
0.78427	3.72029E-4	0.02657
0.78634	2.99116E-4	0.02137
0.78825	4.35576E-4	0.03111
0.79033	3.48951E-4	0.02493
0.79225	4.97117E-4	0.03551
0.79433	3.78718E-4	0.02705
0.79624	4.62667E-4	0.03305
0.79831	3.73032E-4	0.02665
0.80023	5.15178E-4	0.0368
0.80234	4.17181E-4	0.0298
0.80427	5.44276E-4	0.03888
0.80636	4.43269E-4	0.03166
0.80827	5.51969E-4	0.03943
0.81034	4.84073E-4	0.03458
0.81226	6.64682E-4	0.04748
0.81434	5.18522E-4	0.03704
0.81625	6.93111E-4	0.04951
0.81833	5.9779E-4	0.0427
0.82024	6.74047E-4	0.04815
0.82233	5.64344E-4	0.04031
0.82423	6.96121E-4	0.04972
0.82632	6.15516E-4	0.04397
0.82824	7.42611E-4	0.05304
0.83039	6.98797E-4	0.04991
0.83226	7.66358E-4	0.05474
0.83435	7.01807E-4	0.05013
0.83623	8.50307E-4	0.06074
0.83833	7.48966E-4	0.0535
0.84023	8.89105E-4	0.06351
0.84233	8.24554E-4	0.0589
0.84423	9.49642E-4	0.06783
0.84632	8.32915E-4	0.05949
0.84822	9.73723E-4	0.06955
0.85032	9.20544E-4	0.06575
0.85222	0.001	0.07175
0.85433	9.11848E-4	0.06513
0.85622	0.00103	0.07368
0.85831	9.42284E-4	0.06731
0.86021	0.00108	0.07681
0.86231	9.84761E-4	0.07034
0.86419	0.00114	0.08121
0.86631	0.00106	0.07564
0.86818	0.00123	0.08804
0.87031	0.00107	0.07612
0.87218	0.00118	0.08403
0.87429	0.00112	0.08025
0.87617	0.00121	0.08611
0.8783	0.0011	0.07858
0.8802	0.00123	0.08785
0.88232	0.00117	0.08336
0.8842	0.00127	0.09036
0.88632	0.00118	0.08393
0.88819	0.0013	0.09316
0.8903	0.00129	0.09215
0.89217	0.0014	0.09968
0.8943	0.00132	0.09416
0.89617	0.0014	0.10025
0.89829	0.00135	0.09664
0.90016	0.00144	0.10283
0.90229	0.00134	0.09588
0.90417	0.00143	0.1024
0.90632	0.00136	0.09707
0.90819	0.00147	0.10508
0.91033	0.00138	0.09882
0.91219	0.00148	0.10591
0.91431	0.00142	0.10133
0.91616	0.00154	0.10995
0.91832	0.0015	0.10747
0.92017	0.00157	0.11179
0.92231	0.00149	0.10649
0.92416	0.00158	0.11267
0.9263	0.0015	0.10706
0.92815	0.00158	0.11253
0.93032	0.00153	0.10902
0.93219	0.00162	0.11592
0.93433	0.00158	0.1127
0.93619	0.00163	0.11654
0.93832	0.00164	0.11695
0.94017	0.00168	0.11965
0.94232	0.00165	0.11817
0.94416	0.00177	0.12677
0.9463	0.00176	0.12536
0.94816	0.00176	0.12574
0.95031	0.00173	0.12383
0.95215	0.00174	0.12447
0.9543	0.00178	0.1271
0.95615	0.0018	0.12868
0.9583	0.00178	0.12684
0.96015	0.00181	0.1294
0.96229	0.00181	0.1293
0.96414	0.00183	0.131
0.96628	0.00185	0.13243
0.96812	0.00192	0.13685
0.97028	0.00195	0.13955
0.97213	0.00194	0.13857
0.97427	0.00192	0.13709
0.97611	0.00195	0.13943
0.97826	0.00194	0.13845
0.9801	0.00198	0.14172
0.9823	0.00198	0.14144
0.98414	0.00198	0.14177
0.9863	0.002	0.14251
0.98813	0.00198	0.14141
0.99029	0.002	0.14299
0.99213	0.00201	0.1439
0.99426	0.00207	0.1476
0.99611	0.00208	0.14865
0.99828	0.00204	0.14576
1.00011	0.00208	0.14863
1.00225	0.00208	0.14879
1.0041	0.00207	0.14774
1.00627	0.00205	0.14674
1.00815	0.00209	0.14913
1.0103	0.00209	0.14937
1.01214	0.00213	0.15185
1.01428	0.00215	0.15329
1.01613	0.00212	0.1514
1.01828	0.00221	0.15761
1.02015	0.0022	0.15744
1.02225	0.00222	0.15837
1.02413	0.00221	0.15787
