Time	E	j
s	V RHE	mA cm-2
10.80002	1.12082	-2.62154E-6
10.90002	1.12126	-2.02534E-6
11.00002	1.1216	9.65227E-7
11.10002	1.12195	1.77919E-6
11.20002	1.12221	1.62132E-6
11.30002	1.12271	1.06353E-6
11.40002	1.12299	3.56246E-7
11.50002	1.1234	-6.41318E-7
11.60002	1.1237	-1.99273E-6
11.70002	1.12394	-2.58722E-6
11.80002	1.12429	-2.62154E-6
11.90002	1.12454	-2.62154E-6
12.00002	1.12475	-2.62154E-6
12.10002	1.12501	-2.62154E-6
12.20002	1.12519	-2.62154E-6
12.30002	1.12532	-2.62154E-6
12.40002	1.12541	-2.60329E-6
12.50002	1.12545	-1.67295E-6
12.60002	1.12553	1.48699E-6
12.70002	1.12569	2.62146E-6
12.80003	1.12573	2.62146E-6
12.90003	1.12576	2.62146E-6
13.00002	1.12578	2.62146E-6
13.10003	1.12584	2.62146E-6
13.20003	1.12591	2.62146E-6
13.30003	1.12596	2.62146E-6
13.40003	1.12608	1.37562E-6
13.50003	1.12616	-2.26419E-6
13.60003	1.12619	-2.62154E-6
13.70003	1.12622	-2.62154E-6
13.80003	1.12622	-2.62154E-6
13.90003	1.12622	-2.62154E-6
14.00003	1.12624	-2.62154E-6
14.10003	1.12626	-2.62154E-6
14.20003	1.1263	-2.60626E-6
14.30003	1.12638	-2.51335E-6
14.40003	1.12647	-2.18348E-6
14.50003	1.1266	-2.20817E-7
14.60003	1.12665	1.62863E-6
14.70003	1.12662	2.62146E-6
14.80003	1.12669	2.62146E-6
14.90003	1.1268	2.62146E-6
15.00003	1.12696	2.62146E-6
15.10003	1.12716	2.62146E-6
15.20003	1.1273	2.62146E-6
15.30003	1.12738	2.61098E-6
15.40003	1.12754	2.1721E-6
15.50003	1.12769	1.35891E-6
15.60003	1.1278	8.04549E-7
15.70003	1.12795	1.62287E-7
15.80003	1.12818	3.23132E-7
15.90003	1.1283	1.27406E-6
16.00003	1.12839	1.52863E-6
16.10003	1.12849	2.01624E-6
16.20003	1.12863	2.2748E-6
16.30003	1.12883	2.57945E-6
16.40003	1.12896	2.62103E-6
16.50003	1.12903	2.62146E-6
16.60003	1.1292	2.62146E-6
16.70003	1.12944	2.62146E-6
16.80003	1.12962	2.62146E-6
16.90003	1.12973	2.62146E-6
17.00003	1.12979	2.62146E-6
17.10003	1.12988	2.62146E-6
17.20003	1.13004	2.56865E-6
17.30003	1.1302	1.64115E-6
17.40003	1.13032	-1.92656E-7
17.50003	1.13054	-1.55221E-6
17.60003	1.13073	-2.51363E-6
17.70004	1.13086	-2.62154E-6
17.80004	1.13096	-2.61747E-6
17.90003	1.13108	-2.1522E-6
18.00003	1.13126	-1.52216E-6
18.10003	1.13145	-4.80897E-7
18.20004	1.13157	1.00727E-7
18.30004	1.13164	8.68426E-7
18.40004	1.13163	2.4212E-6
18.50004	1.13182	2.62146E-6
18.60004	1.13202	2.62146E-6
18.70004	1.13212	2.62146E-6
18.80004	1.13219	2.62146E-6
18.90004	1.13231	2.62146E-6
19.00004	1.13248	2.57481E-6
19.10004	1.13262	2.09154E-6
19.20004	1.13277	1.64628E-6
19.30004	1.13295	6.41402E-7
19.40004	1.13309	-9.16114E-7
19.50004	1.13317	-1.70071E-6
19.60004	1.13328	4.36954E-9
19.70004	1.13335	-6.16784E-7
19.80004	1.13344	-1.3798E-6
19.90004	1.13357	-1.61595E-6
20.00004	1.13372	-1.617E-6
20.10004	1.13387	-1.02582E-6
20.20004	1.13401	3.87214E-7
20.30004	1.13399	2.5674E-6
20.40004	1.13418	2.62146E-6
20.50004	1.13431	2.62146E-6
20.60004	1.13442	2.62146E-6
20.70004	1.1345	2.62146E-6
20.80004	1.13456	2.62146E-6
20.90004	1.13461	2.62146E-6
21.00004	1.13471	2.62146E-6
21.10004	1.13485	2.21079E-6
21.20004	1.13497	5.56065E-7
21.30004	1.13508	-1.17262E-6
21.40004	1.13523	-2.24453E-6
21.50004	1.13535	-2.25718E-6
21.60004	1.13548	-2.27214E-6
21.70004	1.1356	-1.79707E-6
21.80004	1.1357	-8.73207E-7
21.90004	1.13576	1.15672E-6
22.00004	1.13588	2.51955E-6
22.10004	1.13599	2.62146E-6
22.20004	1.13608	2.62146E-6
22.30004	1.13613	2.62146E-6
22.40004	1.13618	2.62146E-6
22.50004	1.13626	2.62146E-6
22.60004	1.13638	2.41474E-6
22.70004	1.13653	5.43142E-7
22.80005	1.13661	-1.26466E-6
22.90005	1.13672	-2.26612E-6
23.00004	1.13685	-2.62055E-6
23.10004	1.13694	-2.62154E-6
23.20004	1.13703	-2.62154E-6
23.30005	1.13713	-2.62154E-6
23.40005	1.13723	-2.60014E-6
23.50005	1.13732	-2.32995E-6
23.60005	1.13738	-2.04251E-6
23.70005	1.13745	-1.6412E-6
23.80005	1.13754	-9.4351E-7
23.90005	1.13767	-1.4469E-7
24.00005	1.13775	1.51613E-6
24.10005	1.13777	2.62146E-6
24.20005	1.13783	2.62146E-6
24.30005	1.13793	2.62146E-6
24.40005	1.13805	2.62146E-6
24.50005	1.13817	2.62146E-6
24.60005	1.13827	2.62146E-6
24.70005	1.13832	2.1517E-6
24.80005	1.1384	5.64239E-7
24.90005	1.13851	-1.52553E-6
25.00005	1.1386	-2.57384E-6
25.10005	1.13868	-2.62154E-6
25.20005	1.13877	-2.62154E-6
25.30005	1.13887	-2.55048E-6
25.40005	1.13894	-2.23017E-6
25.50005	1.13898	-1.71149E-6
25.60005	1.13904	-1.30057E-6
25.70005	1.13912	-2.78604E-7
25.80005	1.13923	1.84734E-6
25.90005	1.13927	2.62146E-6
26.00005	1.13932	2.62146E-6
26.10005	1.13945	1.96339E-6
26.20005	1.13962	7.66277E-8
26.30005	1.13967	-1.41624E-6
26.40005	1.13972	-2.53902E-6
26.50005	1.13978	-2.62154E-6
26.60005	1.13985	-2.62154E-6
26.70005	1.13993	-2.62154E-6
26.80005	1.14003	-2.62154E-6
26.90005	1.14011	-2.62154E-6
27.00005	1.14017	-2.62154E-6
27.10005	1.14023	-2.62154E-6
27.20005	1.14031	-2.62154E-6
27.30005	1.14039	-2.62154E-6
27.40005	1.14047	-2.62154E-6
27.50005	1.14053	-2.62154E-6
27.60005	1.14059	-2.48641E-6
27.70005	1.14065	-1.83666E-6
27.80005	1.14074	1.50806E-6
27.90006	1.14082	2.62146E-6
28.00006	1.14088	2.62146E-6
28.10005	1.14093	2.62146E-6
28.20005	1.14098	2.62146E-6
28.30005	1.14104	2.60591E-6
28.40006	1.14116	2.29438E-6
28.50006	1.14123	1.74653E-6
28.60006	1.14131	8.21058E-8
28.70006	1.14136	-2.07355E-6
28.80006	1.14141	-2.62154E-6
28.90006	1.14147	-2.62154E-6
29.00006	1.14155	-2.62154E-6
29.10006	1.14163	-2.62154E-6
29.20006	1.1417	-2.62154E-6
29.30006	1.14176	-2.62154E-6
29.40006	1.14182	-2.62154E-6
29.50006	1.14188	-2.62154E-6
29.60006	1.14195	-2.62154E-6
29.70006	1.14202	9.7761E-7
29.80006	1.14208	1.94474E-6
29.90006	1.14215	1.79975E-6
30.00006	1.14222	1.34706E-6
30.10006	1.14224	5.47846E-7
30.20006	1.14231	-7.88453E-7
30.30006	1.14241	-1.80771E-6
30.40006	1.1425	-1.94802E-6
30.50006	1.1426	-2.43367E-6
30.60006	1.14269	-2.55879E-6
30.70006	1.14277	-2.62154E-6
30.80006	1.14284	-2.43206E-6
30.90006	1.1429	-2.16625E-6
31.00006	1.14293	-1.90524E-6
31.10006	1.14295	-1.4791E-6
31.20006	1.14296	-8.54733E-7
31.30006	1.14298	-3.94053E-7
31.40006	1.14302	8.40072E-7
31.50006	1.14312	2.17604E-6
31.60006	1.14323	2.62146E-6
31.70006	1.14328	2.62146E-6
31.80006	1.14332	2.62146E-6
31.90006	1.14334	2.62146E-6
32.00006	1.14335	2.62146E-6
32.10006	1.14336	2.62146E-6
32.20006	1.14338	2.62146E-6
32.30006	1.1434	2.62146E-6
32.40006	1.14345	2.62146E-6
32.50006	1.14352	2.62146E-6
32.60007	1.1436	2.62146E-6
32.70006	1.1437	2.62146E-6
32.80006	1.1438	2.62146E-6
32.90006	1.14391	2.62146E-6
33.00006	1.144	2.62146E-6
33.10007	1.14407	2.62146E-6
33.20006	1.14411	2.62146E-6
33.30007	1.14414	2.62146E-6
33.40006	1.14416	2.62146E-6
33.50007	1.14418	2.62146E-6
33.60007	1.14421	2.62146E-6
33.70006	1.14425	2.62146E-6
33.80007	1.1443	2.62146E-6
33.90006	1.14435	2.62146E-6
34.00007	1.14441	2.62146E-6
34.10007	1.14448	2.62146E-6
34.20007	1.14456	2.62073E-6
34.30007	1.14464	2.50472E-6
34.40007	1.14475	2.61493E-6
34.50007	1.14481	2.61526E-6
34.60007	1.14488	2.62146E-6
34.70007	1.14492	2.62146E-6
34.80007	1.14494	2.62146E-6
34.90007	1.14496	2.62146E-6
35.00007	1.14498	2.62146E-6
35.10007	1.14501	2.62146E-6
35.20007	1.14505	2.62146E-6
35.30007	1.14511	2.62146E-6
35.40007	1.14519	2.62146E-6
35.50007	1.14527	2.62146E-6
35.60007	1.14535	2.62146E-6
35.70007	1.14544	2.62146E-6
35.80007	1.14553	2.62146E-6
35.90007	1.1456	2.62146E-6
36.00007	1.14566	2.62146E-6
36.10007	1.14571	2.62146E-6
36.20007	1.14578	2.46086E-6
36.30007	1.14586	2.11855E-6
36.40007	1.14591	1.78809E-6
36.50007	1.14594	1.96952E-6
36.60007	1.14598	1.79285E-6
36.70007	1.14599	2.19552E-6
36.80007	1.14599	2.46512E-6
36.90007	1.14596	2.62146E-6
37.00007	1.14601	2.62146E-6
37.10007	1.14608	2.62146E-6
37.20007	1.14615	2.62146E-6
37.30007	1.14625	2.62146E-6
37.40007	1.14633	2.62146E-6
37.50007	1.14641	2.62146E-6
37.60007	1.14647	2.62146E-6
37.70008	1.14651	2.62146E-6
37.80007	1.14653	2.62146E-6
37.90007	1.14659	2.32149E-6
38.00007	1.14664	2.24544E-6
38.10007	1.14674	1.30125E-6
38.20008	1.14683	-1.37894E-7
38.30007	1.14678	1.13734E-6
38.40008	1.14676	2.36585E-6
38.50007	1.1468	2.38218E-6
38.60008	1.14685	2.44126E-6
38.70008	1.14687	2.62146E-6
38.80008	1.14696	2.62146E-6
38.90008	1.14705	2.62146E-6
39.00007	1.14713	2.62146E-6
39.10008	1.14721	2.62146E-6
39.20008	1.14726	2.62146E-6
39.30008	1.1473	2.62146E-6
39.40008	1.14733	2.62146E-6
39.50008	1.14735	2.62146E-6
39.60008	1.14741	2.45339E-6
39.70008	1.14749	1.61356E-6
39.80008	1.1476	1.59198E-7
39.90008	1.14762	-2.14485E-6
40.00008	1.14762	-2.60909E-6
40.10008	1.14768	-2.45835E-6
40.20008	1.1477	-2.62154E-6
40.30008	1.14773	-2.56496E-6
40.40008	1.14776	-2.38746E-6
40.50008	1.14777	-1.47857E-6
40.60008	1.14779	-1.40798E-6
40.70008	1.1478	-6.63947E-7
40.80008	1.14785	-1.79528E-6
40.90008	1.14787	-1.14389E-6
41.00008	1.14793	1.15332E-6
41.10008	1.14803	2.48451E-6
41.20008	1.1481	2.62146E-6
41.30008	1.14814	2.62146E-6
41.40008	1.14817	2.62146E-6
41.50008	1.14825	2.62146E-6
41.60008	1.14841	2.62146E-6
41.70008	1.14856	2.62146E-6
41.80008	1.14874	2.62146E-6
41.90008	1.14887	2.62146E-6
42.00008	1.14896	2.62146E-6
42.10008	1.149	2.62146E-6
42.20008	1.14904	2.62146E-6
42.30008	1.1491	2.62146E-6
42.40008	1.14921	2.60121E-6
42.50008	1.14927	2.62146E-6
42.60008	1.14941	2.62146E-6
42.70008	1.14949	2.62146E-6
42.80009	1.14964	2.62146E-6
42.90008	1.14972	2.62146E-6
43.00008	1.14977	2.62146E-6
43.10008	1.14979	2.62146E-6
43.20008	1.14984	2.62146E-6
43.30009	1.14989	2.62146E-6
43.40008	1.14995	2.62146E-6
43.50009	1.15004	2.62146E-6
43.60008	1.15015	2.62146E-6
43.70009	1.15026	2.62146E-6
43.80009	1.15032	1.96959E-6
43.90009	1.1504	2.62146E-6
44.00009	1.15051	2.62146E-6
44.10008	1.15056	2.62146E-6
44.20009	1.15058	2.62146E-6
44.30009	1.15062	2.62146E-6
44.40009	1.15066	2.62146E-6
44.50009	1.15079	1.86299E-6
44.60009	1.15079	2.27596E-6
44.70009	1.15087	2.62146E-6
44.80009	1.15092	2.62146E-6
44.90009	1.15112	2.62146E-6
45.00009	1.15119	2.62146E-6
45.10009	1.15131	2.62146E-6
45.20009	1.15136	2.62146E-6
45.30009	1.1514	2.62146E-6
45.40009	1.15148	2.62146E-6
45.50009	1.1519	2.62146E-6
45.60009	1.15199	2.62146E-6
45.70009	1.15213	2.62146E-6
45.80009	1.15218	2.62146E-6
45.90009	1.15221	2.62146E-6
46.00009	1.15229	2.62146E-6
46.10009	1.15244	2.62146E-6
46.20009	1.15258	2.62146E-6
46.30009	1.15264	1.82354E-6
46.40009	1.15286	2.62146E-6
46.50009	1.15294	2.62146E-6
46.60009	1.153	2.60004E-6
46.70009	1.15303	2.62146E-6
46.80009	1.15308	2.62146E-6
46.90009	1.15316	2.62146E-6
47.00009	1.15329	2.62146E-6
47.10009	1.15345	2.62146E-6
47.20009	1.15361	2.62146E-6
47.30009	1.15372	2.62146E-6
47.40009	1.15378	2.62146E-6
47.50009	1.1538	2.62146E-6
47.60009	1.15384	2.62146E-6
47.70009	1.15391	2.62146E-6
47.80009	1.15404	2.62146E-6
47.9001	1.15423	2.62146E-6
48.00009	1.15429	2.50211E-6
48.10009	1.15439	2.62146E-6
48.20009	1.15451	2.62146E-6
48.30009	1.15455	2.42396E-6
48.4001	1.15458	2.62146E-6
48.50009	1.15464	2.62146E-6
48.6001	1.15474	2.62146E-6
48.70009	1.15489	2.62146E-6
48.8001	1.15511	2.62146E-6
48.9001	1.15524	2.62146E-6
49.0001	1.15528	2.17543E-6
49.1001	1.1554	2.62146E-6
49.20009	1.15547	2.62146E-6
49.3001	1.15552	2.56102E-6
49.4001	1.15554	2.62146E-6
49.5001	1.15559	2.62146E-6
49.6001	1.15571	2.62146E-6
49.7001	1.1559	2.62146E-6
49.8001	1.15606	2.62146E-6
49.9001	1.15612	2.62146E-6
50.0001	1.15615	2.62146E-6
50.1001	1.15618	2.62146E-6
50.2001	1.15623	2.62146E-6
50.3001	1.15645	2.62146E-6
50.4001	1.15655	2.62146E-6
50.5001	1.15668	2.62146E-6
50.6001	1.15672	2.62146E-6
50.7001	1.15688	2.62146E-6
50.8001	1.15692	1.50467E-6
50.9001	1.15692	-4.81303E-7
51.0001	1.15697	2.62146E-6
51.1001	1.15702	2.62146E-6
51.2001	1.15711	2.62146E-6
51.3001	1.1572	2.62146E-6
51.4001	1.15738	2.62146E-6
51.5001	1.15752	2.62146E-6
51.6001	1.15764	2.40002E-6
51.7001	1.15765	2.15041E-6
51.8001	1.15773	2.62146E-6
51.9001	1.15776	2.62146E-6
52.0001	1.15785	2.4204E-6
52.1001	1.15789	2.58608E-6
52.2001	1.15806	2.62146E-6
52.3001	1.15819	2.62146E-6
52.4001	1.15823	2.62146E-6
52.5001	1.15826	2.62146E-6
52.6001	1.15831	2.62146E-6
52.7001	1.15836	2.62146E-6
52.8001	1.15842	2.61238E-6
52.9001	1.15843	1.47804E-6
53.00011	1.15853	2.62146E-6
53.1001	1.15859	2.62146E-6
53.2001	1.15863	2.62146E-6
53.3001	1.15866	2.62146E-6
53.4001	1.1587	2.62146E-6
53.50011	1.15878	2.2766E-6
53.6001	1.15882	2.62146E-6
53.70011	1.15898	2.62146E-6
53.8001	1.15908	2.35002E-6
53.90011	1.15918	2.62146E-6
54.00011	1.15932	2.56764E-6
54.10011	1.15939	2.52959E-6
54.20011	1.1594	2.43674E-6
54.3001	1.15949	-1.80936E-6
54.40011	1.15943	2.2826E-6
54.50011	1.15957	2.62146E-6
54.60011	1.15968	2.62146E-6
54.70011	1.15985	2.42925E-6
54.80011	1.15988	2.48734E-6
54.90011	1.15998	2.13203E-6
55.00011	1.16	2.05493E-6
55.10011	1.16007	2.62146E-6
55.20011	1.16013	2.62146E-6
55.30011	1.16018	2.62146E-6
55.40011	1.16022	2.62146E-6
55.50011	1.16032	2.62146E-6
55.60011	1.16043	1.1883E-6
55.70011	1.16043	2.56368E-6
55.80011	1.1606	2.62146E-6
55.90011	1.16071	2.62146E-6
56.00011	1.16079	2.26379E-6
56.10011	1.1608	8.4539E-7
56.20011	1.1609	2.62146E-6
56.30011	1.16098	2.62146E-6
56.40011	1.16103	1.46159E-6
56.50011	1.16104	2.62146E-6
56.60011	1.16112	2.18893E-6
56.70011	1.16112	2.26933E-6
56.80011	1.16114	2.62146E-6
56.90011	1.16127	2.62146E-6
57.00011	1.16135	2.62146E-6
57.10011	1.16144	-5.87807E-7
57.20011	1.16144	1.28756E-6
57.30011	1.16156	2.62146E-6
57.40011	1.16165	2.62146E-6
57.50011	1.16168	2.62146E-6
57.60011	1.16175	2.62146E-6
57.70011	1.16182	2.62146E-6
57.80011	1.16188	2.62146E-6
57.90011	1.16199	2.53568E-6
58.00011	1.16207	-6.52852E-7
58.10012	1.16204	1.50651E-6
58.20011	1.16209	2.62146E-6
58.30011	1.16219	2.62146E-6
58.40011	1.16226	2.62146E-6
58.50011	1.1624	2.62146E-6
58.60012	1.16248	2.62146E-6
58.70011	1.16253	1.42832E-6
58.80012	1.16257	2.62146E-6
58.90011	1.16268	1.03798E-6
59.00012	1.16268	2.62146E-6
59.10012	1.1628	2.62146E-6
59.20012	1.16288	2.62146E-6
59.30012	1.163	2.62146E-6
59.40011	1.16303	2.44741E-6
59.50012	1.16309	2.62146E-6
59.60012	1.16316	2.61939E-6
59.70012	1.16321	2.58064E-6
59.80012	1.16322	1.3479E-6
59.90012	1.16337	2.62146E-6
60.00012	1.1634	1.97928E-6
60.10012	1.16339	2.62146E-6
60.20012	1.16346	2.62146E-6
60.30012	1.16355	2.62146E-6
60.40012	1.16365	2.62146E-6
60.50012	1.16382	2.62146E-6
60.60012	1.16387	2.62146E-6
60.70012	1.16395	2.62146E-6
60.80012	1.16401	-1.10888E-6
60.90012	1.16399	-7.22729E-8
61.00012	1.16405	2.62094E-6
61.10012	1.16414	2.62146E-6
61.20012	1.16423	1.00887E-6
61.30012	1.16423	2.62146E-6
61.40012	1.16428	2.4831E-6
61.50012	1.1643	2.62146E-6
61.60012	1.16449	2.24482E-6
61.70012	1.1645	9.73021E-7
61.80012	1.16454	2.62146E-6
61.90012	1.16462	2.62146E-6
62.00012	1.16467	2.62146E-6
62.10012	1.16475	2.61812E-6
62.20012	1.16485	2.62146E-6
62.30012	1.16493	2.62146E-6
62.40012	1.16499	2.62146E-6
62.50012	1.16504	2.62146E-6
62.60012	1.16506	2.57685E-6
62.70012	1.16509	2.62146E-6
62.80012	1.16522	2.62146E-6
62.90012	1.16537	2.62146E-6
63.00012	1.16543	2.62146E-6
63.10012	1.16555	2.62146E-6
63.20012	1.16559	2.59172E-6
63.30012	1.16568	2.62146E-6
63.40012	1.16572	2.62146E-6
63.50012	1.16581	2.62146E-6
63.60012	1.16594	2.62146E-6
63.70012	1.16605	2.11794E-6
63.80012	1.16613	2.62146E-6
63.90012	1.16629	2.62146E-6
64.00013	1.16633	2.41219E-6
64.10013	1.16635	2.61E-6
64.20012	1.16639	2.62146E-6
64.30012	1.16646	2.62146E-6
64.40013	1.16652	2.62146E-6
64.50013	1.16659	2.62146E-6
64.60013	1.16674	2.62146E-6
64.70012	1.16686	1.2007E-6
64.80012	1.16682	1.44114E-6
64.90013	1.16699	2.62146E-6
65.00013	1.16706	2.62146E-6
65.10013	1.16705	2.62146E-6
65.20012	1.16718	2.62146E-6
65.30013	1.16724	2.62146E-6
65.40013	1.16733	2.62146E-6
65.50013	1.16739	2.55817E-6
65.60013	1.16745	-5.99383E-7
65.70012	1.16749	2.62146E-6
65.80013	1.16762	2.62146E-6
65.90013	1.16763	2.56996E-6
66.00013	1.16775	2.62146E-6
66.10013	1.1678	2.62146E-6
66.20013	1.16786	2.62146E-6
66.30013	1.16791	2.62146E-6
66.40013	1.16796	2.62146E-6
66.50013	1.16797	2.62146E-6
66.60013	1.16801	2.62146E-6
66.70013	1.16805	2.40023E-6
66.80013	1.1682	9.02402E-7
66.90013	1.16818	7.58196E-7
67.00013	1.16833	2.62146E-6
67.10013	1.1684	2.62146E-6
67.20013	1.16852	7.63908E-7
67.30013	1.16852	3.86644E-7
67.40013	1.16859	2.62146E-6
67.50013	1.1686	2.62146E-6
