Time	E	j
s	V RHE	mA cm-2
10.00002	1.04165	-3.22859E-6
10.10002	1.0417	-3.2769E-6
10.20002	1.04174	-3.2769E-6
10.30002	1.04177	-2.51942E-6
10.40002	1.04181	6.93868E-7
10.50002	1.04185	3.23394E-6
10.60002	1.0419	3.19619E-6
10.70002	1.04194	3.27685E-6
10.80002	1.04199	3.27685E-6
10.90002	1.04205	3.27685E-6
11.00002	1.0421	3.27685E-6
11.10002	1.04215	3.27685E-6
11.20002	1.04221	3.27685E-6
11.30002	1.04227	2.09776E-6
11.40002	1.04232	3.20596E-7
11.50002	1.04237	2.72753E-6
11.60002	1.04242	3.10059E-6
11.70002	1.04248	-2.36512E-6
11.80002	1.04252	-1.62711E-6
11.90002	1.04257	1.54341E-6
12.00002	1.04263	-1.59243E-6
12.10002	1.04268	-3.2769E-6
12.20002	1.04273	-2.39305E-6
12.30002	1.04278	2.58873E-6
12.40002	1.04282	2.60178E-6
12.50002	1.04289	-2.86617E-6
12.60002	1.04295	-3.2769E-6
12.70002	1.04299	1.41817E-6
12.80003	1.04303	3.27058E-6
12.90003	1.04309	8.27728E-7
13.00002	1.04315	-2.606E-6
13.10003	1.0432	-7.6904E-7
13.20003	1.04325	-1.25233E-7
13.30003	1.04329	3.27685E-6
13.40003	1.04334	2.49606E-7
13.50003	1.04339	-3.26243E-6
13.60003	1.04342	-3.2769E-6
13.70003	1.04346	-3.2769E-6
13.80003	1.0435	-2.80744E-6
13.90003	1.04354	-1.27735E-6
14.00003	1.04358	-1.17173E-6
14.10003	1.04362	4.78345E-7
14.20003	1.04366	3.27685E-6
14.30003	1.04369	2.43611E-6
14.40003	1.04372	2.91506E-6
14.50003	1.04376	1.06654E-6
14.60003	1.04382	-3.2769E-6
14.70003	1.04386	-3.2769E-6
14.80003	1.04389	-3.2769E-6
14.90003	1.04392	-3.2769E-6
15.00003	1.04394	-2.80079E-6
15.10003	1.04396	5.78053E-7
15.20003	1.04401	-2.99714E-6
15.30003	1.04403	-3.2769E-6
15.40003	1.04405	-3.2769E-6
15.50003	1.04407	-3.22971E-6
15.60003	1.0441	-2.37679E-6
15.70003	1.04411	2.41805E-6
15.80003	1.04414	2.60297E-6
15.90003	1.04416	3.27685E-6
16.00003	1.0442	3.27685E-6
16.10003	1.04422	3.27685E-6
16.20003	1.04425	3.15504E-6
16.30003	1.04428	-2.10155E-6
16.40003	1.0443	-3.27329E-6
16.50003	1.04433	8.89296E-7
16.60003	1.04435	3.27685E-6
16.70003	1.04438	-1.23266E-6
16.80003	1.0444	-2.52229E-6
16.90003	1.04441	1.67429E-6
17.00003	1.04443	3.27685E-6
17.10003	1.04444	3.27685E-6
17.20003	1.04447	3.27685E-6
17.30003	1.0445	3.27685E-6
17.40003	1.04453	3.27685E-6
17.50003	1.04454	2.66624E-6
17.60003	1.04457	-2.57211E-6
17.70004	1.04458	2.27548E-6
17.80004	1.04461	3.27685E-6
17.90003	1.04462	3.05625E-6
18.00003	1.04465	2.78549E-7
18.10003	1.04467	-1.40358E-6
18.20004	1.04469	5.62676E-7
18.30004	1.0447	3.27685E-6
18.40004	1.04473	3.27685E-6
18.50004	1.04477	-1.2972E-6
18.60004	1.04479	-3.2769E-6
18.70004	1.0448	-3.27127E-6
18.80004	1.04482	-3.2769E-6
18.90004	1.04483	-3.2769E-6
19.00004	1.04485	-3.2769E-6
19.10004	1.04485	-2.51654E-6
