Time	E	j
s	V RHE	mA cm-2
10.00002	0.88025	1.72612E-6
10.10002	0.88062	1.74416E-6
10.20002	0.88097	1.81273E-6
10.30002	0.88129	1.94196E-6
10.40002	0.88161	1.95687E-6
10.50002	0.88198	2.07686E-6
10.60002	0.88227	1.96425E-6
10.70002	0.88264	2.03204E-6
10.80002	0.88292	1.95938E-6
10.90002	0.88324	1.98027E-6
11.00002	0.88355	1.96276E-6
11.10002	0.88381	2.0796E-6
11.20002	0.88414	2.11275E-6
11.30002	0.88444	2.13857E-6
11.40002	0.88471	2.18972E-6
11.50002	0.88501	2.13471E-6
11.60002	0.88528	2.20772E-6
11.70002	0.88556	2.16151E-6
11.80002	0.88585	2.19813E-6
11.90002	0.88609	2.32533E-6
12.00002	0.88636	2.34339E-6
12.10002	0.88666	2.39484E-6
12.20002	0.8869	2.36384E-6
12.30002	0.88716	2.39085E-6
12.40002	0.88743	2.30082E-6
12.50002	0.88766	2.3106E-6
12.60002	0.88788	2.31004E-6
12.70002	0.88811	2.36674E-6
12.80003	0.88838	2.43126E-6
12.90003	0.88854	2.37187E-6
13.00002	0.88877	2.45572E-6
13.10003	0.88906	2.33403E-6
13.20003	0.88928	2.41734E-6
13.30003	0.88948	2.33456E-6
13.40003	0.88987	2.3385E-6
13.50003	0.89007	2.36345E-6
13.60003	0.89026	2.46367E-6
13.70003	0.89053	2.48035E-6
13.80003	0.89088	2.48084E-6
13.90003	0.89127	2.47321E-6
14.00003	0.89176	2.41352E-6
14.10003	0.89208	2.43557E-6
14.20003	0.89241	2.39704E-6
14.30003	0.89259	2.41979E-6
14.40003	0.89278	2.53877E-6
14.50003	0.89307	2.6776E-6
14.60003	0.89331	2.87451E-6
14.70003	0.89355	2.89615E-6
14.80003	0.89387	2.84044E-6
14.90003	0.89407	2.48309E-6
15.00003	0.89428	2.24826E-6
15.10003	0.89452	2.24082E-6
15.20003	0.89478	2.30364E-6
15.30003	0.89494	2.4167E-6
15.40003	0.89515	2.39481E-6
15.50003	0.89548	2.47716E-6
15.60003	0.8957	2.34651E-6
15.70003	0.89591	2.39471E-6
15.80003	0.89621	2.37968E-6
15.90003	0.89645	2.41433E-6
16.00003	0.89662	2.45557E-6
16.10003	0.89688	2.5114E-6
16.20003	0.89712	2.52896E-6
16.30003	0.89728	2.52205E-6
16.40003	0.89743	2.51874E-6
16.50003	0.89761	2.5011E-6
16.60003	0.89784	2.48784E-6
16.70003	0.89802	2.42773E-6
16.80003	0.89814	2.40819E-6
16.90003	0.89829	2.48096E-6
17.00003	0.89848	2.52214E-6
17.10003	0.89869	2.58522E-6
17.20003	0.89883	2.60076E-6
17.30003	0.89895	2.67771E-6
17.40003	0.89907	2.69253E-6
17.50003	0.89921	2.67708E-6
17.60003	0.89939	2.52796E-6
17.70004	0.89955	2.47896E-6
17.80004	0.89967	2.58479E-6
17.90003	0.89977	2.50446E-6
18.00003	0.8999	2.52137E-6
18.10003	0.90006	2.40352E-6
18.20004	0.90024	2.40675E-6
18.30004	0.90037	2.36453E-6
18.40004	0.90047	2.37413E-6
18.50004	0.90056	2.3903E-6
18.60004	0.90067	2.47374E-6
18.70004	0.9008	2.51699E-6
18.80004	0.90095	2.50342E-6
18.90004	0.90109	2.48349E-6
19.00004	0.90121	2.48789E-6
19.10004	0.9013	2.45095E-6
19.20004	0.90138	2.44253E-6
19.30004	0.90148	2.38445E-6
19.40004	0.90163	2.49481E-6
19.50004	0.90179	2.55118E-6
19.60004	0.90191	2.60874E-6
19.70004	0.902	2.59326E-6
19.80004	0.90209	2.66069E-6
19.90004	0.90218	2.62653E-6
20.00004	0.90228	2.56603E-6
20.10004	0.9024	2.57698E-6
20.20004	0.90255	2.64389E-6
20.30004	0.9027	2.79603E-6
20.40004	0.90281	2.84524E-6
20.50004	0.90289	3.03809E-6
20.60004	0.90298	3.1478E-6
20.70004	0.90309	3.23561E-6
20.80004	0.90321	3.20551E-6
20.90004	0.90335	3.14597E-6
21.00004	0.90347	3.11953E-6
21.10004	0.90357	3.18887E-6
21.20004	0.90366	3.15292E-6
21.30004	0.90375	3.13577E-6
21.40004	0.90385	3.0733E-6
21.50004	0.90396	3.05587E-6
21.60004	0.90407	2.97296E-6
21.70004	0.90421	2.90997E-6
21.80004	0.90432	2.8608E-6
21.90004	0.90441	2.91316E-6
22.00004	0.90449	2.93811E-6
22.10004	0.90457	2.95123E-6
22.20004	0.90467	2.89645E-6
22.30004	0.90479	2.80233E-6
22.40004	0.90491	2.79459E-6
22.50004	0.90503	2.75836E-6
22.60004	0.90513	2.77535E-6
22.70004	0.90521	2.7826E-6
22.80005	0.90529	2.81893E-6
22.90005	0.90537	2.80895E-6
23.00004	0.90546	2.80002E-6
23.10004	0.90557	2.74196E-6
23.20004	0.90568	2.6847E-6
23.30005	0.90579	2.63385E-6
23.40005	0.90589	2.57391E-6
23.50005	0.90599	2.61044E-6
23.60005	0.90607	2.72235E-6
23.70005	0.90615	2.68651E-6
23.80005	0.90624	2.76806E-6
23.90005	0.90634	2.64392E-6
24.00005	0.90645	2.66538E-6
24.10005	0.90656	2.50513E-6
24.20005	0.90666	2.46178E-6
24.30005	0.90676	2.41725E-6
24.40005	0.90683	2.5571E-6
24.50005	0.9069	2.63773E-6
24.60005	0.90698	2.532E-6
24.70005	0.90708	2.58813E-6
24.80005	0.90719	2.46033E-6
24.90005	0.9073	2.46994E-6
25.00005	0.9074	2.34403E-6
25.10005	0.90749	2.40018E-6
25.20005	0.90758	2.41043E-6
25.30005	0.90766	2.61708E-6
25.40005	0.90773	2.65292E-6
25.50005	0.90781	2.59114E-6
25.60005	0.90791	2.49781E-6
25.70005	0.90802	2.44747E-6
25.80005	0.90811	2.37468E-6
25.90005	0.90821	2.2329E-6
26.00005	0.90829	2.27583E-6
26.10005	0.90838	2.50032E-6
26.20005	0.90845	2.47614E-6
26.30005	0.90851	2.56682E-6
26.40005	0.90859	2.42944E-6
26.50005	0.90867	2.47797E-6
26.60005	0.90877	2.26229E-6
26.70005	0.90887	2.28783E-6
26.80005	0.90897	2.08692E-6
26.90005	0.90906	2.41288E-6
27.00005	0.90915	2.51808E-6
27.10005	0.90923	2.36661E-6
27.20005	0.9093	2.39206E-6
27.30005	0.90938	2.30544E-6
27.40005	0.90946	2.3171E-6
27.50005	0.90954	1.97672E-6
27.60005	0.90964	2.09795E-6
27.70005	0.90974	2.19391E-6
27.80005	0.90983	2.54135E-6
27.90006	0.9099	3.30166E-6
28.00006	0.91	3.45675E-6
28.10005	0.91012	2.12258E-6
28.20005	0.91021	-3.26643E-6
28.30005	0.9103	-1.72929E-6
28.40006	0.91038	9.44931E-7
28.50006	0.91057	3.44618E-6
