	[Ir. spot (1,3)] Co2p		[CoIr (20:80). spot (3,3)] Co2p		[Ir-Co 40:60 Spot (8,9) JP08] Co2p		[Ir-Co 60:40 Spot (6,2) JP08] Co2p		[CoIr (8020). spot (5,3)] Co2p		[Co Spot (5,2)] Co2p
775.125	2644.3993707	775.04	3815.64479455	775.05	4300.06593091	775.12	5735.44295347	775.115	8221.61383532	775.07	8792.79110057
775.225	2662.06956543	775.14	3774.19229296	775.15	4297.38304933	775.22	5741.51502351	775.215	8234.53819639	775.17	8787.40641983
775.325	2657.3570406	775.24	3790.26469696	775.25	4311.85800904	775.32	5728.50192086	775.315	8251.97188679	775.27	8804.92069583
775.425	2667.35609313	775.34	3803.72877159	775.35	4302.14910406	775.42	5736.60599624	775.415	8268.42008212	775.37	8800.45610961
775.525	2649.2772975	775.44	3809.51706333	775.45	4297.22033164	775.52	5744.64250006	775.515	8255.59496665	775.47	8795.66441089
775.625	2649.25703453	775.54	3809.54581444	775.55	4296.76624621	775.62	5717.36475269	775.615	8234.92252199	775.57	8779.09514079
775.725	2652.30827047	775.64	3795.12839567	775.65	4312.45680923	775.72	5742.08337159	775.715	8230.08154815	775.67	8785.44696207
775.825	2645.6184724	775.74	3799.30449215	775.75	4323.41501603	775.82	5747.43217447	775.815	8253.28040135	775.77	8793.12067276
775.925	2665.755838	775.84	3825.06696463	775.85	4306.36514001	775.92	5730.18166522	775.915	8303.02758432	775.87	8791.34389281
776.025	2655.68503563	775.94	3823.44692378	775.95	4312.01918314	776.02	5739.57962446	776.015	8272.46779635	775.97	8780.87013169
776.125	2636.08381147	776.04	3804.14018092	776.05	4317.48365823	776.12	5731.95838547	776.115	8297.02306425	776.07	8780.73629121
776.225	2663.40037647	776.14	3789.84214944	776.15	4308.20044821	776.22	5748.16904877	776.215	8261.07043069	776.17	8799.89518233
776.325	2649.81835967	776.24	3778.31540085	776.25	4303.86643664	776.32	5746.83552366	776.315	8248.34136622	776.27	8803.51094647
776.425	2636.80342537	776.34	3801.91791507	776.35	4312.61850553	776.42	5739.97681319	776.415	8264.85260849	776.37	8802.03893276
776.525	2666.57989543	776.44	3802.67239789	776.45	4326.61306129	776.52	5747.05721286	776.515	8250.00847472	776.47	8801.87832612
776.625	2676.15367127	776.54	3773.71613763	776.55	4306.07504258	776.62	5759.43180214	776.615	8231.66543339	776.57	8806.40355748
776.725	2668.3656523	776.64	3781.24159696	776.65	4302.76319028	776.72	5738.32034037	776.715	8246.07492375	776.67	8809.98621207
776.825	2650.66349527	776.74	3814.23073122	776.75	4306.97097963	776.82	5734.30617154	776.815	8246.81272392	776.77	8789.27794577
776.925	2624.28928813	776.84	3798.49735137	776.85	4314.98549506	776.92	5737.71549039	776.915	8263.51134102	776.87	8772.36650673
777.025	2656.1178009	776.94	3788.80136481	776.95	4316.77938718	777.02	5747.18706424	777.015	8272.67406652	776.97	8787.72225713
