	[Ir. spot (1,3)] Ir4f		[CoIr (20:80). spot (3,3)] Ir4f		[Ir-Co 40:60 Spot (8,9) JP08] Ir4f		[Ir-Co 60:40 Spot (6,2) JP08] Ir4f		[CoIr (8020). spot (5,3)] Ir4f		[Co Spot (5,2)] Ir4f
57.4249999999981	259.358137333	57.4400000000183	4363.5051756431	57.3499999999984	8419.3182585092	57.4199999999979	12540.33833053	57.4149999999983	16780.8728552404	57.3699999999989	20819.9202262166
57.524999999998	257.526567422	57.5400000000182	4376.6561315991	57.4499999999983	8417.4928731752	57.5199999999978	12530.0762900855	57.5149999999982	16769.6425081734	57.4699999999988	20825.34089555
57.6249999999979	271.448471511	57.6400000000181	4388.2463151101	57.5499999999982	8413.7487431092	57.6199999999977	12530.7648280411	57.6149999999981	16779.4744579514	57.5699999999987	20820.367898661
57.7249999999978	268.262303956	57.740000000018	4373.7304136881	57.6499999999981	8406.4995387092	57.7199999999976	12528.4087746633	57.714999999998	16784.6240359064	57.6699999999986	20835.4288515499
57.8249999999977	279.376775556	57.8400000000179	4383.9556513771	57.749999999998	8407.5075611092	57.8199999999975	12538.0919244855	57.8149999999979	16779.0732686624	57.7699999999985	20826.3210279944
57.9249999999976	262.8214672	57.9400000000178	4381.8913622651	57.8499999999979	8414.7045733752	57.9199999999974	12542.6471001743	57.9149999999978	16773.1336166174	57.8699999999984	20814.8041439944
58.0249999999975	264.974128978	58.0400000000177	4386.5457911541	57.9499999999978	8415.6468554422	58.0199999999973	12541.2524016411	58.0149999999977	16783.3061589734	57.9699999999983	20827.59133955
58.1249999999974	286.8310744	58.1400000000176	4370.2716288881	58.0499999999977	8424.1415227752	58.1199999999972	12538.4778343966	58.1149999999976	16779.3481500844	58.0699999999982	20828.9775424388
58.2249999999973	281.5144384	58.2400000000175	4375.3922916881	58.1499999999976	8424.2320296422	58.2199999999971	12544.6298340853	58.2149999999975	16776.1582431064	58.1699999999981	20828.0290524388
58.3249999999972	270.255249022	58.3400000000174	4394.0148496431	58.2499999999975	8420.8060787092	58.319999999997	12548.0258414633	58.3149999999974	16783.2097376844	58.269999999998	20824.0560282166
58.4249999999971	276.6154096	58.4400000000173	4404.0859018651	58.3499999999974	8425.5715713752	58.4199999999969	12553.4697051523	58.4149999999973	16790.0696347064	58.3699999999979	20837.7486682165
58.524999999997	289.268738622	58.5400000000172	4405.9175696881	58.4499999999973	8423.4325012422	58.5199999999968	12558.0384078633	58.5149999999972	16791.9607694624	58.4699999999978	20822.6925291055
58.6249999999969	287.661946267	58.6400000000171	4408.5300706211	58.5499999999972	8431.4858258422	58.6199999999967	12551.3007565743	58.6149999999971	16791.0973857284	58.5699999999977	20837.1258948833
